ENSMALP00000022879	ENSMALG00000015969	Monopterus_albus	ENSMALT00000023317
ENSXMAP00000024537	ENSXMAG00000029287	Xiphophorus_maculatus	ENSXMAT00000039435
ENSOMEP00000011025	ENSOMEG00000012312	Oryzias_melastigma	ENSOMET00000032153
ENSLBEP00000003547	ENSLBEG00000002754	Labrus_bergylta	ENSLBET00000003734
ENSFHEP00000030710	ENSFHEG00000016180	Fundulus_heteroclitus	ENSFHET00000022485
ENSLBEP00000035187	ENSLBEG00000026421	Labrus_bergylta	ENSLBET00000036683
ENSSLDP00000025584	ENSSLDG00000019899	Seriola_lalandi_dorsalis
ENSPMEP00000025076	ENSPMEG00000007819	Poecilia_mexicana	ENSPMET00000005986
ENSKMAP00000010018	ENSKMAG00000007529	Kryptolebias_marmoratus	ENSKMAT00000010179
ENSGAFP00000002655	ENSGAFG00000001831	Gambusia_affinis	ENSGAFT00000002686
ENSKMAP00000009936	ENSKMAG00000007472	Kryptolebias_marmoratus	ENSKMAT00000010095
ENSPFOP00000028787	ENSPFOG00000023898	Poecilia_formosa	ENSPFOT00000025613
ENSPFOP00000031195	ENSPFOG00000022790	Poecilia_formosa	ENSPFOT00000027416
ENSHBUP00000024478	ENSHBUG00000005906	Haplochromis_burtoni	ENSHBUT00000008442
