ENSPSIP00000016859	ENSPSIG00000015024	Pelodiscus_sinensis
ENSNPEP00000000432	ENSNPEG00000000380	Nothoprocta_perdicaria
ENSPANP00000041118	ENSPANG00000032117	Papio_anubis
ENSMFAP00000035817	ENSMFAG00000034287	Macaca_fascicularis
ENSPTRP00000072907	ENSPTRG00000042835	Pan_troglodytes
ENSPPAP00000009123	ENSPPAG00000027783	Pan_paniscus
ENSCCNP00000014051	ENSCCNG00000014563	Castor_canadensis
ENSCCNP00000014684	ENSCCNG00000015155	Castor_canadensis
ENSODEP00000013474	ENSODEG00000009957	Octodon_degus
ENSBTAP00000066896	ENSBTAG00000049842	Bos_taurus
ENSCHIP00000010938	ENSCHIG00000013276	Capra_hircus
ENSCAFP00020003771	ENSCAFG00020003163	Canis_lupus_dingo
ENSPTEP00000024732	ENSPTEG00000025157	Piliocolobus_tephrosceles
ENSCCNP00000028302	ENSCCNG00000027273	Castor_canadensis
ENSGMOP00000014050	ENSGMOG00000013139	Gadus_morhua
ENSNSUP00000013754	ENSNSUG00000010221	Notechis_scutatus	ENSNSUT00000014644
ENSSPUP00000006292	ENSSPUG00000004854	Sphenodon_punctatus	ENSSPUT00000006699
ENSPTEP00000015990	ENSPTEG00000017620	Piliocolobus_tephrosceles
ENSTGEP00000013762	ENSTGEG00000011167	Theropithecus_gelada
ENSNLEP00000033547	ENSNLEG00000030655	Nomascus_leucogenys
ENSHGLP00000009845	ENSHGLG00000007066	Heterocephalus_glaber_HetGla_female_1.0
ENSELUP00000005782	ENSELUG00000006761	Esox_lucius
ENSACIP00000012354	ENSACIG00000009650	Amphilophus_citrinellus
ENSDCDP00000003090	ENSDCDG00000001595	Denticeps_clupeoides
