ENSHCOP00000001612	ENSHCOG00000002619	Hippocampus_comes
ENSECRP00000015821	ENSECRG00000010521	Erpetoichthys_calabaricus
ENSNSUP00000025834	ENSNSUG00000018574	Notechis_scutatus
ENSGMOP00000003550	ENSGMOG00000003355	Gadus_morhua
ENSCJAP00000001604	ENSCJAG00000000917	Callithrix_jacchus
ENSPNYP00000018714	ENSPNYG00000014124	Pundamilia_nyererei
ENSMSIP00000035424	ENSMSIG00000029344	Mus_spicilegus
ENSDORP00000009147	ENSDORG00000009727	Dipodomys_ordii
ENSPSMP00000003957	ENSPSMG00000003152	Prolemur_simus
ENSORLP00015028462	ENSORLG00015011300	Oryzias_latipes_ASM223469v1
ENSMALP00000018108	ENSMALG00000012594	Monopterus_albus
ENSBIXP00000041412	ENSBIXG00000002106	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSHHUP00000041453	ENSHHUG00000025603	Hucho_hucho
ENSACLP00000014484	ENSACLG00000009859	Astatotilapia_calliptera
ENSCATP00000042539	ENSCATG00000043865	Cercocebus_atys
ENSOARP00000003530	ENSOARG00000003304	Ovis_aries
ENSCGRP00015029908	ENSCGRG00015022428	Cricetulus_griseus_CriGri-PICR
ENSPFOP00000010205	ENSPFOG00000009930	Poecilia_formosa
ENSOGAP00000021518	ENSOGAG00000031120	Otolemur_garnettii
ENSTGEP00000005093	ENSTGEG00000004238	Theropithecus_gelada
ENSAHAP00000020231	ENSAHAG00000014054	Apteryx_haastii	ENSAHAT00000022323
ENSCMIP00000008998	ENSCMIG00000004759	Callorhinchus_milii
ENSXCOP00000002772	ENSXCOG00000002205	Xiphophorus_couchianus
ENSMOCP00000025082	ENSMOCG00000021300	Microtus_ochrogaster
ENSPNAP00000028572	ENSPNAG00000014356	Pygocentrus_nattereri
ENSVVUP00000034123	ENSVVUG00000024555	Vulpes_vulpes
ENSAMXP00000020831	ENSAMXG00000020205	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSHHUP00000010570	ENSHHUG00000006466	Hucho_hucho
ENSONIP00000014075	ENSONIG00000011181	Oreochromis_niloticus
ENSLOCP00000003694	ENSLOCG00000003130	Lepisosteus_oculatus
ENSCPOP00000004283	ENSCPOG00000004751	Cavia_porcellus
ENSGMOP00000010880	ENSGMOG00000010169	Gadus_morhua
ENSHHUP00000086883	ENSHHUG00000050255	Hucho_hucho
ENSSMAP00000015304	ENSSMAG00000009303	Scophthalmus_maximus
ENSPTRP00000078982	ENSPTRG00000015551	Pan_troglodytes
