ENSGAGP00000010442	ENSGAGG00000008167	Gopherus_agassizii	ENSGAGT00000011985
ENSCPBP00000017808	ENSCPBG00000013023	Chrysemys_picta_bellii
ENSCABP00000012470	ENSCABG00000009329	Chelonoidis_abingdonii	ENSCABT00000013672
ENSCPRP00005011015	ENSCPRG00005007869	Crocodylus_porosus
ENSPVIP00000023369	ENSPVIG00000017654	Pogona_vitticeps
ENSACAP00000010832	ENSACAG00000011042	Anolis_carolinensis
ENSNSUP00000020283	ENSNSUG00000014777	Notechis_scutatus
ENSSMRP00000021678	ENSSMRG00000016865	Salvator_merianae
ENSPTRP00000018102	ENSPTRG00000010610	Pan_troglodytes
ENSPPAP00000004555	ENSPPAG00000019113	Pan_paniscus
ENSP00000292574	ENSG00000160994	Homo_sapiens
ENSGGOP00000006231	ENSGGOG00000006376	Gorilla_gorilla
ENSPPYP00000010830	ENSPPYG00000009663	Pongo_abelii
ENSNLEP00000006266	ENSNLEG00000005171	Nomascus_leucogenys
ENSCANP00000024292	ENSCANG00000035560	Colobus_angolensis_palliatus
ENSPTEP00000038494	ENSPTEG00000035790	Piliocolobus_tephrosceles
ENSRBIP00000036962	ENSRBIG00000042077	Rhinopithecus_bieti
ENSRROP00000038924	ENSRROG00000042820	Rhinopithecus_roxellana
ENSMMUP00000068963	ENSMMUG00000050835	Macaca_mulatta
ENSMFAP00000043465	ENSMFAG00000039156	Macaca_fascicularis
ENSMMUP00000018088	ENSMMUG00000013758	Macaca_mulatta
ENSMNEP00000023879	ENSMNEG00000035529	Macaca_nemestrina
ENSCATP00000028950	ENSCATG00000037737	Cercocebus_atys
ENSMLEP00000037553	ENSMLEG00000042868	Mandrillus_leucophaeus
ENSTGEP00000009924	ENSTGEG00000008165	Theropithecus_gelada
ENSPANP00000008526	ENSPANG00000010975	Papio_anubis
ENSCSAP00000002473	ENSCSAG00000006179	Chlorocebus_sabaeus
ENSCCAP00000001785	ENSCCAG00000011402	Cebus_capucinus_imitator
ENSCJAP00000008136	ENSCJAG00000004489	Callithrix_jacchus
ENSSBOP00000022846	ENSSBOG00000027944	Saimiri_boliviensis_boliviensis
ENSANAP00000025644	ENSANAG00000030541	Aotus_nancymaae
ENSTSYP00000031824	ENSTSYG00000036071	Carlito_syrichta
ENSPCOP00000021448	ENSPCOG00000022745	Propithecus_coquereli
ENSPSMP00000009763	ENSPSMG00000007131	Prolemur_simus
ENSMICP00000033461	ENSMICG00000032296	Microcebus_murinus
ENSOGAP00000010609	ENSOGAG00000011860	Otolemur_garnettii
ENSTBEP00000002053	ENSTBEG00000002384	Tupaia_belangeri
ENSMSIP00000000465	ENSMSIG00000000509	Mus_spicilegus
ENSMUSP00000101022	ENSMUSG00000078442	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0024819	MGP_SPRETEiJ_G0016329	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0023674	MGP_CAROLIEiJ_G0015516	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0086827	MGP_PahariEiJ_G0030928	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000009833	ENSRNOG00000007375	Rattus_norvegicus
ENSMUGP00000023774	ENSMUGG00000019874	Meriones_unguiculatus
ENSPEMP00000006803	ENSPEMG00000008931	Peromyscus_maniculatus_bairdii
ENSMOCP00000013860	ENSMOCG00000013529	Microtus_ochrogaster
ENSCGRP00015010556	ENSCGRG00015008141	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000013696	ENSCGRG00000009936	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001012936	ENSCGRG00001014217	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000016771	ENSMAUG00000015800	Mesocricetus_auratus
ENSNGAP00000015653	ENSNGAG00000016622	Nannospalax_galili
ENSCCNP00000009404	ENSCCNG00000009914	Castor_canadensis
ENSSTOP00000018771	ENSSTOG00000023699	Ictidomys_tridecemlineatus
ENSUPAP00010001452	ENSUPAG00010001244	Urocitellus_parryii
ENSMMMP00000025436	ENSMMMG00000022286	Marmota_marmota_marmota
ENSSDAP00000010516	ENSSDAG00000009534	Spermophilus_dauricus
ENSCLAP00000024269	ENSCLAG00000016660	Chinchilla_lanigera
ENSODEP00000015791	ENSODEG00000011650	Octodon_degus
ENSCPOP00000018817	ENSCPOG00000023751	Cavia_porcellus
ENSHGLP00000012624	ENSHGLG00000009025	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100024354	ENSHGLG00100017883	Heterocephalus_glaber_HetGla_1.0
ENSOPRP00000001159	ENSOPRG00000001258	Ochotona_princeps
ENSUAMP00000036570	ENSUAMG00000027706	Ursus_americanus
ENSUMAP00000004475	ENSUMAG00000003609	Ursus_maritimus
ENSAMEP00000002631	ENSAMEG00000002509	Ailuropoda_melanoleuca
ENSMPUP00000016061	ENSMPUG00000016166	Mustela_putorius_furo
ENSNVIP00000014603	ENSNVIG00000011457	Neovison_vison
ENSCAFP00020009767	ENSCAFG00020007933	Canis_lupus_dingo
ENSCAFP00000023832	ENSCAFG00000016167	Canis_lupus_familiaris
ENSVVUP00000029352	ENSVVUG00000021459	Vulpes_vulpes
ENSPPRP00000029433	ENSPPRG00000022023	Panthera_pardus
ENSFCAP00000020775	ENSFCAG00000028275	Felis_catus
ENSCHIP00000018988	ENSCHIG00000018189	Capra_hircus
ENSOARP00000004871	ENSOARG00000004550	Ovis_aries
ENSBIXP00000042887	ENSBIXG00000026887	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005014597	ENSBIXG00005018555	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000027472	ENSBTAG00000020615	Bos_taurus
ENSBMUP00000017629	ENSBMUG00000013339	Bos_mutus
ENSBBBP00000005729	ENSBBBG00000014400	Bison_bison_bison
ENSTTRP00000013772	ENSTTRG00000014525	Tursiops_truncatus
ENSSSCP00000014707	ENSSSCG00000013834	Sus_scrofa_strain_reference
ENSPVAP00000012232	ENSPVAG00000012970	Pteropus_vampyrus
ENSMLUP00000013461	ENSMLUG00000014791	Myotis_lucifugus
