ENSMICP00000034419	ENSMICG00000043253	Microcebus_murinus
ENSMUGP00000011480	ENSMUGG00000010039	Meriones_unguiculatus
ENSFCAP00000037622	ENSFCAG00000033839	Felis_catus
ENSPPRP00000028291	ENSPPRG00000020317	Panthera_pardus
ENSUAMP00000002330	ENSUAMG00000002158	Ursus_americanus
ENSUMAP00000014917	ENSUMAG00000010967	Ursus_maritimus
ENSBMUP00000029638	ENSBMUG00000022162	Bos_mutus
ENSBBBP00000007561	ENSBBBG00000015606	Bison_bison_bison
ENSCHIP00000027945	ENSCHIG00000023654	Capra_hircus
ENSEASP00005003074	ENSEASG00005002368	Equus_asinus_asinus
ENSVURP00010003939	ENSVURG00010003151	Vombatus_ursinus
ENSVURP00010029379	ENSVURG00010022477	Vombatus_ursinus
ENSSMRP00000023140	ENSSMRG00000017971	Salvator_merianae
ENSZALP00000006075	ENSZALG00000005593	Zonotrichia_albicollis
ENSIPUP00000003801	ENSIPUG00000002685	Ictalurus_punctatus
