ENSSFOP00015033115	ENSSFOG00015021139	Scleropages_formosus
ENSPKIP00000010699	ENSPKIG00000025318	Paramormyrops_kingsleyae
ENSDCDP00000031697	ENSDCDG00000021963	Denticeps_clupeoides
ENSCHAP00000046815	ENSCHAG00000021626	Clupea_harengus
ENSAMXP00005015621	ENSAMXG00005008236	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000033242	ENSAMXG00000034829	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000005020	ENSPNAG00000001687	Pygocentrus_nattereri
ENSIPUP00000030781	ENSIPUG00000020773	Ictalurus_punctatus
ENSEEEP00000050403	ENSEEEG00000023703	Electrophorus_electricus
ENSDARP00000136467	ENSDARG00000101707	Danio_rerio
ENSLOCP00000020705	ENSLOCG00000016753	Lepisosteus_oculatus
ENSECRP00000007223	ENSECRG00000004825	Erpetoichthys_calabaricus
ENSLACP00000010670	ENSLACG00000009399	Latimeria_chalumnae
ENSLCAP00010018177	ENSLCAG00010008629	Lates_calcarifer
ENSCSEP00000006383	ENSCSEG00000004132	Cynoglossus_semilaevis
ENSMALP00000012406	ENSMALG00000008795	Monopterus_albus
ENSFHEP00000012159	ENSFHEG00000013609	Fundulus_heteroclitus
ENSCVAP00000031232	ENSCVAG00000020367	Cyprinodon_variegatus
ENSPLAP00000025393	ENSPLAG00000012388	Poecilia_latipinna
ENSPMEP00000033835	ENSPMEG00000022600	Poecilia_mexicana
ENSXMAP00000010499	ENSXMAG00000010480	Xiphophorus_maculatus
ENSPFOP00000025634	ENSPFOG00000011981	Poecilia_formosa
ENSPREP00000008166	ENSPREG00000005587	Poecilia_reticulata
ENSXCOP00000017169	ENSXCOG00000012946	Xiphophorus_couchianus
ENSGAFP00000021060	ENSGAFG00000014196	Gambusia_affinis
ENSKMAP00000009862	ENSKMAG00000007414	Kryptolebias_marmoratus
ENSTRUP00000050979	ENSTRUG00000023034	Takifugu_rubripes
ENSTNIP00000005433	ENSTNIG00000002867	Tetraodon_nigroviridis
ENSMMOP00000007772	ENSMMOG00000006043	Mola_mola
ENSATEP00000034157	ENSATEG00000023482	Anabas_testudineus
ENSBSLP00000024769	ENSBSLG00000012530	Betta_splendens
ENSMAMP00000027859	ENSMAMG00000018721	Mastacembelus_armatus
ENSSDUP00000020107	ENSSDUG00000014629	Seriola_dumerili
ENSSLDP00000016708	ENSSLDG00000013239	Seriola_lalandi_dorsalis
ENSSMAP00000015474	ENSSMAG00000009477	Scophthalmus_maximus
ENSAOCP00000023853	ENSAOCG00000010232	Amphiprion_ocellaris
ENSAPEP00000032371	ENSAPEG00000022993	Amphiprion_percula
ENSAPOP00000010220	ENSAPOG00000012610	Acanthochromis_polyacanthus
ENSGWIP00000036471	ENSGWIG00000018787	Gouania_willdenowi
ENSORLP00000042105	ENSORLG00000024499	Oryzias_latipes_ASM223467v1
ENSORLP00015003208	ENSORLG00015003910	Oryzias_latipes_ASM223469v1
ENSORLP00020003720	ENSORLG00020004503	Oryzias_latipes_ASM223471v1
ENSOMEP00000020699	ENSOMEG00000022595	Oryzias_melastigma
ENSPRNP00000017113	ENSPRNG00000009090	Parambassis_ranga
ENSMZEP00005025592	ENSMZEG00005019099	Maylandia_zebra
ENSACLP00000016261	ENSACLG00000011089	Astatotilapia_calliptera
ENSHBUP00000002349	ENSHBUG00000003558	Haplochromis_burtoni
ENSNBRP00000018902	ENSNBRG00000014581	Neolamprologus_brichardi
ENSACIP00000019130	ENSACIG00000014894	Amphilophus_citrinellus
ENSLCRP00005014489	ENSLCRG00005006207	Larimichthys_crocea
ENSLBEP00000009014	ENSLBEG00000006968	Labrus_bergylta
ENSCGOP00000006548	ENSCGOG00000003421	Cottoperca_gobio
ENSHCOP00000003616	ENSHCOG00000004983	Hippocampus_comes
ENSPMGP00000020319	ENSPMGG00000016449	Periophthalmus_magnuspinnatus
ENSELUP00000010415	ENSELUG00000010898	Esox_lucius
ENSPVIP00000000689	ENSPVIG00000000650	Pogona_vitticeps
ENSNSUP00000014842	ENSNSUG00000010982	Notechis_scutatus
ENSSMRP00000026531	ENSSMRG00000020502	Salvator_merianae
ENSNMEP00000000029	ENSNMEG00000000054	Numida_meleagris
ENSJHYP00000022668	ENSJHYG00000017097	Junco_hyemalis
ENSCPGP00000022201	ENSCPGG00000015427	Calidris_pygmaea
ENSAOWP00000006969	ENSAOWG00000004800	Apteryx_owenii
ENSCPBP00000007928	ENSCPBG00000006233	Chrysemys_picta_bellii
ENSCMIP00000002736	ENSCMIG00000001635	Callorhinchus_milii
ENSCSAVP00000001609	ENSCSAVG00000000928	Ciona_savignyi
ENSCINP00000001134	ENSCING00000000615	Ciona_intestinalis
FBpp0311823	FBgn0029915	Drosophila_melanogaster
F35D11.4.2	WBGene00018045	Caenorhabditis_elegans_strain_N2
