ENSACLP00000013161	ENSACLG00000008978	Astatotilapia_calliptera
ENSHBUP00000000014	ENSHBUG00000023867	Haplochromis_burtoni
ENSPNYP00000027576	ENSPNYG00000020763	Pundamilia_nyererei
ENSMZEP00005001290	ENSMZEG00005001063	Maylandia_zebra
ENSPREP00000015735	ENSPREG00000010603	Poecilia_reticulata
ENSCVAP00000024312	ENSCVAG00000008324	Cyprinodon_variegatus
ENSAOCP00000011560	ENSAOCG00000015914	Amphiprion_ocellaris
ENSAPEP00000003118	ENSAPEG00000002224	Amphiprion_percula
ENSPRNP00000021409	ENSPRNG00000011055	Parambassis_ranga
ENSORLP00020025294	ENSORLG00020007171	Oryzias_latipes_ASM223471v1
ENSSDUP00000003158	ENSSDUG00000002394	Seriola_dumerili
ENSLBEP00000008285	ENSLBEG00000006362	Labrus_bergylta
ENSMAMP00000026427	ENSMAMG00000017728	Mastacembelus_armatus
ENSHCOP00000005511	ENSHCOG00000007180	Hippocampus_comes
ENSAPEP00000003167	ENSAPEG00000002274	Amphiprion_percula	ENSAPET00000003240
ENSAOCP00000027199	ENSAOCG00000015951	Amphiprion_ocellaris	ENSAOCT00000019064
ENSORLP00000040188	ENSORLG00000023176	Oryzias_latipes_ASM223467v1
ENSORLP00020025252	ENSORLG00020007084	Oryzias_latipes_ASM223471v1
ENSORLP00000043841	ENSORLG00000023542	Oryzias_latipes_ASM223467v1
ENSORLP00020005233	ENSORLG00020006029	Oryzias_latipes_ASM223471v1
ENSORLP00000029544	ENSORLG00000030284	Oryzias_latipes_ASM223467v1
ENSOMEP00000001537	ENSOMEG00000002509	Oryzias_melastigma
ENSOMEP00000008403	ENSOMEG00000009566	Oryzias_melastigma
ENSOMEP00000005872	ENSOMEG00000006903	Oryzias_melastigma
ENSOMEP00000034413	ENSOMEG00000021030	Oryzias_melastigma
ENSOMEP00000011067	ENSOMEG00000012368	Oryzias_melastigma
ENSOMEP00000035941	ENSOMEG00000023475	Oryzias_melastigma
ENSOMEP00000022472	ENSOMEG00000002000	Oryzias_melastigma
ENSOMEP00000005325	ENSOMEG00000006327	Oryzias_melastigma
ENSOMEP00000022497	ENSOMEG00000002084	Oryzias_melastigma
ENSMMOP00000005356	ENSMMOG00000004242	Mola_mola
ENSCGOP00000020851	ENSCGOG00000010096	Cottoperca_gobio
ENSSLDP00000032161	ENSSLDG00000024685	Seriola_lalandi_dorsalis
ENSDCDP00000011391	ENSDCDG00000005663	Denticeps_clupeoides
ENSPNAP00000030964	ENSPNAG00000018051	Pygocentrus_nattereri
ENSELUP00000014365	ENSELUG00000014407	Esox_lucius
ENSLOCP00000014913	ENSLOCG00000012121	Lepisosteus_oculatus
ENSMODP00000049252	ENSMODG00000051572	Monodelphis_domestica
ENSSHAP00000018391	ENSSHAG00000015609	Sarcophilus_harrisii
ENSMEUP00000002781	ENSMEUG00000003051	Notamacropus_eugenii
ENSPSMP00000006998	ENSPSMG00000005219	Prolemur_simus
ENSSMRP00000022389	ENSSMRG00000017394	Salvator_merianae
ENSEBUP00000015896	ENSEBUG00000010003	Eptatretus_burgeri
FBpp0306562	FBgn0004237	Drosophila_melanogaster
FBpp0084670	FBgn0001215	Drosophila_melanogaster
FBpp0084463	FBgn0004903	Drosophila_melanogaster
