ENSCAFP00020031114	ENSCAFG00020024275	Canis_lupus_dingo
ENSUAMP00000008274	ENSUAMG00000007022	Ursus_americanus
ENSBIXP00000018098	ENSBIXG00000021991	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSVPAP00000001827	ENSVPAG00000001981	Vicugna_pacos
ENSBTAP00000024305	ENSBTAG00000018262	Bos_taurus
ENSFDAP00000018528	ENSFDAG00000009762	Fukomys_damarensis
ENSCHOP00000001948	ENSCHOG00000002207	Choloepus_hoffmanni
ENSLAFP00000004676	ENSLAFG00000005572	Loxodonta_africana
ENSGGOP00000011375	ENSGGOG00000011667	Gorilla_gorilla
ENSPTIP00000023083	ENSPTIG00000019666	Panthera_tigris_altaica
ENSTTRP00000011872	ENSTTRG00000012513	Tursiops_truncatus
ENSCSAP00000005948	ENSCSAG00000009701	Chlorocebus_sabaeus
ENSCAFP00000043005	ENSCAFG00000032365	Canis_lupus_familiaris
ENSPCOP00000006111	ENSPCOG00000014166	Propithecus_coquereli
ENSMAUP00000006229	ENSMAUG00000008241	Mesocricetus_auratus
ENSBIXP00005026813	ENSBIXG00005028992	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSSDAP00000027340	ENSSDAG00000024779	Spermophilus_dauricus
MGP_PahariEiJ_P0081755	MGP_PahariEiJ_G0029304	Mus_pahari_strain_PAHARI_EIJ
ENSCGRP00000009525	ENSCGRG00000006967	Cricetulus_griseus_CriGri_1.0
ENSSSCP00000061980	ENSSSCG00000043825	Sus_scrofa_strain_reference
ENSUPAP00010007860	ENSUPAG00010006344	Urocitellus_parryii
ENSNVIP00000021525	ENSNVIG00000016820	Neovison_vison
ENSMUSP00000064587	ENSMUSG00000053856	Mus_musculus_strain_reference_(CL57BL6)
ENSPPRP00000005036	ENSPPRG00000000945	Panthera_pardus
ENSCCAP00000019503	ENSCCAG00000027592	Cebus_capucinus_imitator
ENSMLUP00000001216	ENSMLUG00000001329	Myotis_lucifugus
ENSPCIP00000017528	ENSPCIG00000013416	Phascolarctos_cinereus
ENSHGLP00100008817	ENSHGLG00100006561	Heterocephalus_glaber_HetGla_1.0
ENSEASP00005013340	ENSEASG00005009295	Equus_asinus_asinus
ENSPTEP00000003826	ENSPTEG00000004525	Piliocolobus_tephrosceles	ENSPTET00000005995
ENSTSYP00000011595	ENSTSYG00000012648	Carlito_syrichta
ENSHGLP00000017559	ENSHGLG00000012562	Heterocephalus_glaber_HetGla_female_1.0
ENSCANP00000002186	ENSCANG00000008275	Colobus_angolensis_palliatus
ENSCLAP00000008778	ENSCLAG00000006136	Chinchilla_lanigera
ENSMMUP00000013770	ENSMMUG00000010506	Macaca_mulatta
ENSMICP00000042562	ENSMICG00000047326	Microcebus_murinus
ENSCATP00000017372	ENSCATG00000032579	Cercocebus_atys
ENSPPYP00000014023	ENSPPYG00000012555	Pongo_abelii
ENSRROP00000019244	ENSRROG00000033643	Rhinopithecus_roxellana	ENSRROT00000043410
ENSJJAP00000002581	ENSJJAG00000004519	Jaculus_jaculus
ENSCGRP00001004621	ENSCGRG00001005893	Cricetulus_griseus_CHOK1GS_HDv1
ENSDNOP00000011337	ENSDNOG00000014637	Dasypus_novemcinctus
ENSCCNP00000003921	ENSCCNG00000004144	Castor_canadensis
ENSMEUP00000003361	ENSMEUG00000003678	Notamacropus_eugenii
ENSTGEP00000028885	ENSTGEG00000023236	Theropithecus_gelada
ENSMLEP00000000361	ENSMLEG00000000895	Mandrillus_leucophaeus
ENSEEUP00000000886	ENSEEUG00000000998	Erinaceus_europaeus
ENSMODP00000019580	ENSMODG00000015687	Monodelphis_domestica
ENSMOCP00000004301	ENSMOCG00000003525	Microtus_ochrogaster
ENSPSMP00000004082	ENSPSMG00000003275	Prolemur_simus
ENSANAP00000032974	ENSANAG00000034170	Aotus_nancymaae
ENSRNOP00000029345	ENSRNOG00000026578	Rattus_norvegicus
ENSDORP00000026446	ENSDORG00000010140	Dipodomys_ordii
ENSPANP00000004207	ENSPANG00000000675	Papio_anubis
ENSCGRP00015034258	ENSCGRG00015025814	Cricetulus_griseus_CriGri-PICR
ENSMNEP00000023725	ENSMNEG00000035452	Macaca_nemestrina
ENSBMUP00000011258	ENSBMUG00000008664	Bos_mutus
ENSPTRP00000020202	ENSPTRG00000011758	Pan_troglodytes
ENSRBIP00000031177	ENSRBIG00000039435	Rhinopithecus_bieti	ENSRBIT00000055143
ENSMPUP00000009510	ENSMPUG00000009587	Mustela_putorius_furo
MGP_SPRETEiJ_P0069910	MGP_SPRETEiJ_G0028072	Mus_spretus_strain_SPRET/EiJ
ENSMUGP00000032533	ENSMUGG00000027023	Meriones_unguiculatus
ENSCPOP00000032586	ENSCPOG00000003837	Cavia_porcellus
