ENSEASP00005008151	ENSEASG00005005905	Equus_asinus_asinus
ENSECAP00000004519	ENSECAG00000006205	Equus_caballus
ENSPVAP00000008536	ENSPVAG00000009048	Pteropus_vampyrus
ENSCHIP00000013462	ENSCHIG00000014871	Capra_hircus
ENSOARP00000017964	ENSOARG00000016726	Ovis_aries
ENSCHIP00000030660	ENSCHIG00000025339	Capra_hircus
ENSCHIP00000003698	ENSCHIG00000007906	Capra_hircus
ENSOARP00000017984	ENSOARG00000016748	Ovis_aries
ENSBTAP00000056814	ENSBTAG00000050786	Bos_taurus
ENSBIXP00000009076	ENSBIXG00000014802	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000011034	ENSBMUG00000008508	Bos_mutus
ENSBIXP00005012136	ENSBIXG00005016412	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000021258	ENSBBBG00000000955	Bison_bison_bison
ENSBIXP00000009126	ENSBIXG00000006889	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000050679	ENSBTAG00000039765	Bos_taurus
ENSBMUP00000002259	ENSBMUG00000001790	Bos_mutus
ENSBBBP00000006477	ENSBBBG00000001033	Bison_bison_bison
ENSBIXP00000009111	ENSBIXG00000014826	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00000026716	ENSBIXG00000029543	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000007562	ENSBMUG00000005954	Bos_mutus
ENSBBBP00000021254	ENSBBBG00000000971	Bison_bison_bison
ENSBIXP00005012191	ENSBIXG00005006575	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000009097	ENSBIXG00000001839	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000049601	ENSBTAG00000038910	Bos_taurus
ENSBBBP00000021245	ENSBBBG00000001021	Bison_bison_bison
ENSBTAP00000051004	ENSBTAG00000024934	Bos_taurus
ENSBMUP00000018043	ENSBMUG00000013649	Bos_mutus
ENSBBBP00000021252	ENSBBBG00000000995	Bison_bison_bison
ENSBTAP00000072450	ENSBTAG00000040323	Bos_taurus
ENSBMUP00000019922	ENSBMUG00000015022	Bos_mutus
ENSBIXP00005035473	ENSBIXG00005016623	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000006489	ENSBBBG00000001008	Bison_bison_bison
ENSBTAP00000071534	ENSBTAG00000024915	Bos_taurus
ENSCHIP00000022379	ENSCHIG00000020373	Capra_hircus
ENSSSCP00000036071	ENSSSCG00000039807	Sus_scrofa_strain_reference
ENSUMAP00000024310	ENSUMAG00000017695	Ursus_maritimus
ENSUAMP00000014468	ENSUAMG00000011607	Ursus_americanus
ENSAMEP00000016473	ENSAMEG00000015620	Ailuropoda_melanoleuca
ENSMPUP00000011021	ENSMPUG00000011111	Mustela_putorius_furo
ENSNVIP00000022268	ENSNVIG00000017377	Neovison_vison
ENSCAFP00020017045	ENSCAFG00020013657	Canis_lupus_dingo
ENSVVUP00000007024	ENSVVUG00000005369	Vulpes_vulpes
ENSFCAP00000057430	ENSFCAG00000051862	Felis_catus
ENSPPAP00000026586	ENSPPAG00000036379	Pan_paniscus
ENSPTRP00000016668	ENSPTRG00000009799	Pan_troglodytes
ENSP00000269389	ENSG00000141574	Homo_sapiens
ENSGGOP00000008941	ENSGGOG00000009149	Gorilla_gorilla
ENSNLEP00000042232	ENSNLEG00000031948	Nomascus_leucogenys
ENSRBIP00000009279	ENSRBIG00000028523	Rhinopithecus_bieti
ENSRROP00000023211	ENSRROG00000035454	Rhinopithecus_roxellana
ENSCANP00000038847	ENSCANG00000043107	Colobus_angolensis_palliatus
ENSPTEP00000030387	ENSPTEG00000029618	Piliocolobus_tephrosceles
ENSMFAP00000039851	ENSMFAG00000046114	Macaca_fascicularis
ENSMNEP00000010857	ENSMNEG00000029821	Macaca_nemestrina
ENSMLEP00000018885	ENSMLEG00000033642	Mandrillus_leucophaeus
ENSCSAP00000015914	ENSCSAG00000002122	Chlorocebus_sabaeus
ENSCATP00000037969	ENSCATG00000041695	Cercocebus_atys
ENSPANP00000016408	ENSPANG00000018806	Papio_anubis
ENSTGEP00000014958	ENSTGEG00000012152	Theropithecus_gelada
ENSCCAP00000030875	ENSCCAG00000033495	Cebus_capucinus_imitator
ENSCJAP00000033187	ENSCJAG00000017974	Callithrix_jacchus
ENSSBOP00000030151	ENSSBOG00000031358	Saimiri_boliviensis_boliviensis
ENSTSYP00000010966	ENSTSYG00000011950	Carlito_syrichta
ENSCCNP00000009781	ENSCCNG00000010311	Castor_canadensis
ENSCCNP00000009785	ENSCCNG00000010314	Castor_canadensis
ENSDORP00000019782	ENSDORG00000025751	Dipodomys_ordii
ENSCAPP00000009456	ENSCAPG00000010930	Cavia_aperea
ENSCPOP00000027676	ENSCPOG00000039282	Cavia_porcellus
ENSCLAP00000016363	ENSCLAG00000011256	Chinchilla_lanigera
ENSODEP00000010125	ENSODEG00000007569	Octodon_degus
ENSUPAP00010021485	ENSUPAG00010017091	Urocitellus_parryii
ENSUPAP00010003798	ENSUPAG00010003085	Urocitellus_parryii
ENSSTOP00000023077	ENSSTOG00000021446	Ictidomys_tridecemlineatus
ENSSDAP00000019633	ENSSDAG00000017885	Spermophilus_dauricus
ENSMMMP00000003458	ENSMMMG00000003176	Marmota_marmota_marmota
ENSMSIP00000013640	ENSMSIG00000011786	Mus_spicilegus
MGP_SPRETEiJ_P0033171	MGP_SPRETEiJ_G0018397	Mus_spretus_strain_SPRET/EiJ
