MGP_PahariEiJ_P0028319	MGP_PahariEiJ_G0016284	Mus_pahari_strain_PAHARI_EIJ
ENSCHIP00000003439	ENSCHIG00000007439	Capra_hircus
ENSETEP00000003896	ENSETEG00000004767	Echinops_telfairi
ENSCANP00000009517	ENSCANG00000028178	Colobus_angolensis_palliatus
ENSCHOP00000010128	ENSCHOG00000011443	Choloepus_hoffmanni
ENSCCAP00000029696	ENSCCAG00000032876	Cebus_capucinus_imitator
ENSMPUP00000002464	ENSMPUG00000002493	Mustela_putorius_furo
ENSAOWP00000026153	ENSAOWG00000017632	Apteryx_owenii
ENSBIXP00005038858	ENSBIXG00005021081	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSVVUP00000009894	ENSVVUG00000007308	Vulpes_vulpes
ENSCJAP00000028072	ENSCJAG00000015206	Callithrix_jacchus
ENSBBBP00000006929	ENSBBBG00000015159	Bison_bison_bison
ENSPCIP00000034656	ENSPCIG00000025638	Phascolarctos_cinereus
ENSDNOP00000012216	ENSDNOG00000015749	Dasypus_novemcinctus
ENSGWIP00000030891	ENSGWIG00000016022	Gouania_willdenowi
ENSAPEP00000014086	ENSAPEG00000009968	Amphiprion_percula
ENSMICP00000051467	ENSMICG00000049272	Microcebus_murinus
ENSPREP00000024032	ENSPREG00000016232	Poecilia_reticulata
ENSNBRP00000023337	ENSNBRG00000017830	Neolamprologus_brichardi
ENSCSEP00000024413	ENSCSEG00000015576	Cynoglossus_semilaevis
ENSMUSP00000093911	ENSMUSG00000046613	Mus_musculus_strain_reference_(CL57BL6)
ENSATEP00000019952	ENSATEG00000013881	Anabas_testudineus
ENSCSAP00000009736	ENSCSAG00000013625	Chlorocebus_sabaeus
ENSLSDP00000000384	ENSLSDG00000000327	Lonchura_striata_domestica
ENSEASP00005020594	ENSEASG00005014165	Equus_asinus_asinus
ENSPNAP00000015589	ENSPNAG00000021648	Pygocentrus_nattereri
ENSMOCP00000004071	ENSMOCG00000003248	Microtus_ochrogaster
ENSORLP00015031502	ENSORLG00015015818	Oryzias_latipes_ASM223469v1
ENSSDAP00000019685	ENSSDAG00000017852	Spermophilus_dauricus
ENSPANP00000011016	ENSPANG00000020342	Papio_anubis
ENSPCAP00000013293	ENSPCAG00000014233	Procavia_capensis
ENSAPOP00000020537	ENSAPOG00000024113	Acanthochromis_polyacanthus
ENSOCUP00000012626	ENSOCUG00000014683	Oryctolagus_cuniculus
ENSPNAP00000015464	ENSPNAG00000021558	Pygocentrus_nattereri
ENSOGAP00000009336	ENSOGAG00000010433	Otolemur_garnettii
ENSORLP00015014944	ENSORLG00015015832	Oryzias_latipes_ASM223469v1
ENSNSUP00000023657	ENSNSUG00000017127	Notechis_scutatus	ENSNSUT00000025160
ENSGMOP00000012842	ENSGMOG00000011987	Gadus_morhua
ENSPLAP00000001180	ENSPLAG00000002184	Poecilia_latipinna
ENSDNVP00000002695	ENSDNVG00000001920	Dromaius_novaehollandiae
ENSTNIP00000018351	ENSTNIG00000015290	Tetraodon_nigroviridis
