ENSMAUP00000020260	ENSMAUG00000018278	Mesocricetus_auratus
ENSACIP00000018624	ENSACIG00000014440	Amphilophus_citrinellus
ENSACLP00000021589	ENSACLG00000014670	Astatotilapia_calliptera
ENSMAMP00000020670	ENSMAMG00000013910	Mastacembelus_armatus
ENSBIXP00005042652	ENSBIXG00005026165	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSSDUP00000003769	ENSSDUG00000002851	Seriola_dumerili
ENSECAP00000053001	ENSECAG00000016746	Equus_caballus
ENSCGRP00015000362	ENSCGRG00015000105	Cricetulus_griseus_CriGri-PICR
ENSVVUP00000040697	ENSVVUG00000028984	Vulpes_vulpes
ENSDNOP00000009084	ENSDNOG00000011701	Dasypus_novemcinctus
ENSOPRP00000013453	ENSOPRG00000014709	Ochotona_princeps
ENSUPAP00010022407	ENSUPAG00010017732	Urocitellus_parryii
ENSECRP00000011396	ENSECRG00000007594	Erpetoichthys_calabaricus
ENSAMXP00005055060	ENSAMXG00005024581	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSCPGP00000012244	ENSCPGG00000007959	Calidris_pygmaea
ENSPTIP00000019138	ENSPTIG00000017024	Panthera_tigris_altaica
ENSACLP00000003997	ENSACLG00000002721	Astatotilapia_calliptera
ENSBSLP00000014326	ENSBSLG00000006876	Betta_splendens
ENSFHEP00000011077	ENSFHEG00000012465	Fundulus_heteroclitus
ENSOCUP00000047283	ENSOCUG00000016297	Oryctolagus_cuniculus
ENSAOWP00000019233	ENSAOWG00000013072	Apteryx_owenii
ENSORLP00020005810	ENSORLG00020006638	Oryzias_latipes_ASM223471v1
ENSCGRP00000004126	ENSCGRG00000003035	Cricetulus_griseus_CriGri_1.0
ENSEEUP00000000702	ENSEEUG00000000790	Erinaceus_europaeus
ENSMOCP00000003823	ENSMOCG00000003065	Microtus_ochrogaster
ENSBBBP00000015805	ENSBBBG00000006160	Bison_bison_bison
ENSDORP00000023635	ENSDORG00000014565	Dipodomys_ordii
ENSRROP00000004585	ENSRROG00000018248	Rhinopithecus_roxellana
ENSCANP00000007281	ENSCANG00000023722	Colobus_angolensis_palliatus
ENSEEEP00000029865	ENSEEEG00000014187	Electrophorus_electricus
ENSPEMP00000017149	ENSPEMG00000016129	Peromyscus_maniculatus_bairdii
ENSBIXP00000023638	ENSBIXG00000026075	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSRBIP00000013357	ENSRBIG00000030301	Rhinopithecus_bieti
ENSATEP00000006954	ENSATEG00000004898	Anabas_testudineus
ENSMEUP00000001385	ENSMEUG00000001485	Notamacropus_eugenii
ENSANAP00000008809	ENSANAG00000022398	Aotus_nancymaae
MGP_SPRETEiJ_P0068078	MGP_SPRETEiJ_G0027709	Mus_spretus_strain_SPRET/EiJ
ENSCCAP00000023830	ENSCCAG00000029685	Cebus_capucinus_imitator
ENSAPOP00000033179	ENSAPOG00000021602	Acanthochromis_polyacanthus
ENSKMAP00000006350	ENSKMAG00000004772	Kryptolebias_marmoratus
ENSBMUP00000004798	ENSBMUG00000003758	Bos_mutus
ENSSFOP00015024841	ENSSFOG00015015961	Scleropages_formosus	ENSSFOT00015025112
ENSAMXP00000041113	ENSAMXG00000012414	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000055200
ENSOANP00000032091	ENSOANG00000030235	Ornithorhynchus_anatinus
ENSMFAP00000022377	ENSMFAG00000035826	Macaca_fascicularis
ENSHHUP00000015415	ENSHHUG00000009552	Hucho_hucho
ENSDCDP00000014882	ENSDCDG00000011424	Denticeps_clupeoides	ENSDCDT00000020270
ENSSSCP00000043333	ENSSSCG00000031082	Sus_scrofa_strain_reference
ENSSCAP00000006883	ENSSCAG00000005199	Serinus_canaria
ENSMUNP00000015555	ENSMUNG00000012006	Melopsittacus_undulatus
ENSPMJP00000012486	ENSPMJG00000009516	Parus_major
ENSJJAP00000001461	ENSJJAG00000001496	Jaculus_jaculus
ENSXCOP00000003290	ENSXCOG00000002563	Xiphophorus_couchianus
ENSCHIP00000006737	ENSCHIG00000010471	Capra_hircus
ENSLSDP00000009975	ENSLSDG00000007358	Lonchura_striata_domestica
ENSCSEP00000007650	ENSCSEG00000004931	Cynoglossus_semilaevis
ENSCPBP00000014315	ENSCPBG00000010662	Chrysemys_picta_bellii
ENSPRNP00000039179	ENSPRNG00000019334	Parambassis_ranga
ENSTTRP00000014731	ENSTTRG00000015531	Tursiops_truncatus
ENSTNIP00000013820	ENSTNIG00000010890	Tetraodon_nigroviridis
ENSGMOP00000008961	ENSGMOG00000008371	Gadus_morhua
ENSCAFP00020006242	ENSCAFG00020005074	Canis_lupus_dingo
ENSPANP00000025624	ENSPANG00000019186	Papio_anubis
ENSPTEP00000028176	ENSPTEG00000027878	Piliocolobus_tephrosceles
ENSIPUP00000032296	ENSIPUG00000021712	Ictalurus_punctatus
ENSCABP00000019676	ENSCABG00000014532	Chelonoidis_abingdonii
ENSMMMP00000024175	ENSMMMG00000021127	Marmota_marmota_marmota
ENSGGOP00000021482	ENSGGOG00000016250	Gorilla_gorilla
ENSCAPP00000017276	ENSCAPG00000016964	Cavia_aperea
ENSODEP00000021124	ENSODEG00000015568	Octodon_degus
ENSNPEP00000013523	ENSNPEG00000010112	Nothoprocta_perdicaria
ENSXMAP00000029131	ENSXMAG00000012558	Xiphophorus_maculatus
ENSSPAP00000010220	ENSSPAG00000007792	Stegastes_partitus
ENSJHYP00000017488	ENSJHYG00000013313	Junco_hyemalis
ENSCCNP00000032408	ENSCCNG00000030749	Castor_canadensis
ENSPPRP00000024490	ENSPPRG00000014889	Panthera_pardus
ENSPMGP00000007513	ENSPMGG00000006234	Periophthalmus_magnuspinnatus
ENSOGAP00000004587	ENSOGAG00000005123	Otolemur_garnettii
ENSSLDP00000013302	ENSSLDG00000010408	Seriola_lalandi_dorsalis
ENSPKIP00000028855	ENSPKIG00000010292	Paramormyrops_kingsleyae
ENSPLAP00000005093	ENSPLAG00000006926	Poecilia_latipinna
ENSOMEP00000001602	ENSOMEG00000002535	Oryzias_melastigma
ENSTSYP00000026530	ENSTSYG00000027226	Carlito_syrichta
ENSORLP00000000313	ENSORLG00000000244	Oryzias_latipes_ASM223467v1
ENSAPEP00000013237	ENSAPEG00000009148	Amphiprion_percula
ENSMALP00000011459	ENSMALG00000008153	Monopterus_albus
ENSMPUP00000016160	ENSMPUG00000016264	Mustela_putorius_furo
ENSAOCP00000026799	ENSAOCG00000015255	Amphiprion_ocellaris
ENSETEP00000007386	ENSETEG00000009100	Echinops_telfairi
ENSPCIP00000019036	ENSPCIG00000014546	Phascolarctos_cinereus
ENSNGAP00000012744	ENSNGAG00000014485	Nannospalax_galili
ENSMZEP00005029242	ENSMZEG00005021792	Maylandia_zebra
