ENSP00000361650	ENSG00000146215	Homo_sapiens	ENST00000372569
ENSGGOP00000014825	ENSGGOG00000015193	Gorilla_gorilla
ENSPTRP00000050107	ENSPTRG00000018195	Pan_troglodytes	ENSPTRT00000057247
ENSPPAP00000032092	ENSPPAG00000038946	Pan_paniscus	ENSPPAT00000054958
ENSPPYP00000018612	ENSPPYG00000016638	Pongo_abelii
ENSMLEP00000034855	ENSMLEG00000041577	Mandrillus_leucophaeus
ENSCATP00000032685	ENSCATG00000039382	Cercocebus_atys
ENSMMUP00000030223	ENSMMUG00000022942	Macaca_mulatta
ENSCJAP00000009873	ENSCJAG00000005390	Callithrix_jacchus
ENSSBOP00000025798	ENSSBOG00000029366	Saimiri_boliviensis_boliviensis
ENSCCAP00000016437	ENSCCAG00000026017	Cebus_capucinus_imitator
ENSTSYP00000017525	ENSTSYG00000001569	Carlito_syrichta
ENSMICP00000047505	ENSMICG00000008393	Microcebus_murinus
ENSPCOP00000021984	ENSPCOG00000023062	Propithecus_coquereli
ENSPSMP00000025234	ENSPSMG00000017742	Prolemur_simus
ENSOGAP00000014568	ENSOGAG00000016274	Otolemur_garnettii
ENSSTOP00000022879	ENSSTOG00000024025	Ictidomys_tridecemlineatus
ENSMMMP00000028153	ENSMMMG00000024549	Marmota_marmota_marmota
ENSUPAP00010023132	ENSUPAG00010018305	Urocitellus_parryii
ENSSDAP00000016159	ENSSDAG00000014589	Spermophilus_dauricus
ENSHGLP00000024153	ENSHGLG00000017216	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100009338	ENSHGLG00100006923	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000006170	ENSFDAG00000015004	Fukomys_damarensis
ENSCPOP00000020860	ENSCPOG00000025292	Cavia_porcellus
ENSCAPP00000004654	ENSCAPG00000007154	Cavia_aperea
ENSODEP00000021032	ENSODEG00000015500	Octodon_degus
ENSCLAP00000015238	ENSCLAG00000010491	Chinchilla_lanigera
ENSCCNP00000015937	ENSCCNG00000016284	Castor_canadensis
ENSDORP00000018581	ENSDORG00000010889	Dipodomys_ordii
MGP_SPRETEiJ_P0046902	MGP_SPRETEiJ_G0022581	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000013752	ENSMSIG00000011845	Mus_spicilegus
MGP_CAROLIEiJ_P0045002	MGP_CAROLIEiJ_G0021669	Mus_caroli_strain_CAROLI_EIJ
ENSMUSP00000109092	ENSMUSG00000023968	Mus_musculus_strain_reference_(CL57BL6)
MGP_PahariEiJ_P0044525	MGP_PahariEiJ_G0020661	Mus_pahari_strain_PAHARI_EIJ
ENSMUGP00000026358	ENSMUGG00000021942	Meriones_unguiculatus
ENSRNOP00000058221	ENSRNOG00000018613	Rattus_norvegicus
ENSMOCP00000018143	ENSMOCG00000016524	Microtus_ochrogaster
