ENSONIP00000003205	ENSONIG00000002559	Oreochromis_niloticus
ENSACIP00000027402	ENSACIG00000021125	Amphilophus_citrinellus
ENSKMAP00000023719	ENSKMAG00000017507	Kryptolebias_marmoratus
ENSLCAP00010052616	ENSLCAG00010024489	Lates_calcarifer
ENSPTEP00000005867	ENSPTEG00000006782	Piliocolobus_tephrosceles
ENSPTEP00000002924	ENSPTEG00000003460	Piliocolobus_tephrosceles
ENSLACP00000001316	ENSLACG00000001181	Latimeria_chalumnae
ENSCMIP00000005005	ENSCMIG00000002962	Callorhinchus_milii
ENSEEEP00000029857	ENSEEEG00000014217	Electrophorus_electricus
ENSPVIP00000031796	ENSPVIG00000023367	Pogona_vitticeps
ENSPVIP00000031795	ENSPVIG00000023366	Pogona_vitticeps
ENSPVIP00000031794	ENSPVIG00000023365	Pogona_vitticeps
ENSPNAP00000011151	ENSPNAG00000003441	Pygocentrus_nattereri
ENSAMXP00005010242	ENSAMXG00005005751	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSEBUP00000011863	ENSEBUG00000007598	Eptatretus_burgeri
ENSEBUP00000005227	ENSEBUG00000003582	Eptatretus_burgeri
ENSSLDP00000011977	ENSSLDG00000009261	Seriola_lalandi_dorsalis
ENSHHUP00000021973	ENSHHUG00000013757	Hucho_hucho
ENSCSAVP00000013806	ENSCSAVG00000008097	Ciona_savignyi
