ENSPMAP00000000302	ENSPMAG00000000267	Petromyzon_marinus	ENSPMAT00000000302
ENSPMAP00000005876	ENSPMAG00000005323	Petromyzon_marinus	ENSPMAT00000005903
ENSEBUP00000004639	ENSEBUG00000003209	Eptatretus_burgeri	ENSEBUT00000005074
ENSDCDP00000026873	ENSDCDG00000019588	Denticeps_clupeoides
ENSCHAP00000001395	ENSCHAG00000000774	Clupea_harengus
ENSPNAP00000012344	ENSPNAG00000018108	Pygocentrus_nattereri
ENSEEEP00000017617	ENSEEEG00000008686	Electrophorus_electricus
ENSDARP00000030826	ENSDARG00000006865	Danio_rerio
ENSHCOP00000021219	ENSHCOG00000007857	Hippocampus_comes
ENSCSEP00000002741	ENSCSEG00000001822	Cynoglossus_semilaevis
ENSTRUP00000029662	ENSTRUG00000011746	Takifugu_rubripes
ENSTNIP00000018829	ENSTNIG00000015753	Tetraodon_nigroviridis
ENSAPEP00000006910	ENSAPEG00000004932	Amphiprion_percula
ENSAOCP00000031020	ENSAOCG00000022378	Amphiprion_ocellaris
ENSAPOP00000028237	ENSAPOG00000013357	Acanthochromis_polyacanthus
ENSSPAP00000013672	ENSSPAG00000010339	Stegastes_partitus
ENSPRNP00000052298	ENSPRNG00000024724	Parambassis_ranga
ENSPFOP00000000415	ENSPFOG00000000377	Poecilia_formosa
ENSPMEP00000014745	ENSPMEG00000017189	Poecilia_mexicana
ENSPLAP00000002774	ENSPLAG00000004138	Poecilia_latipinna
ENSPREP00000018652	ENSPREG00000012630	Poecilia_reticulata
ENSXMAP00000033910	ENSXMAG00000026611	Xiphophorus_maculatus
ENSXCOP00000000131	ENSXCOG00000000120	Xiphophorus_couchianus
ENSGAFP00000002206	ENSGAFG00000001511	Gambusia_affinis
ENSCVAP00000022206	ENSCVAG00000004743	Cyprinodon_variegatus
ENSFHEP00000029288	ENSFHEG00000013926	Fundulus_heteroclitus
ENSKMAP00000026797	ENSKMAG00000019869	Kryptolebias_marmoratus
ENSORLP00000001065	ENSORLG00000000871	Oryzias_latipes_ASM223467v1
ENSORLP00020003593	ENSORLG00020004398	Oryzias_latipes_ASM223471v1
ENSORLP00015012604	ENSORLG00015013472	Oryzias_latipes_ASM223469v1
ENSOMEP00000030030	ENSOMEG00000014063	Oryzias_melastigma
ENSMZEP00005011445	ENSMZEG00005008585	Maylandia_zebra
ENSACLP00000003104	ENSACLG00000002136	Astatotilapia_calliptera
ENSPNYP00000012443	ENSPNYG00000009433	Pundamilia_nyererei
ENSHBUP00000032034	ENSHBUG00000018095	Haplochromis_burtoni
ENSONIP00000003130	ENSONIG00000002497	Oreochromis_niloticus
ENSNBRP00000015451	ENSNBRG00000011964	Neolamprologus_brichardi
ENSACIP00000017813	ENSACIG00000013890	Amphilophus_citrinellus
ENSLBEP00000005823	ENSLBEG00000004472	Labrus_bergylta
ENSSMAP00000020310	ENSSMAG00000012452	Scophthalmus_maximus
ENSLCRP00005033218	ENSLCRG00005012988	Larimichthys_crocea
ENSATEP00000000615	ENSATEG00000000431	Anabas_testudineus
ENSSDUP00000006820	ENSSDUG00000005011	Seriola_dumerili
ENSSLDP00000004755	ENSSLDG00000003762	Seriola_lalandi_dorsalis
ENSLCAP00010002706	ENSLCAG00010001493	Lates_calcarifer
ENSMAMP00000029446	ENSMAMG00000019818	Mastacembelus_armatus
ENSLCAP00010044340	ENSLCAG00010020614	Lates_calcarifer
ENSCGOP00000028712	ENSCGOG00000013289	Cottoperca_gobio
ENSGACP00000023089	ENSGACG00000017470	Gasterosteus_aculeatus
ENSMMOP00000005225	ENSMMOG00000004153	Mola_mola
ENSMALP00000010760	ENSMALG00000007661	Monopterus_albus
ENSGWIP00000023555	ENSGWIG00000012566	Gouania_willdenowi
ENSBSLP00000053827	ENSBSLG00000025278	Betta_splendens
ENSPMGP00000025901	ENSPMGG00000020881	Periophthalmus_magnuspinnatus
ENSGMOP00000012235	ENSGMOG00000011442	Gadus_morhua
ENSHHUP00000052635	ENSHHUG00000031627	Hucho_hucho
ENSHHUP00000036377	ENSHHUG00000022757	Hucho_hucho
ENSELUP00000016203	ENSELUG00000016046	Esox_lucius
ENSSFOP00015011295	ENSSFOG00015007281	Scleropages_formosus
ENSPKIP00000003903	ENSPKIG00000021211	Paramormyrops_kingsleyae
ENSSFOP00015015026	ENSSFOG00015009694	Scleropages_formosus
ENSPKIP00000034487	ENSPKIG00000013794	Paramormyrops_kingsleyae
ENSLOCP00000018870	ENSLOCG00000015333	Lepisosteus_oculatus
ENSECRP00000020198	ENSECRG00000013294	Erpetoichthys_calabaricus
ENSGAGP00000024703	ENSGAGG00000018035	Gopherus_agassizii
ENSCABP00000012372	ENSCABG00000009277	Chelonoidis_abingdonii
ENSCPBP00000001839	ENSCPBG00000001486	Chrysemys_picta_bellii
ENSPSIP00000003996	ENSPSIG00000003770	Pelodiscus_sinensis
ENSCPRP00005013447	ENSCPRG00005009515	Crocodylus_porosus
ENSSPUP00000022805	ENSSPUG00000017499	Sphenodon_punctatus
ENSACAP00000014298	ENSACAG00000014362	Anolis_carolinensis
ENSPVIP00000021040	ENSPVIG00000015995	Pogona_vitticeps
ENSNSUP00000025324	ENSNSUG00000018237	Notechis_scutatus
ENSSMRP00000004075	ENSSMRG00000003396	Salvator_merianae
ENSAPLP00000023357	ENSAPLG00000010996	Anas_platyrhynchos_platyrhynchos
ENSABRP00000000798	ENSABRG00000000862	Anser_brachyrhynchus
ENSCPGP00000009480	ENSCPGG00000006675	Calidris_pygmaea
ENSCPUP00000001327	ENSCPUG00000001020	Calidris_pugnax
ENSCCEP00000018492	ENSCCEG00000016934	Cyanistes_caeruleus
ENSPMJP00000016065	ENSPMJG00000012161	Parus_major
ENSFALP00000011780	ENSFALG00000011299	Ficedula_albicollis
ENSTGUP00000006738	ENSTGUG00000006554	Taeniopygia_guttata
ENSLSDP00000009564	ENSLSDG00000007104	Lonchura_striata_domestica
ENSZALP00000002383	ENSZALG00000002592	Zonotrichia_albicollis
ENSJHYP00000003206	ENSJHYG00000002617	Junco_hyemalis
ENSSCAP00000023791	ENSSCAG00000017027	Serinus_canaria
ENSMVIP00005003707	ENSMVIG00005002895	Manacus_vitellinus
ENSLCOP00000020814	ENSLCOG00000014730	Lepidothrix_coronata
ENSMUNP00000004563	ENSMUNG00000003780	Melopsittacus_undulatus
ENSGALP00000007885	ENSGALG00000004936	Gallus_gallus
ENSCJPP00005012376	ENSCJPG00005010521	Coturnix_japonica
ENSMGAP00000009824	ENSMGAG00000009503	Meleagris_gallopavo
ENSNMEP00000012379	ENSNMEG00000011473	Numida_meleagris
ENSAHAP00000001202	ENSAHAG00000001027	Apteryx_haastii
ENSARWP00000000337	ENSARWG00000000260	Apteryx_rowi
ENSAOWP00000022937	ENSAOWG00000015479	Apteryx_owenii
ENSNPEP00000018658	ENSNPEG00000013906	Nothoprocta_perdicaria
ENSDNVP00000026089	ENSDNVG00000018111	Dromaius_novaehollandiae
ENSEEUP00000013600	ENSEEUG00000014908	Erinaceus_europaeus
ENSSARP00000005282	ENSSARG00000005832	Sorex_araneus
ENSECAP00000042732	ENSECAG00000012063	Equus_caballus
ENSEASP00005003278	ENSEASG00005002530	Equus_asinus_asinus
ENSCAFP00000026269	ENSCAFG00000017804	Canis_lupus_familiaris
ENSCAFP00020008716	ENSCAFG00020007048	Canis_lupus_dingo
ENSVVUP00000001834	ENSVVUG00000001413	Vulpes_vulpes
ENSNVIP00000020484	ENSNVIG00000016038	Neovison_vison
ENSMPUP00000009512	ENSMPUG00000009589	Mustela_putorius_furo
ENSUAMP00000023541	ENSUAMG00000018403	Ursus_americanus
ENSUMAP00000001206	ENSUMAG00000001095	Ursus_maritimus
ENSAMEP00000011553	ENSAMEG00000010953	Ailuropoda_melanoleuca
ENSPPRP00000011803	ENSPPRG00000005540	Panthera_pardus
