ENSGAGP00000022339	ENSGAGG00000016398	Gopherus_agassizii
ENSCABP00000023372	ENSCABG00000017227	Chelonoidis_abingdonii
ENSCPBP00000031267	ENSCPBG00000021946	Chrysemys_picta_bellii
ENSPSIP00000010497	ENSPSIG00000009534	Pelodiscus_sinensis
ENSCPRP00005000471	ENSCPRG00005000389	Crocodylus_porosus
ENSSPUP00000016340	ENSSPUG00000012656	Sphenodon_punctatus
ENSPVIP00000014869	ENSPVIG00000011469	Pogona_vitticeps
ENSNSUP00000003491	ENSNSUG00000002828	Notechis_scutatus
ENSSMRP00000011243	ENSSMRG00000008847	Salvator_merianae
ENSVURP00010031373	ENSVURG00010024002	Vombatus_ursinus
ENSPCIP00000026884	ENSPCIG00000020125	Phascolarctos_cinereus
ENSMEUP00000014987	ENSMEUG00000016394	Notamacropus_eugenii
ENSSHAP00000010609	ENSSHAG00000009156	Sarcophilus_harrisii
ENSCLAP00000025046	ENSCLAG00000017193	Chinchilla_lanigera
ENSODEP00000018531	ENSODEG00000013661	Octodon_degus
ENSCPOP00000018355	ENSCPOG00000020299	Cavia_porcellus
ENSHGLP00100016854	ENSHGLG00100012435	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000015317	ENSHGLG00000010937	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000021584	ENSFDAG00000007598	Fukomys_damarensis
ENSUPAP00010004799	ENSUPAG00010003884	Urocitellus_parryii
ENSMMMP00000018657	ENSMMMG00000016525	Marmota_marmota_marmota
ENSSTOP00000014921	ENSSTOG00000024605	Ictidomys_tridecemlineatus
ENSSDAP00000002701	ENSSDAG00000002528	Spermophilus_dauricus
ENSCGRP00015002102	ENSCGRG00015001698	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001005213	ENSCGRG00001006800	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000018023	ENSCGRG00000013106	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000008157	ENSMAUG00000009639	Mesocricetus_auratus
ENSMOCP00000011515	ENSMOCG00000011772	Microtus_ochrogaster
ENSPEMP00000022694	ENSPEMG00000019981	Peromyscus_maniculatus_bairdii
ENSMSIP00000033840	ENSMSIG00000028256	Mus_spicilegus
ENSMUSP00000030336	ENSMUSG00000028599	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0068281	MGP_SPRETEiJ_G0027773	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0065706	MGP_CAROLIEiJ_G0026781	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0080815	MGP_PahariEiJ_G0029129	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000022478	ENSRNOG00000016575	Rattus_norvegicus
ENSMUGP00000024615	ENSMUGG00000020556	Meriones_unguiculatus
ENSNGAP00000021399	ENSNGAG00000020592	Nannospalax_galili
ENSJJAP00000006039	ENSJJAG00000010813	Jaculus_jaculus
ENSCCNP00000011457	ENSCCNG00000011879	Castor_canadensis
ENSOCUP00000012146	ENSOCUG00000014127	Oryctolagus_cuniculus
ENSOPRP00000006617	ENSOPRG00000007221	Ochotona_princeps
ENSPTRP00000000311	ENSPTRG00000000164	Pan_troglodytes
ENSPPAP00000020524	ENSPPAG00000033471	Pan_paniscus
ENSP00000365435	ENSG00000028137	Homo_sapiens
ENSGGOP00000007602	ENSGGOG00000007768	Gorilla_gorilla
ENSPPYP00000002165	ENSPPYG00000001870	Pongo_abelii
ENSNLEP00000011945	ENSNLEG00000009795	Nomascus_leucogenys
ENSRROP00000029574	ENSRROG00000038584	Rhinopithecus_roxellana
ENSRBIP00000024398	ENSRBIG00000036101	Rhinopithecus_bieti
ENSCANP00000027077	ENSCANG00000036960	Colobus_angolensis_palliatus
ENSPTEP00000033207	ENSPTEG00000031762	Piliocolobus_tephrosceles
ENSTGEP00000026218	ENSTGEG00000021132	Theropithecus_gelada
ENSPANP00000008807	ENSPANG00000006627	Papio_anubis
ENSMLEP00000038392	ENSMLEG00000043258	Mandrillus_leucophaeus
ENSCATP00000027958	ENSCATG00000037320	Cercocebus_atys
ENSMFAP00000023306	ENSMFAG00000043313	Macaca_fascicularis
ENSMMUP00000077422	ENSMMUG00000021447	Macaca_mulatta
ENSMNEP00000024551	ENSMNEG00000035826	Macaca_nemestrina
ENSCSAP00000017197	ENSCSAG00000000809	Chlorocebus_sabaeus
ENSCCAP00000005074	ENSCCAG00000020210	Cebus_capucinus_imitator
ENSSBOP00000013185	ENSSBOG00000023368	Saimiri_boliviensis_boliviensis
ENSCJAP00000024957	ENSCJAG00000013571	Callithrix_jacchus
ENSANAP00000010673	ENSANAG00000023322	Aotus_nancymaae
ENSTSYP00000006731	ENSTSYG00000007350	Carlito_syrichta
ENSPSMP00000020094	ENSPSMG00000014195	Prolemur_simus
ENSPCOP00000013650	ENSPCOG00000018465	Propithecus_coquereli
ENSMICP00000011016	ENSMICG00000012100	Microcebus_murinus
ENSOGAP00000004799	ENSOGAG00000005366	Otolemur_garnettii
ENSTBEP00000014718	ENSTBEG00000016930	Tupaia_belangeri
ENSPVAP00000014534	ENSPVAG00000015413	Pteropus_vampyrus
ENSEEUP00000001279	ENSEEUG00000001418	Erinaceus_europaeus
ENSEASP00005024249	ENSEASG00005016471	Equus_asinus_asinus
ENSNVIP00000013579	ENSNVIG00000010689	Neovison_vison
ENSOARP00000018463	ENSOARG00000017205	Ovis_aries
ENSCHIP00000022592	ENSCHIG00000020477	Capra_hircus
ENSBIXP00005039116	ENSBIXG00005021444	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000036384	ENSBIXG00000019841	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBMUP00000017336	ENSBMUG00000013108	Bos_mutus
ENSBTAP00000034614	ENSBTAG00000024928	Bos_taurus
ENSBBBP00000014624	ENSBBBG00000005898	Bison_bison_bison
