Y53H1A.1a.1	WBGene00013177	Caenorhabditis_elegans_strain_N2	Y53H1A.1a.1
FBpp0081954	FBgn0051211	Drosophila_melanogaster	FBtr0082480
ENSARWP00000017834	ENSARWG00000012255	Apteryx_rowi	ENSARWT00000020264
ENSAHAP00000006808	ENSAHAG00000005131	Apteryx_haastii	ENSAHAT00000007592
ENSAOWP00000007844	ENSAOWG00000005386	Apteryx_owenii	ENSAOWT00000008876
ENSDNVP00000006622	ENSDNVG00000004739	Dromaius_novaehollandiae	ENSDNVT00000007986
ENSNPEP00000013878	ENSNPEG00000010372	Nothoprocta_perdicaria
ENSABRP00000002752	ENSABRG00000002392	Anser_brachyrhynchus
ENSAPLP00000006394	ENSAPLG00000006740	Anas_platyrhynchos_platyrhynchos
ENSGALP00000055714	ENSGALG00000015483	Gallus_gallus
ENSCJPP00005000037	ENSCJPG00005000077	Coturnix_japonica
ENSMGAP00000014331	ENSMGAG00000013558	Meleagris_gallopavo
ENSNMEP00000009072	ENSNMEG00000008814	Numida_meleagris
ENSCCEP00000017146	ENSCCEG00000015930	Cyanistes_caeruleus
ENSFALP00000010026	ENSFALG00000009621	Ficedula_albicollis
ENSLCOP00000016556	ENSLCOG00000011786	Lepidothrix_coronata
ENSCPGP00000022908	ENSCPGG00000015889	Calidris_pygmaea
ENSCPUP00000013415	ENSCPUG00000009509	Calidris_pugnax
ENSMUNP00000019557	ENSMUNG00000014951	Melopsittacus_undulatus
ENSCPRP00005000239	ENSCPRG00005000239	Crocodylus_porosus
ENSGAGP00000034948	ENSGAGG00000024846	Gopherus_agassizii
ENSCABP00000001483	ENSCABG00000001193	Chelonoidis_abingdonii
ENSCPBP00000004481	ENSCPBG00000003613	Chrysemys_picta_bellii
ENSPSIP00000002601	ENSPSIG00000002547	Pelodiscus_sinensis
ENSACAP00000010287	ENSACAG00000010421	Anolis_carolinensis
ENSPVIP00000002011	ENSPVIG00000001749	Pogona_vitticeps
ENSNSUP00000024753	ENSNSUG00000017881	Notechis_scutatus
ENSSMRP00000017141	ENSSMRG00000013354	Salvator_merianae
ENSSPUP00000002900	ENSSPUG00000002254	Sphenodon_punctatus
ENSPCIP00000000558	ENSPCIG00000000469	Phascolarctos_cinereus
ENSVURP00010009191	ENSVURG00010007123	Vombatus_ursinus
ENSMEUP00000008226	ENSMEUG00000009008	Notamacropus_eugenii
ENSSHAP00000014327	ENSSHAG00000012240	Sarcophilus_harrisii
ENSMODP00000022583	ENSMODG00000018115	Monodelphis_domestica
ENSMFAP00000008187	ENSMFAG00000001373	Macaca_fascicularis
ENSMMUP00000054868	ENSMMUG00000005925	Macaca_mulatta
ENSMNEP00000015782	ENSMNEG00000031941	Macaca_nemestrina
ENSCATP00000003246	ENSCATG00000012848	Cercocebus_atys
ENSMLEP00000008532	ENSMLEG00000028452	Mandrillus_leucophaeus
ENSPANP00000009025	ENSPANG00000022195	Papio_anubis
ENSTGEP00000027106	ENSTGEG00000021895	Theropithecus_gelada
ENSCSAP00000010718	ENSCSAG00000014595	Chlorocebus_sabaeus
ENSRROP00000020736	ENSRROG00000034302	Rhinopithecus_roxellana
ENSRBIP00000003274	ENSRBIG00000015294	Rhinopithecus_bieti
ENSPTEP00000005493	ENSPTEG00000006364	Piliocolobus_tephrosceles
ENSCANP00000020240	ENSCANG00000033545	Colobus_angolensis_palliatus
ENSPTRP00000031497	ENSPTRG00000018442	Pan_troglodytes
ENSPPAP00000007787	ENSPPAG00000027087	Pan_paniscus
ENSP00000496842	ENSG00000132424	Homo_sapiens
ENSGGOP00000012632	ENSGGOG00000012944	Gorilla_gorilla
ENSNLEP00000023550	ENSNLEG00000013690	Nomascus_leucogenys
ENSCCAP00000001150	ENSCCAG00000006440	Cebus_capucinus_imitator
ENSSBOP00000013284	ENSSBOG00000023398	Saimiri_boliviensis_boliviensis
ENSCJAP00000048003	ENSCJAG00000001335	Callithrix_jacchus
ENSANAP00000034588	ENSANAG00000034879	Aotus_nancymaae
ENSTSYP00000028209	ENSTSYG00000004550	Carlito_syrichta
ENSPSMP00000011561	ENSPSMG00000008346	Prolemur_simus
ENSPCOP00000026304	ENSPCOG00000025505	Propithecus_coquereli
ENSMICP00000026311	ENSMICG00000027275	Microcebus_murinus
ENSOGAP00000013563	ENSOGAG00000015143	Otolemur_garnettii
ENSOGAP00000021302	ENSOGAG00000026228	Otolemur_garnettii
