ENSMUSP00000104207	ENSMUSG00000044876	Mus_musculus_strain_reference_(CL57BL6)	ENSMUST00000108567
ENSMSIP00000000152	ENSMSIG00000000151	Mus_spicilegus
MGP_SPRETEiJ_P0080602	MGP_SPRETEiJ_G0030215	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0077327	MGP_CAROLIEiJ_G0029154	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0045692	MGP_PahariEiJ_G0021023	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000068897	ENSRNOG00000015517	Rattus_norvegicus
ENSMUGP00000004880	ENSMUGG00000004484	Meriones_unguiculatus
ENSMAUP00000016161	ENSMAUG00000015402	Mesocricetus_auratus
ENSCGRP00001025762	ENSCGRG00001023269	Cricetulus_griseus_CHOK1GS_HDv1
ENSPEMP00000030971	ENSPEMG00000024675	Peromyscus_maniculatus_bairdii
ENSMOCP00000023292	ENSMOCG00000020063	Microtus_ochrogaster
ENSNGAP00000008804	ENSNGAG00000011670	Nannospalax_galili
ENSCCNP00000005372	ENSCCNG00000005710	Castor_canadensis	ENSCCNT00000007078
ENSMMMP00000001009	ENSMMMG00000000925	Marmota_marmota_marmota
ENSSTOP00000027443	ENSSTOG00000024137	Ictidomys_tridecemlineatus
ENSUPAP00010025479	ENSUPAG00010020145	Urocitellus_parryii
ENSHGLP00000012171	ENSHGLG00000008704	Heterocephalus_glaber_HetGla_female_1.0
ENSODEP00000013245	ENSODEG00000009804	Octodon_degus
ENSOCUP00000018555	ENSOCUG00000015343	Oryctolagus_cuniculus
ENSOPRP00000000069	ENSOPRG00000000077	Ochotona_princeps
ENSPSMP00000036253	ENSPSMG00000024941	Prolemur_simus
ENSMICP00000038776	ENSMICG00000017167	Microcebus_murinus
ENSPCOP00000006239	ENSPCOG00000014250	Propithecus_coquereli
ENSOGAP00000020836	ENSOGAG00000033824	Otolemur_garnettii
ENSCJAP00000006150	ENSCJAG00000020269	Callithrix_jacchus
ENSCCAP00000004769	ENSCCAG00000019978	Cebus_capucinus_imitator
ENSSBOP00000022749	ENSSBOG00000027904	Saimiri_boliviensis_boliviensis
ENSANAP00000037948	ENSANAG00000036445	Aotus_nancymaae
ENSPTRP00000069986	ENSPTRG00000011535	Pan_troglodytes
ENSPPAP00000031798	ENSPPAG00000038804	Pan_paniscus
ENSP00000338860	ENSG00000167685	Homo_sapiens
ENSGGOP00000025039	ENSGGOG00000027831	Gorilla_gorilla
ENSPPYP00000011696	ENSPPYG00000010439	Pongo_abelii
ENSNLEP00000036133	ENSNLEG00000034144	Nomascus_leucogenys
ENSMMUP00000067972	ENSMMUG00000017498	Macaca_mulatta
ENSMFAP00000014343	ENSMFAG00000030295	Macaca_fascicularis
ENSMNEP00000008452	ENSMNEG00000028729	Macaca_nemestrina
ENSPANP00000026423	ENSPANG00000014394	Papio_anubis
ENSTGEP00000017068	ENSTGEG00000013796	Theropithecus_gelada
ENSCATP00000023015	ENSCATG00000035089	Cercocebus_atys
ENSCSAP00000016346	ENSCSAG00000001682	Chlorocebus_sabaeus
ENSCANP00000026652	ENSCANG00000036749	Colobus_angolensis_palliatus
ENSPTEP00000000502	ENSPTEG00000000597	Piliocolobus_tephrosceles
ENSRROP00000036422	ENSRROG00000041679	Rhinopithecus_roxellana
ENSDORP00000022344	ENSDORG00000028738	Dipodomys_ordii	ENSDORT00000034506
ENSRBIP00000006363	ENSRBIG00000026483	Rhinopithecus_bieti
ENSFCAP00000019668	ENSFCAG00000028229	Felis_catus
ENSSSCP00000066675	ENSSSCG00000035770	Sus_scrofa_strain_reference
ENSTTRP00000000285	ENSTTRG00000000303	Tursiops_truncatus
ENSBIXP00000013210	ENSBIXG00000018173	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005021213	ENSBIXG00005006912	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000053886	ENSBTAG00000046111	Bos_taurus
ENSCHIP00000014333	ENSCHIG00000015418	Capra_hircus
ENSECAP00000045652	ENSECAG00000027944	Equus_caballus
ENSEASP00005030105	ENSEASG00005020487	Equus_asinus_asinus
ENSCAFP00020019096	ENSCAFG00020015166	Canis_lupus_dingo
ENSCAFP00000003610	ENSCAFG00000024225	Canis_lupus_familiaris
ENSVVUP00000008874	ENSVVUG00000006639	Vulpes_vulpes
ENSPPRP00000018245	ENSPPRG00000009972	Panthera_pardus
ENSMPUP00000006663	ENSMPUG00000006717	Mustela_putorius_furo
ENSAMEP00000010016	ENSAMEG00000009540	Ailuropoda_melanoleuca
ENSUAMP00000036918	ENSUAMG00000027950	Ursus_americanus
ENSUMAP00000034431	ENSUMAG00000024776	Ursus_maritimus
ENSNVIP00000016270	ENSNVIG00000012758	Neovison_vison
ENSSARP00000006837	ENSSARG00000007540	Sorex_araneus
ENSCGRP00015006641	ENSCGRG00015005143	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000019978	ENSMAUG00000018125	Mesocricetus_auratus
ENSJJAP00000002427	ENSJJAG00000004145	Jaculus_jaculus
ENSSDAP00000020336	ENSSDAG00000018528	Spermophilus_dauricus
ENSTGEP00000022972	ENSTGEG00000018601	Theropithecus_gelada
ENSDNOP00000022726	ENSDNOG00000042117	Dasypus_novemcinctus
ENSLAFP00000022726	ENSLAFG00000027089	Loxodonta_africana
ENSPCAP00000001613	ENSPCAG00000001736	Procavia_capensis
ENSPCIP00000053053	ENSPCIG00000004682	Phascolarctos_cinereus
ENSVURP00010016683	ENSVURG00010012780	Vombatus_ursinus
