ENSPLAP00000015826	ENSPLAG00000019867	Poecilia_latipinna
ENSPMEP00000001177	ENSPMEG00000002052	Poecilia_mexicana
ENSPFOP00000027324	ENSPFOG00000024531	Poecilia_formosa
ENSPREP00000026249	ENSPREG00000017734	Poecilia_reticulata
ENSXMAP00000011003	ENSXMAG00000010958	Xiphophorus_maculatus
ENSXCOP00000023105	ENSXCOG00000017264	Xiphophorus_couchianus
ENSGAFP00000001970	ENSGAFG00000001326	Gambusia_affinis
ENSCVAP00000010939	ENSCVAG00000013147	Cyprinodon_variegatus
ENSFHEP00000030941	ENSFHEG00000016567	Fundulus_heteroclitus
ENSKMAP00000030079	ENSKMAG00000022223	Kryptolebias_marmoratus
ENSORLP00000037264	ENSORLG00000021909	Oryzias_latipes_ASM223467v1
ENSORLP00020025922	ENSORLG00020008162	Oryzias_latipes_ASM223471v1
ENSORLP00015030220	ENSORLG00015013819	Oryzias_latipes_ASM223469v1
ENSOMEP00000033545	ENSOMEG00000019613	Oryzias_melastigma
ENSGWIP00000046583	ENSGWIG00000022929	Gouania_willdenowi
ENSAOCP00000022098	ENSAOCG00000007355	Amphiprion_ocellaris
ENSAOCP00000000710	ENSAOCG00000003599	Amphiprion_ocellaris
ENSAPEP00000033694	ENSAPEG00000023928	Amphiprion_percula
ENSAPOP00000006994	ENSAPOG00000008912	Acanthochromis_polyacanthus
ENSSPAP00000018033	ENSSPAG00000013610	Stegastes_partitus
ENSMZEP00005025078	ENSMZEG00005018723	Maylandia_zebra
ENSACLP00000029847	ENSACLG00000020195	Astatotilapia_calliptera
ENSPNYP00000017442	ENSPNYG00000013190	Pundamilia_nyererei
ENSHBUP00000023030	ENSHBUG00000003626	Haplochromis_burtoni
ENSNBRP00000008614	ENSNBRG00000006725	Neolamprologus_brichardi
ENSONIP00000006232	ENSONIG00000004954	Oreochromis_niloticus
ENSACIP00000004947	ENSACIG00000003890	Amphilophus_citrinellus
ENSLCAP00010019899	ENSLCAG00010009379	Lates_calcarifer
ENSSMAP00000017291	ENSSMAG00000010578	Scophthalmus_maximus
ENSSLDP00000022682	ENSSLDG00000017681	Seriola_lalandi_dorsalis
ENSSDUP00000006465	ENSSDUG00000004751	Seriola_dumerili
ENSMAMP00000027652	ENSMAMG00000018583	Mastacembelus_armatus
ENSMALP00000009550	ENSMALG00000006776	Monopterus_albus
ENSATEP00000030565	ENSATEG00000021102	Anabas_testudineus
ENSATEP00000029919	ENSATEG00000020320	Anabas_testudineus
ENSBSLP00000009208	ENSBSLG00000004487	Betta_splendens
ENSTRUP00000043667	ENSTRUG00000017045	Takifugu_rubripes
ENSTNIP00000012894	ENSTNIG00000009999	Tetraodon_nigroviridis
ENSMMOP00000024644	ENSMMOG00000018739	Mola_mola
ENSLCRP00005016456	ENSLCRG00005006689	Larimichthys_crocea
ENSCGOP00000042964	ENSCGOG00000019362	Cottoperca_gobio
ENSGACP00000027309	ENSGACG00000020647	Gasterosteus_aculeatus
ENSLBEP00000006811	ENSLBEG00000005229	Labrus_bergylta
ENSPRNP00000026715	ENSPRNG00000013394	Parambassis_ranga
ENSPMGP00000010899	ENSPMGG00000009037	Periophthalmus_magnuspinnatus
ENSHCOP00000015482	ENSHCOG00000019129	Hippocampus_comes
ENSCSEP00000010901	ENSCSEG00000006972	Cynoglossus_semilaevis
ENSGMOP00000002904	ENSGMOG00000002727	Gadus_morhua
ENSHHUP00000010370	ENSHHUG00000006337	Hucho_hucho
ENSHHUP00000022105	ENSHHUG00000013847	Hucho_hucho
ENSHHUP00000023108	ENSHHUG00000014488	Hucho_hucho
ENSELUP00000001600	ENSELUG00000003101	Esox_lucius
ENSCHAP00000028007	ENSCHAG00000013480	Clupea_harengus
ENSAMXP00000036984	ENSAMXG00000036655	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005037898	ENSAMXG00005017789	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000008961	ENSPNAG00000003172	Pygocentrus_nattereri
ENSEEEP00000008826	ENSEEEG00000004425	Electrophorus_electricus
ENSIPUP00000001159	ENSIPUG00000000824	Ictalurus_punctatus
ENSDARP00000023098	ENSDARG00000015918	Danio_rerio
ENSCHAP00000059571	ENSCHAG00000026577	Clupea_harengus
ENSDCDP00000011279	ENSDCDG00000005590	Denticeps_clupeoides
ENSSFOP00015015918	ENSSFOG00015010241	Scleropages_formosus
ENSPKIP00000026713	ENSPKIG00000009080	Paramormyrops_kingsleyae
ENSLOCP00000001728	ENSLOCG00000001499	Lepisosteus_oculatus
ENSECRP00000020036	ENSECRG00000013461	Erpetoichthys_calabaricus
