ENSZALP00000014758	ENSZALG00000012216	Zonotrichia_albicollis
ENSJHYP00000005364	ENSJHYG00000004366	Junco_hyemalis
ENSSCAP00000003747	ENSSCAG00000003101	Serinus_canaria
ENSFALP00000010525	ENSFALG00000010091	Ficedula_albicollis
ENSTGUP00000002430	ENSTGUG00000002350	Taeniopygia_guttata
ENSTGUP00000014127	ENSTGUG00000013723	Taeniopygia_guttata
ENSLSDP00000012272	ENSLSDG00000008970	Lonchura_striata_domestica
ENSPMJP00000007369	ENSPMJG00000006086	Parus_major
ENSCCEP00000022573	ENSCCEG00000020390	Cyanistes_caeruleus
ENSLCOP00000012695	ENSLCOG00000009184	Lepidothrix_coronata
ENSMVIP00005006193	ENSMVIG00005004731	Manacus_vitellinus
ENSMUNP00000021538	ENSMUNG00000016250	Melopsittacus_undulatus
ENSCPGP00000011382	ENSCPGG00000008116	Calidris_pygmaea
ENSCPUP00000026897	ENSCPUG00000018112	Calidris_pugnax
ENSABRP00000021936	ENSABRG00000018519	Anser_brachyrhynchus
ENSAPLP00000009508	ENSAPLG00000009771	Anas_platyrhynchos_platyrhynchos
ENSMGAP00000006297	ENSMGAG00000006276	Meleagris_gallopavo
ENSGALP00000007330	ENSGALG00000004612	Gallus_gallus
ENSCJPP00005007319	ENSCJPG00005006706	Coturnix_japonica
ENSNMEP00000020295	ENSNMEG00000017353	Numida_meleagris
ENSAHAP00000019982	ENSAHAG00000013877	Apteryx_haastii
ENSAOWP00000012705	ENSAOWG00000008660	Apteryx_owenii
ENSARWP00000020977	ENSARWG00000014333	Apteryx_rowi
ENSDNVP00000025328	ENSDNVG00000017629	Dromaius_novaehollandiae
ENSNPEP00000011296	ENSNPEG00000008483	Nothoprocta_perdicaria
ENSCPRP00005021123	ENSCPRG00005014702	Crocodylus_porosus
ENSGAGP00000035410	ENSGAGG00000025173	Gopherus_agassizii
ENSCABP00000023409	ENSCABG00000017253	Chelonoidis_abingdonii
ENSCPBP00000031310	ENSCPBG00000021975	Chrysemys_picta_bellii
ENSPSIP00000009335	ENSPSIG00000008443	Pelodiscus_sinensis
ENSPVIP00000028108	ENSPVIG00000020873	Pogona_vitticeps
ENSACAP00000019891	ENSACAG00000026733	Anolis_carolinensis
ENSNSUP00000008824	ENSNSUG00000006789	Notechis_scutatus
ENSNSUP00000015228	ENSNSUG00000011256	Notechis_scutatus
ENSNSUP00000007672	ENSNSUG00000006027	Notechis_scutatus
ENSSMRP00000016875	ENSSMRG00000013147	Salvator_merianae
ENSSPUP00000016082	ENSSPUG00000012420	Sphenodon_punctatus
ENSAPLP00000004137	ENSAPLG00000004597	Anas_platyrhynchos_platyrhynchos
ENSCLAP00000007069	ENSCLAG00000004974	Chinchilla_lanigera
ENSODEP00000018192	ENSODEG00000013407	Octodon_degus
ENSCPOP00000002634	ENSCPOG00000002899	Cavia_porcellus
ENSCAPP00000002096	ENSCAPG00000004495	Cavia_aperea
ENSHGLP00000011827	ENSHGLG00000008468	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100014981	ENSHGLG00100011095	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000008943	ENSFDAG00000017089	Fukomys_damarensis
ENSMMMP00000018847	ENSMMMG00000016671	Marmota_marmota_marmota
ENSSDAP00000002263	ENSSDAG00000002144	Spermophilus_dauricus
ENSUPAP00010004544	ENSUPAG00010003678	Urocitellus_parryii
ENSSTOP00000006787	ENSSTOG00000007591	Ictidomys_tridecemlineatus
ENSCCNP00000025955	ENSCCNG00000025249	Castor_canadensis
ENSMSIP00000013031	ENSMSIG00000011288	Mus_spicilegus
MGP_SPRETEiJ_P0068320	MGP_SPRETEiJ_G0027784	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000069774	ENSMUSG00000029009	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0065744	MGP_CAROLIEiJ_G0026791	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0080851	MGP_PahariEiJ_G0029139	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000011384	ENSRNOG00000008553	Rattus_norvegicus
ENSMUGP00000023243	ENSMUGG00000019457	Meriones_unguiculatus
ENSCGRP00015002791	ENSCGRG00015002252	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001015286	ENSCGRG00001015921	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000003492	ENSCGRG00000002569	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000007443	ENSMAUG00000009132	Mesocricetus_auratus
ENSMOCP00000022427	ENSMOCG00000019463	Microtus_ochrogaster
ENSPEMP00000005162	ENSPEMG00000007639	Peromyscus_maniculatus_bairdii
ENSNGAP00000019449	ENSNGAG00000019269	Nannospalax_galili
ENSJJAP00000008525	ENSJJAG00000012654	Jaculus_jaculus
ENSOPRP00000014482	ENSOPRG00000015851	Ochotona_princeps
ENSOPRP00000013131	ENSOPRG00000014391	Ochotona_princeps
ENSOCUP00000006304	ENSOCUG00000007291	Oryctolagus_cuniculus
ENSPPAP00000030266	ENSPPAG00000038114	Pan_paniscus
ENSPTRP00000000294	ENSPTRG00000000153	Pan_troglodytes
ENSP00000365770	ENSG00000177000	Homo_sapiens
ENSGGOP00000030609	ENSGGOG00000012925	Gorilla_gorilla
ENSPPYP00000002178	ENSPPYG00000001880	Pongo_abelii
