ENSPTRP00000018504	ENSPTRG00000010811	Pan_troglodytes	ENSPTRT00000020005
ENSPPAP00000018927	ENSPPAG00000032627	Pan_paniscus	ENSPPAT00000041673
ENSGGOP00000009356	ENSGGOG00000009581	Gorilla_gorilla	ENSGGOT00000009619
ENSNLEP00000046851	ENSNLEG00000011709	Nomascus_leucogenys	ENSNLET00000014932
ENSMMUP00000014850	ENSMMUG00000011319	Macaca_mulatta	ENSMMUT00000015849
ENSMNEP00000041915	ENSMNEG00000043755	Macaca_nemestrina	ENSMNET00000066417
ENSMFAP00000023458	ENSMFAG00000043393	Macaca_fascicularis	ENSMFAT00000031592
ENSPTEP00000001713	ENSPTEG00000001916	Piliocolobus_tephrosceles	ENSPTET00000002537
ENSRROP00000016387	ENSRROG00000032340	Rhinopithecus_roxellana	ENSRROT00000040533
ENSCATP00000000041	ENSCATG00000000033	Cercocebus_atys	ENSCATT00000000198
ENSTGEP00000018201	ENSTGEG00000014704	Theropithecus_gelada	ENSTGET00000021707
ENSANAP00000006327	ENSANAG00000021243	Aotus_nancymaae	ENSANAT00000024095
ENSSBOP00000031784	ENSSBOG00000032093	Saimiri_boliviensis_boliviensis
