ENSHCOP00000013347	ENSHCOG00000016536	Hippocampus_comes
ENSAPOP00000018060	ENSAPOG00000021376	Acanthochromis_polyacanthus
ENSELUP00000027089	ENSELUG00000003193	Esox_lucius
ENSIPUP00000032597	ENSIPUG00000021912	Ictalurus_punctatus
ENSAMXP00000046906	ENSAMXG00000030809	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSEBUP00000012667	ENSEBUG00000008053	Eptatretus_burgeri
ENSCINP00000005947	ENSCING00000002918	Ciona_intestinalis	ENSCINT00000005947
ENSCSAVP00000016329	ENSCSAVG00000009613	Ciona_savignyi	ENSCSAVT00000016510
ENSCSAVP00000010489	ENSCSAVG00000006178	Ciona_savignyi
ENSACIP00000027427	ENSACIG00000021238	Amphilophus_citrinellus
ENSNBRP00000001829	ENSNBRG00000001501	Neolamprologus_brichardi
ENSXCOP00000025772	ENSXCOG00000019258	Xiphophorus_couchianus
ENSPREP00000024972	ENSPREG00000016799	Poecilia_reticulata
ENSMALP00000016749	ENSMALG00000011743	Monopterus_albus
ENSMALP00000008661	ENSMALG00000006158	Monopterus_albus
ENSFHEP00000011456	ENSFHEG00000013272	Fundulus_heteroclitus
ENSPMEP00000026973	ENSPMEG00000011037	Poecilia_mexicana
ENSGAFP00000025983	ENSGAFG00000017528	Gambusia_affinis
ENSXMAP00000003645	ENSXMAG00000003638	Xiphophorus_maculatus
ENSPMEP00000026980	ENSPMEG00000011045	Poecilia_mexicana
ENSPFOP00000004595	ENSPFOG00000004724	Poecilia_formosa
ENSPREP00000033884	ENSPREG00000022953	Poecilia_reticulata
ENSFHEP00000011414	ENSFHEG00000012851	Fundulus_heteroclitus
ENSCVAP00000008903	ENSCVAG00000011531	Cyprinodon_variegatus
ENSMALP00000016483	ENSMALG00000011504	Monopterus_albus
ENSHHUP00000042633	ENSHHUG00000026235	Hucho_hucho
ENSPVIP00000020164	ENSPVIG00000015385	Pogona_vitticeps
ENSCABP00000019202	ENSCABG00000014193	Chelonoidis_abingdonii
ENSNSUP00000004813	ENSNSUG00000003850	Notechis_scutatus
ENSCINP00000022602	ENSCING00000011967	Ciona_intestinalis
FBpp0076139	FBgn0036040	Drosophila_melanogaster
FBpp0076033	FBgn0052055	Drosophila_melanogaster
C56E6.6.1	WBGene00016974	Caenorhabditis_elegans_strain_N2
ENSAPEP00000008392	ENSAPEG00000006054	Amphiprion_percula
ENSAPOP00000011709	ENSAPOG00000014300	Acanthochromis_polyacanthus
ENSSPAP00000000404	ENSSPAG00000000343	Stegastes_partitus
ENSNBRP00000022317	ENSNBRG00000016885	Neolamprologus_brichardi
ENSMAMP00000009281	ENSMAMG00000006276	Mastacembelus_armatus
ENSLCAP00010049738	ENSLCAG00010023161	Lates_calcarifer
ENSDCDP00000047611	ENSDCDG00000029657	Denticeps_clupeoides
ENSDCDP00000049272	ENSDCDG00000030335	Denticeps_clupeoides
ENSDNVP00000023183	ENSDNVG00000016109	Dromaius_novaehollandiae
ENSHHUP00000051540	ENSHHUG00000030979	Hucho_hucho
ENSACIP00000016416	ENSACIG00000012792	Amphilophus_citrinellus
ENSAMXP00000045325	ENSAMXG00000029440	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSDARP00000129006	ENSDARG00000055160	Danio_rerio
ENSGAFP00000015962	ENSGAFG00000010792	Gambusia_affinis
ENSFHEP00000018790	ENSFHEG00000020674	Fundulus_heteroclitus
ENSGWIP00000018681	ENSGWIG00000010298	Gouania_willdenowi
ENSCSEP00000010327	ENSCSEG00000006625	Cynoglossus_semilaevis
ENSPNAP00000031749	ENSPNAG00000019301	Pygocentrus_nattereri
ENSAPLP00000028983	ENSAPLG00000029393	Anas_platyrhynchos_platyrhynchos
ENSCJPP00005010661	ENSCJPG00005009247	Coturnix_japonica
ENSCMIP00000010698	ENSCMIG00000005640	Callorhinchus_milii
ENSPREP00000028344	ENSPREG00000019192	Poecilia_reticulata
ENSGACP00000016540	ENSGACG00000012515	Gasterosteus_aculeatus
ENSBSLP00000057430	ENSBSLG00000026724	Betta_splendens
ENSSDUP00000002869	ENSSDUG00000002229	Seriola_dumerili
ENSPLAP00000018768	ENSPLAG00000023488	Poecilia_latipinna
ENSECRP00000007308	ENSECRG00000004863	Erpetoichthys_calabaricus
ENSLACP00000016905	ENSLACG00000014891	Latimeria_chalumnae
ENSCMIP00000009442	ENSCMIG00000004987	Callorhinchus_milii
ENSMGAP00000001300	ENSMGAG00000017145	Meleagris_gallopavo
ENSSMRP00000020859	ENSSMRG00000016224	Salvator_merianae
ENSGMOP00000002454	ENSGMOG00000002301	Gadus_morhua
ENSGACP00000013253	ENSGACG00000010035	Gasterosteus_aculeatus
ENSPMAP00000006273	ENSPMAG00000005683	Petromyzon_marinus
ENSPMAP00000005642	ENSPMAG00000005127	Petromyzon_marinus
ENSEBUP00000002109	ENSEBUG00000001647	Eptatretus_burgeri
ENSEBUP00000006343	ENSEBUG00000004201	Eptatretus_burgeri
ENSPMAP00000005564	ENSPMAG00000005050	Petromyzon_marinus
ENSAOCP00000006696	ENSAOCG00000002101	Amphiprion_ocellaris
ENSCMIP00000021202	ENSCMIG00000009683	Callorhinchus_milii
ENSCSAVP00000019288	ENSCSAVG00000011326	Ciona_savignyi
ENSARWP00000002904	ENSARWG00000002183	Apteryx_rowi
ENSJHYP00000022025	ENSJHYG00000016620	Junco_hyemalis
ENSLSDP00000016580	ENSLSDG00000011931	Lonchura_striata_domestica
ENSTGUP00000007301	ENSTGUG00000007099	Taeniopygia_guttata
ENSSCAP00000020233	ENSSCAG00000014578	Serinus_canaria
ENSPMJP00000026699	ENSPMJG00000019484	Parus_major
ENSJHYP00000005360	ENSJHYG00000004380	Junco_hyemalis
ENSMVIP00005018490	ENSMVIG00005013141	Manacus_vitellinus
ENSLCOP00000001306	ENSLCOG00000001085	Lepidothrix_coronata
ENSCPUP00000004178	ENSCPUG00000003119	Calidris_pugnax
ENSMUNP00000011511	ENSMUNG00000009062	Melopsittacus_undulatus
ENSCJPP00005010382	ENSCJPG00005009049	Coturnix_japonica
ENSMGAP00000010039	ENSMGAG00000009718	Meleagris_gallopavo
ENSDNVP00000002551	ENSDNVG00000001836	Dromaius_novaehollandiae
ENSCPBP00000003268	ENSCPBG00000002648	Chrysemys_picta_bellii
ENSLACP00000013233	ENSLACG00000011652	Latimeria_chalumnae
ENSPNAP00000003031	ENSPNAG00000009414	Pygocentrus_nattereri
ENSCINP00000007144	ENSCING00000003484	Ciona_intestinalis
ENSCINP00000022184	ENSCING00000011649	Ciona_intestinalis
ENSCINP00000025751	ENSCING00000014175	Ciona_intestinalis
ENSCSAVP00000019621	ENSCSAVG00000011497	Ciona_savignyi
ENSCSAVP00000010965	ENSCSAVG00000006422	Ciona_savignyi
ENSOMEP00000008230	ENSOMEG00000009383	Oryzias_melastigma
ENSPRNP00000007935	ENSPRNG00000004728	Parambassis_ranga
ENSPREP00000029710	ENSPREG00000020120	Poecilia_reticulata
ENSACLP00000006566	ENSACLG00000004433	Astatotilapia_calliptera
ENSMZEP00005020657	ENSMZEG00005015500	Maylandia_zebra
ENSSLDP00000008751	ENSSLDG00000006953	Seriola_lalandi_dorsalis
ENSCMIP00000004957	ENSCMIG00000002942	Callorhinchus_milii
ENSCINP00000033822	ENSCING00000025179	Ciona_intestinalis
ENSCINP00000023934	ENSCING00000012932	Ciona_intestinalis	ENSCINT00000024180
ENSPVAP00000002222	ENSPVAG00000002348	Pteropus_vampyrus
ENSMLUP00000005465	ENSMLUG00000005978	Myotis_lucifugus
ENSSSCP00000036722	ENSSSCG00000033405	Sus_scrofa_strain_reference
ENSVPAP00000006410	ENSVPAG00000006898	Vicugna_pacos
ENSUAMP00000013487	ENSUAMG00000010837	Ursus_americanus
ENSUMAP00000008551	ENSUMAG00000006528	Ursus_maritimus
ENSAMEP00000003603	ENSAMEG00000003421	Ailuropoda_melanoleuca
ENSMPUP00000010948	ENSMPUG00000011037	Mustela_putorius_furo
ENSNVIP00000013543	ENSNVIG00000010656	Neovison_vison
ENSPPRP00000024054	ENSPPRG00000014287	Panthera_pardus
ENSPTIP00000001842	ENSPTIG00000004740	Panthera_tigris_altaica
ENSFCAP00000056003	ENSFCAG00000006394	Felis_catus
ENSEASP00005011108	ENSEASG00005007815	Equus_asinus_asinus
ENSECAP00000011484	ENSECAG00000013802	Equus_caballus
ENSPTRP00000088774	ENSPTRG00000000862	Pan_troglodytes
ENSPPAP00000017389	ENSPPAG00000031788	Pan_paniscus
ENSP00000294635	ENSG00000162621	Homo_sapiens
ENSGGOP00000011147	ENSGGOG00000011434	Gorilla_gorilla
ENSPPYP00000001442	ENSPPYG00000001238	Pongo_abelii
ENSNLEP00000011591	ENSNLEG00000009530	Nomascus_leucogenys
ENSCATP00000038068	ENSCATG00000041739	Cercocebus_atys
ENSMLEP00000021509	ENSMLEG00000034956	Mandrillus_leucophaeus
ENSCSAP00000016635	ENSCSAG00000001383	Chlorocebus_sabaeus
ENSMNEP00000011268	ENSMNEG00000029987	Macaca_nemestrina
ENSMFAP00000001309	ENSMFAG00000038246	Macaca_fascicularis
ENSMMUP00000053741	ENSMMUG00000042455	Macaca_mulatta
ENSPANP00000008847	ENSPANG00000023960	Papio_anubis
ENSTGEP00000019947	ENSTGEG00000016057	Theropithecus_gelada
ENSRBIP00000026290	ENSRBIG00000037027	Rhinopithecus_bieti
ENSRROP00000025311	ENSRROG00000036407	Rhinopithecus_roxellana
ENSCANP00000004559	ENSCANG00000015719	Colobus_angolensis_palliatus
ENSPTEP00000038222	ENSPTEG00000035589	Piliocolobus_tephrosceles
ENSSBOP00000030199	ENSSBOG00000031388	Saimiri_boliviensis_boliviensis
ENSCJAP00000011974	ENSCJAG00000006486	Callithrix_jacchus
ENSCCAP00000037786	ENSCCAG00000036749	Cebus_capucinus_imitator
ENSANAP00000028340	ENSANAG00000032009	Aotus_nancymaae
ENSPCOP00000004004	ENSPCOG00000011931	Propithecus_coquereli
ENSPSMP00000023415	ENSPSMG00000016565	Prolemur_simus
ENSMICP00000048337	ENSMICG00000044386	Microcebus_murinus
ENSPEMP00000031609	ENSPEMG00000026430	Peromyscus_maniculatus_bairdii
ENSMUGP00000010604	ENSMUGG00000009336	Meriones_unguiculatus
ENSCLAP00000008500	ENSCLAG00000005943	Chinchilla_lanigera
ENSUPAP00010018535	ENSUPAG00010014716	Urocitellus_parryii
ENSSDAP00000003880	ENSSDAG00000003662	Spermophilus_dauricus
ENSSTOP00000028054	ENSSTOG00000031204	Ictidomys_tridecemlineatus
ENSMMMP00000000531	ENSMMMG00000000512	Marmota_marmota_marmota
ENSOGAP00000017682	ENSOGAG00000032838	Otolemur_garnettii
ENSETEP00000009381	ENSETEG00000011560	Echinops_telfairi
ENSMEUP00000000345	ENSMEUG00000000374	Notamacropus_eugenii
ENSMODP00000000422	ENSMODG00000000352	Monodelphis_domestica
ENSSHAP00000007622	ENSSHAG00000006625	Sarcophilus_harrisii
ENSLACP00000012540	ENSLACG00000011049	Latimeria_chalumnae
ENSCHAP00000000947	ENSCHAG00000000711	Clupea_harengus
ENSDCDP00000003112	ENSDCDG00000001605	Denticeps_clupeoides
ENSAMXP00000040215	ENSAMXG00000029539	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPFOP00000004396	ENSPFOG00000004532	Poecilia_formosa
ENSGAFP00000010051	ENSGAFG00000006830	Gambusia_affinis
ENSOMEP00000015105	ENSOMEG00000016646	Oryzias_melastigma
ENSAOCP00000010333	ENSAOCG00000014565	Amphiprion_ocellaris
ENSAPEP00000014360	ENSAPEG00000010254	Amphiprion_percula
ENSLCRP00005005021	ENSLCRG00005002583	Larimichthys_crocea
ENSELUP00000024257	ENSELUG00000023039	Esox_lucius
ENSLOCP00000004011	ENSLOCG00000003389	Lepisosteus_oculatus
ENSCMIP00000004742	ENSCMIG00000002812	Callorhinchus_milii
ENSCINP00000030911	ENSCING00000022746	Ciona_intestinalis
ENSCINP00000030072	ENSCING00000021198	Ciona_intestinalis
FBpp0303176	FBgn0260793	Drosophila_melanogaster
ENSEBUP00000026399	ENSEBUG00000016261	Eptatretus_burgeri
ENSEBUP00000019283	ENSEBUG00000012000	Eptatretus_burgeri
FBpp0312404	FBgn0023095	Drosophila_melanogaster
FBpp0303108	FBgn0010452	Drosophila_melanogaster
