ENSUPAP00010005903	ENSUPAG00010004776	Urocitellus_parryii
ENSSDAP00000004339	ENSSDAG00000003648	Spermophilus_dauricus
ENSMMMP00000025427	ENSMMMG00000022268	Marmota_marmota_marmota
ENSCCNP00000031757	ENSCCNG00000030175	Castor_canadensis
ENSMICP00000022204	ENSMICG00000027775	Microcebus_murinus
ENSPSMP00000006251	ENSPSMG00000004618	Prolemur_simus
ENSMFAP00000024362	ENSMFAG00000043777	Macaca_fascicularis
ENSMNEP00000042901	ENSMNEG00000044167	Macaca_nemestrina
ENSTGEP00000006188	ENSTGEG00000005021	Theropithecus_gelada
ENSPTEP00000009425	ENSPTEG00000010623	Piliocolobus_tephrosceles
ENSCJAP00000071700	ENSCJAG00000065230	Callithrix_jacchus
ENSLAFP00000022162	ENSLAFG00000028486	Loxodonta_africana
ENSOGAP00000019143	ENSOGAG00000027004	Otolemur_garnettii
ENSOANP00000026437	ENSOANG00000020782	Ornithorhynchus_anatinus
ENSOARP00000000554	ENSOARG00000000540	Ovis_aries
ENSCHIP00000015186	ENSCHIG00000015928	Capra_hircus
ENSBIXP00000009563	ENSBIXG00000015223	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000037567	ENSBTAG00000038461	Bos_taurus
ENSBBBP00000014099	ENSBBBG00000005855	Bison_bison_bison
ENSBMUP00000006320	ENSBMUG00000003229	Bos_mutus
ENSSSCP00000057814	ENSSSCG00000024402	Sus_scrofa_strain_reference
ENSECAP00000010124	ENSECAG00000012299	Equus_caballus
ENSEASP00005021925	ENSEASG00005014949	Equus_asinus_asinus
ENSUMAP00000022393	ENSUMAG00000016363	Ursus_maritimus
ENSUMAP00000022367	ENSUMAG00000016359	Ursus_maritimus
ENSUAMP00000014000	ENSUAMG00000011097	Ursus_americanus
ENSAMEP00000004431	ENSAMEG00000004046	Ailuropoda_melanoleuca
ENSMPUP00000005925	ENSMPUG00000005976	Mustela_putorius_furo
ENSMPUP00000012671	ENSMPUG00000012766	Mustela_putorius_furo
ENSCAFP00000043218	ENSCAFG00000024781	Canis_lupus_familiaris
ENSCAFP00020007492	ENSCAFG00020005999	Canis_lupus_dingo
ENSVVUP00000008916	ENSVVUG00000005349	Vulpes_vulpes
ENSPPRP00000020606	ENSPPRG00000011750	Panthera_pardus
ENSPTIP00000002444	ENSPTIG00000005414	Panthera_tigris_altaica
ENSFCAP00000053084	ENSFCAG00000030909	Felis_catus
ENSOCUP00000027561	ENSOCUG00000027871	Oryctolagus_cuniculus
ENSCPBP00000026369	ENSCPBG00000018732	Chrysemys_picta_bellii
ENSMUSP00000107760	ENSMUSG00000030359	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000000582	ENSMSIG00000000481	Mus_spicilegus
MGP_SPRETEiJ_P0079529	MGP_SPRETEiJ_G0029955	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0076278	MGP_CAROLIEiJ_G0028911	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0052646	MGP_PahariEiJ_G0022675	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000009467	ENSRNOG00000006709	Rattus_norvegicus
ENSMUGP00000021141	ENSMUGG00000017812	Meriones_unguiculatus
ENSMUGP00000021097	ENSMUGG00000017690	Meriones_unguiculatus
ENSCGRP00000021332	ENSCGRG00000015485	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015006931	ENSCGRG00015005308	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001025512	ENSCGRG00001023080	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000010714	ENSMAUG00000011490	Mesocricetus_auratus
ENSPEMP00000001740	ENSPEMG00000001470	Peromyscus_maniculatus_bairdii
ENSMOCP00000000645	ENSMOCG00000000512	Microtus_ochrogaster
ENSNGAP00000013998	ENSNGAG00000015395	Nannospalax_galili
ENSJJAP00000016168	ENSJJAG00000018093	Jaculus_jaculus
ENSMUGP00000031758	ENSMUGG00000026395	Meriones_unguiculatus
ENSNVIP00000013810	ENSNVIG00000010897	Neovison_vison
ENSNMEP00000002417	ENSNMEG00000003122	Numida_meleagris	ENSNMET00000005019
