ENSOARP00000003903	ENSOARG00000003659	Ovis_aries
ENSCHIP00000027259	ENSCHIG00000023261	Capra_hircus
ENSBIXP00000013420	ENSBIXG00000018356	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005042275	ENSBIXG00005006527	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000023419	ENSBTAG00000017613	Bos_taurus
ENSBMUP00000029083	ENSBMUG00000021769	Bos_mutus
ENSBBBP00000028457	ENSBBBG00000025199	Bison_bison_bison
ENSSSCP00000037823	ENSSSCG00000039978	Sus_scrofa_strain_reference
ENSPVAP00000006130	ENSPVAG00000006493	Pteropus_vampyrus
ENSECAP00000008914	ENSECAG00000011056	Equus_caballus
ENSEASP00005029966	ENSEASG00005020386	Equus_asinus_asinus
ENSUMAP00000005160	ENSUMAG00000004115	Ursus_maritimus
ENSUAMP00000014529	ENSUAMG00000011660	Ursus_americanus
ENSCAFP00000037156	ENSCAFG00000031784	Canis_lupus_familiaris
ENSCAFP00020018920	ENSCAFG00020015016	Canis_lupus_dingo
ENSVVUP00000039238	ENSVVUG00000027957	Vulpes_vulpes
ENSNVIP00000016875	ENSNVIG00000013218	Neovison_vison
ENSMPUP00000006299	ENSMPUG00000006353	Mustela_putorius_furo
ENSPPRP00000023094	ENSPPRG00000013397	Panthera_pardus
ENSPTIP00000020600	ENSPTIG00000018030	Panthera_tigris_altaica
ENSFCAP00000043968	ENSFCAG00000030942	Felis_catus
ENSNVIP00000024572	ENSNVIG00000019039	Neovison_vison
ENSUAMP00000024689	ENSUAMG00000019260	Ursus_americanus
ENSSTOP00000028105	ENSSTOG00000029907	Ictidomys_tridecemlineatus	ENSSTOT00000034477
ENSSDAP00000010584	ENSSDAG00000009584	Spermophilus_dauricus	ENSSDAT00000012005
ENSMMMP00000000094	ENSMMMG00000000086	Marmota_marmota_marmota
ENSCCNP00000015006	ENSCCNG00000015402	Castor_canadensis
ENSOCUP00000027022	ENSOCUG00000029563	Oryctolagus_cuniculus
ENSCCAP00000016502	ENSCCAG00000026031	Cebus_capucinus_imitator
ENSSBOP00000019751	ENSSBOG00000026470	Saimiri_boliviensis_boliviensis
ENSCJAP00000074124	ENSCJAG00000053037	Callithrix_jacchus
ENSP00000282292	ENSG00000152439	Homo_sapiens
ENSGGOP00000013271	ENSGGOG00000013603	Gorilla_gorilla
ENSPPYP00000024292	ENSPPYG00000029519	Pongo_abelii
ENSRROP00000041547	ENSRROG00000043962	Rhinopithecus_roxellana
ENSCANP00000034899	ENSCANG00000041139	Colobus_angolensis_palliatus
ENSPTEP00000002396	ENSPTEG00000002852	Piliocolobus_tephrosceles
ENSMFAP00000005040	ENSMFAG00000002205	Macaca_fascicularis
ENSMMUP00000048626	ENSMMUG00000010429	Macaca_mulatta
ENSMLEP00000017421	ENSMLEG00000032912	Mandrillus_leucophaeus
ENSTSYP00000015711	ENSTSYG00000027685	Carlito_syrichta
ENSPCOP00000010981	ENSPCOG00000016975	Propithecus_coquereli
ENSMICP00000029951	ENSMICG00000037153	Microcebus_murinus
ENSPSMP00000024916	ENSPSMG00000017554	Prolemur_simus
ENSMLEP00000025503	ENSMLEG00000036953	Mandrillus_leucophaeus
ENSOGAP00000019420	ENSOGAG00000031533	Otolemur_garnettii
ENSUPAP00010030188	ENSUPAG00010023700	Urocitellus_parryii
ENSSDAP00000010856	ENSSDAG00000009806	Spermophilus_dauricus
ENSDNOP00000013113	ENSDNOG00000016928	Dasypus_novemcinctus
ENSDNOP00000014690	ENSDNOG00000018930	Dasypus_novemcinctus
ENSCHOP00000008591	ENSCHOG00000009707	Choloepus_hoffmanni
ENSPCAP00000003321	ENSPCAG00000003569	Procavia_capensis
