ENSPNAP00000013310	ENSPNAG00000019156	Pygocentrus_nattereri
ENSDCDP00000039359	ENSDCDG00000026181	Denticeps_clupeoides
ENSSLDP00000000255	ENSSLDG00000000268	Seriola_lalandi_dorsalis
ENSCSEP00000026430	ENSCSEG00000016893	Cynoglossus_semilaevis
ENSLCAP00010039561	ENSLCAG00010018479	Lates_calcarifer
ENSMALP00000027186	ENSMALG00000018875	Monopterus_albus
ENSCGOP00000039980	ENSCGOG00000018251	Cottoperca_gobio
ENSLCRP00005000058	ENSLCRG00005000073	Larimichthys_crocea
ENSHBUP00000014820	ENSHBUG00000016672	Haplochromis_burtoni
ENSAPOP00000007103	ENSAPOG00000009006	Acanthochromis_polyacanthus
ENSORLP00015009377	ENSORLG00015010155	Oryzias_latipes_ASM223469v1
ENSORLP00000026152	ENSORLG00000024283	Oryzias_latipes_ASM223467v1
ENSOMEP00000007260	ENSOMEG00000008355	Oryzias_melastigma
ENSATEP00000023383	ENSATEG00000016208	Anabas_testudineus
ENSHHUP00000000599	ENSHHUG00000000405	Hucho_hucho
ENSLOCP00000002335	ENSLOCG00000002021	Lepisosteus_oculatus
ENSMEUP00000004860	ENSMEUG00000005320	Notamacropus_eugenii
ENSOANP00000028365	ENSOANG00000022231	Ornithorhynchus_anatinus
ENSSMRP00000019461	ENSSMRG00000015179	Salvator_merianae
ENSCPGP00000005318	ENSCPGG00000003841	Calidris_pygmaea
ENSXETP00000022923	ENSXETG00000005409	Xenopus_tropicalis
ENSEBUP00000024447	ENSEBUG00000015078	Eptatretus_burgeri
