ENSLCOP00000021652	ENSLCOG00000015298	Lepidothrix_coronata
ENSDARP00000128473	ENSDARG00000087752	Danio_rerio
ENSCGOP00000012061	ENSCGOG00000005985	Cottoperca_gobio
ENSTGUP00000006494	ENSTGUG00000006323	Taeniopygia_guttata
ENSHHUP00000044948	ENSHHUG00000027472	Hucho_hucho
ENSDNVP00000013482	ENSDNVG00000009499	Dromaius_novaehollandiae
ENSOMEP00000033930	ENSOMEG00000020218	Oryzias_melastigma
ENSCHOP00000000198	ENSCHOG00000000227	Choloepus_hoffmanni
ENSPMEP00000031866	ENSPMEG00000019268	Poecilia_mexicana
ENSSDAP00000002724	ENSSDAG00000002562	Spermophilus_dauricus
ENSMUNP00000019587	ENSMUNG00000014980	Melopsittacus_undulatus
ENSCPOP00000000770	ENSCPOG00000000856	Cavia_porcellus
ENSPLAP00000025032	ENSPLAG00000011800	Poecilia_latipinna
ENSVURP00010030165	ENSVURG00010023068	Vombatus_ursinus
ENSJJAP00000004996	ENSJJAG00000009967	Jaculus_jaculus
ENSTNIP00000004808	ENSTNIG00000002323	Tetraodon_nigroviridis
ENSANAP00000013451	ENSANAG00000024636	Aotus_nancymaae
ENSTSYP00000011396	ENSTSYG00000012422	Carlito_syrichta
ENSPTIP00000010135	ENSPTIG00000011002	Panthera_tigris_altaica
ENSSPUP00000009393	ENSSPUG00000007305	Sphenodon_punctatus	ENSSPUT00000010020
ENSCHAP00000056073	ENSCHAG00000025392	Clupea_harengus
ENSCPGP00000005094	ENSCPGG00000003670	Calidris_pygmaea
ENSGAGP00000032401	ENSGAGG00000023181	Gopherus_agassizii
ENSATEP00000016371	ENSATEG00000011399	Anabas_testudineus
ENSABRP00000002386	ENSABRG00000002338	Anser_brachyrhynchus
ENSAMXP00005056157	ENSAMXG00005024951	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAPOP00000028919	ENSAPOG00000014423	Acanthochromis_polyacanthus
ENSCHIP00000012356	ENSCHIG00000014158	Capra_hircus
ENSECAP00000027860	ENSECAG00000014965	Equus_caballus
ENSACAP00000006486	ENSACAG00000006627	Anolis_carolinensis	ENSACAT00000006631
ENSMNEP00000006182	ENSMNEG00000027067	Macaca_nemestrina
ENSAMXP00000014138	ENSAMXG00000013735	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSACIP00000027753	ENSACIG00000021482	Amphilophus_citrinellus
ENSRROP00000036047	ENSRROG00000041490	Rhinopithecus_roxellana
ENSCANP00000012877	ENSCANG00000029840	Colobus_angolensis_palliatus
ENSPNAP00000029728	ENSPNAG00000015999	Pygocentrus_nattereri
ENSETEP00000005614	ENSETEG00000006922	Echinops_telfairi
ENSCAPP00000000152	ENSCAPG00000000127	Cavia_aperea
ENSCSAP00000000877	ENSCSAG00000004544	Chlorocebus_sabaeus
ENSCCEP00000015854	ENSCCEG00000014937	Cyanistes_caeruleus
ENSTGEP00000016971	ENSTGEG00000013717	Theropithecus_gelada
ENSMODP00000028151	ENSMODG00000014635	Monodelphis_domestica
ENSMOCP00000026338	ENSMOCG00000022178	Microtus_ochrogaster
ENSTNIP00000013327	ENSTNIG00000010420	Tetraodon_nigroviridis
ENSLSDP00000021991	ENSLSDG00000015532	Lonchura_striata_domestica
ENSPVIP00000004898	ENSPVIG00000004010	Pogona_vitticeps	ENSPVIT00000006282
ENSPCOP00000020214	ENSPCOG00000022063	Propithecus_coquereli
ENSODEP00000018273	ENSODEG00000013462	Octodon_degus
ENSNGAP00000000644	ENSNGAG00000000472	Nannospalax_galili
ENSDCDP00000044069	ENSDCDG00000028061	Denticeps_clupeoides
ENSNMEP00000019294	ENSNMEG00000016664	Numida_meleagris
ENSMUGP00000021419	ENSMUGG00000018016	Meriones_unguiculatus
ENSSFOP00015013137	ENSSFOG00015008444	Scleropages_formosus
ENSCABP00000021910	ENSCABG00000016104	Chelonoidis_abingdonii
FBpp0080497	FBgn0051807	Drosophila_melanogaster	FBtr0080944
ENSCGRP00000002729	ENSCGRG00000001996	Cricetulus_griseus_CriGri_1.0
ENSPVAP00000001177	ENSPVAG00000001253	Pteropus_vampyrus
ENSCLAP00000005258	ENSCLAG00000003735	Chinchilla_lanigera
ENSP00000354361	ENSG00000168411	Homo_sapiens
ENSONIP00000013602	ENSONIG00000010818	Oreochromis_niloticus
ENSMALP00000025086	ENSMALG00000017443	Monopterus_albus
ENSSBOP00000020645	ENSSBOG00000026893	Saimiri_boliviensis_boliviensis
ENSPPYP00000008523	ENSPPYG00000007550	Pongo_abelii
ENSHGLP00000017645	ENSHGLG00000012627	Heterocephalus_glaber_HetGla_female_1.0
ENSHCOP00000007085	ENSHCOG00000008987	Hippocampus_comes
ENSARWP00000016386	ENSARWG00000011276	Apteryx_rowi
ENSPKIP00000002302	ENSPKIG00000020249	Paramormyrops_kingsleyae
ENSOANP00000020307	ENSOANG00000012835	Ornithorhynchus_anatinus
ENSLAFP00000001623	ENSLAFG00000001941	Loxodonta_africana
ENSCCNP00000023826	ENSCCNG00000023377	Castor_canadensis
ENSSCAP00000006861	ENSSCAG00000005335	Serinus_canaria
MGP_SPRETEiJ_P0089568	MGP_SPRETEiJ_G0032691	Mus_spretus_strain_SPRET/EiJ
ENSCJAP00000026606	ENSCJAG00000014460	Callithrix_jacchus
ENSTRUP00000042286	ENSTRUG00000016541	Takifugu_rubripes
ENSELUP00000029957	ENSELUG00000007033	Esox_lucius
ENSHGLP00100020482	ENSHGLG00100015088	Heterocephalus_glaber_HetGla_1.0
ENSPPAP00000010590	ENSPPAG00000028503	Pan_paniscus
ENSMSIP00000023001	ENSMSIG00000019554	Mus_spicilegus
ENSSLDP00000009180	ENSSLDG00000007267	Seriola_lalandi_dorsalis
ENSAHAP00000004889	ENSAHAG00000003692	Apteryx_haastii
ENSLBEP00000029957	ENSLBEG00000022641	Labrus_bergylta
ENSDORP00000007242	ENSDORG00000007727	Dipodomys_ordii
ENSCATP00000013136	ENSCATG00000030708	Cercocebus_atys
FBpp0080385	FBgn0028896	Drosophila_melanogaster	FBtr0080827
ENSUPAP00010019269	ENSUPAG00010015257	Urocitellus_parryii
FBpp0075105	FBgn0036660	Drosophila_melanogaster	FBtr0075346
ENSGALP00000051927	ENSGALG00000036234	Gallus_gallus
ENSPMGP00000028223	ENSPMGG00000022721	Periophthalmus_magnuspinnatus
ENSRBIP00000026911	ENSRBIG00000037321	Rhinopithecus_bieti
ENSCCAP00000011687	ENSCCAG00000023598	Cebus_capucinus_imitator
ENSMFAP00000022599	ENSMFAG00000043003	Macaca_fascicularis
ENSPSIP00000006477	ENSPSIG00000005935	Pelodiscus_sinensis
ENSLCRP00005051516	ENSLCRG00005019395	Larimichthys_crocea
ENSOARP00000006442	ENSOARG00000006013	Ovis_aries
ENSPPRP00000004311	ENSPPRG00000000453	Panthera_pardus
ENSLOCP00000001698	ENSLOCG00000001489	Lepisosteus_oculatus
ENSCGRP00001026538	ENSCGRG00001023818	Cricetulus_griseus_CHOK1GS_HDv1
ENSGACP00000011274	ENSGACG00000008531	Gasterosteus_aculeatus
ENSOPRP00000015789	ENSOPRG00000017298	Ochotona_princeps
ENSFDAP00000004157	ENSFDAG00000013451	Fukomys_damarensis
ENSLCAP00010036865	ENSLCAG00010017270	Lates_calcarifer
ENSOGAP00000012483	ENSOGAG00000013944	Otolemur_garnettii
ENSPTEP00000001110	ENSPTEG00000001208	Piliocolobus_tephrosceles
ENSPREP00000002352	ENSPREG00000001734	Poecilia_reticulata
ENSORLP00015018182	ENSORLG00015019219	Oryzias_latipes_ASM223469v1
ENSMAUP00000022428	ENSMAUG00000019858	Mesocricetus_auratus
ENSSMAP00000005178	ENSSMAG00000003188	Scophthalmus_maximus
ENSSMRP00000001837	ENSSMRG00000001603	Salvator_merianae	ENSSMRT00000002205
ENSAPEP00000021532	ENSAPEG00000015379	Amphiprion_percula
ENSFCAP00000019525	ENSFCAG00000026835	Felis_catus
ENSNSUP00000012074	ENSNSUG00000009061	Notechis_scutatus	ENSNSUT00000012861
ENSMMMP00000014586	ENSMMMG00000012944	Marmota_marmota_marmota
ENSVPAP00000008139	ENSVPAG00000008742	Vicugna_pacos
ENSUAMP00000010535	ENSUAMG00000008656	Ursus_americanus
ENSHBUP00000022993	ENSHBUG00000003543	Haplochromis_burtoni
ENSCAFP00020001462	ENSCAFG00020001249	Canis_lupus_dingo
ENSLBEP00000006822	ENSLBEG00000005275	Labrus_bergylta
ENSIPUP00000025073	ENSIPUG00000016960	Ictalurus_punctatus
ENSPCAP00000004657	ENSPCAG00000004946	Procavia_capensis
ENSPANP00000018215	ENSPANG00000014554	Papio_anubis
ENSCGRP00015015684	ENSCGRG00015012037	Cricetulus_griseus_CriGri-PICR
ENSMMUP00000010980	ENSMMUG00000008375	Macaca_mulatta
MGP_CAROLIEiJ_P0086065	MGP_CAROLIEiJ_G0031573	Mus_caroli_strain_CAROLI_EIJ
ENSSDUP00000022796	ENSSDUG00000016584	Seriola_dumerili
ENSXETP00000027398	ENSXETG00000009112	Xenopus_tropicalis
ENSCINP00000003190	ENSCING00000001593	Ciona_intestinalis
ENSSARP00000008871	ENSSARG00000009803	Sorex_araneus
ENSPTRP00000014254	ENSPTRG00000008348	Pan_troglodytes
ENSEASP00005019531	ENSEASG00005013430	Equus_asinus_asinus
FBpp0090973	FBgn0053552	Drosophila_melanogaster	FBtr0091522
ENSMEUP00000008697	ENSMEUG00000009524	Notamacropus_eugenii
ENSMZEP00005021232	ENSMZEG00005015944	Maylandia_zebra
ENSCSEP00000002668	ENSCSEG00000001774	Cynoglossus_semilaevis
ENSBMUP00000029888	ENSBMUG00000022339	Bos_mutus
FBpp0073027	FBgn0035479	Drosophila_melanogaster	FBtr0073170
ENSSHAP00000006523	ENSSHAG00000005677	Sarcophilus_harrisii
ENSMLUP00000017869	ENSMLUG00000012786	Myotis_lucifugus
ENSUMAP00000019179	ENSUMAG00000014058	Ursus_maritimus
ENSXCOP00000004555	ENSXCOG00000003595	Xiphophorus_couchianus
ENSFALP00000007762	ENSFALG00000007435	Ficedula_albicollis
ENSGWIP00000049196	ENSGWIG00000024022	Gouania_willdenowi
ENSPFOP00000012999	ENSPFOG00000012973	Poecilia_formosa
ENSCVAP00000016489	ENSCVAG00000019442	Cyprinodon_variegatus
ENSSPAP00000011628	ENSSPAG00000008834	Stegastes_partitus
ENSORLP00000000905	ENSORLG00000000737	Oryzias_latipes_ASM223467v1
ENSCSAVP00000020131	ENSCSAVG00000011816	Ciona_savignyi
ENSNLEP00000009758	ENSNLEG00000008003	Nomascus_leucogenys
ENSMVIP00005015090	ENSMVIG00005010856	Manacus_vitellinus
