ENSGWIP00000054870	ENSGWIG00000026103	Gouania_willdenowi
ENSHCOP00000012681	ENSHCOG00000015817	Hippocampus_comes
ENSCSEP00000009814	ENSCSEG00000006275	Cynoglossus_semilaevis
ENSTRUP00000028262	ENSTRUG00000011194	Takifugu_rubripes
ENSTNIP00000000503	ENSTNIG00000015171	Tetraodon_nigroviridis
ENSMMOP00000011961	ENSMMOG00000009182	Mola_mola
ENSPMGP00000017215	ENSPMGG00000014089	Periophthalmus_magnuspinnatus
ENSCGOP00000053227	ENSCGOG00000020323	Cottoperca_gobio
ENSGACP00000009560	ENSGACG00000007205	Gasterosteus_aculeatus
ENSLCRP00005025272	ENSLCRG00005010050	Larimichthys_crocea
ENSLBEP00000028718	ENSLBEG00000021644	Labrus_bergylta
ENSSMAP00000029068	ENSSMAG00000017742	Scophthalmus_maximus
ENSAOCP00000029759	ENSAOCG00000020388	Amphiprion_ocellaris
ENSAPEP00000025618	ENSAPEG00000018126	Amphiprion_percula
ENSSPAP00000013335	ENSSPAG00000010048	Stegastes_partitus
ENSPRNP00000017477	ENSPRNG00000009262	Parambassis_ranga
ENSPRNP00000017489	ENSPRNG00000009267	Parambassis_ranga
ENSONIP00000011498	ENSONIG00000009146	Oreochromis_niloticus
ENSMAMP00000013822	ENSMAMG00000009296	Mastacembelus_armatus
ENSSLDP00000015004	ENSSLDG00000011951	Seriola_lalandi_dorsalis
ENSATEP00000025701	ENSATEG00000017727	Anabas_testudineus
ENSBSLP00000020659	ENSBSLG00000010317	Betta_splendens
ENSMALP00000030556	ENSMALG00000021069	Monopterus_albus
ENSXMAP00000011497	ENSXMAG00000011378	Xiphophorus_maculatus
ENSXCOP00000006057	ENSXCOG00000004694	Xiphophorus_couchianus
ENSGAFP00000028458	ENSGAFG00000019238	Gambusia_affinis
ENSPFOP00000003867	ENSPFOG00000002374	Poecilia_formosa
ENSPMEP00000030452	ENSPMEG00000016972	Poecilia_mexicana
ENSPLAP00000008141	ENSPLAG00000010793	Poecilia_latipinna
ENSPREP00000023557	ENSPREG00000015785	Poecilia_reticulata
ENSFHEP00000007088	ENSFHEG00000008271	Fundulus_heteroclitus
ENSCVAP00000014110	ENSCVAG00000016867	Cyprinodon_variegatus
ENSKMAP00000021441	ENSKMAG00000015879	Kryptolebias_marmoratus
ENSORLP00020012138	ENSORLG00020013100	Oryzias_latipes_ASM223471v1
ENSORLP00000006608	ENSORLG00000005238	Oryzias_latipes_ASM223467v1
ENSORLP00015004117	ENSORLG00015004958	Oryzias_latipes_ASM223469v1
ENSOMEP00000023116	ENSOMEG00000003064	Oryzias_melastigma
ENSPNYP00000009260	ENSPNYG00000007009	Pundamilia_nyererei
ENSHBUP00000018467	ENSHBUG00000020677	Haplochromis_burtoni
ENSMZEP00005018081	ENSMZEG00005013569	Maylandia_zebra
ENSACLP00000038121	ENSACLG00000025714	Astatotilapia_calliptera
ENSNBRP00000008773	ENSNBRG00000006787	Neolamprologus_brichardi
ENSONIP00000002933	ENSONIG00000002345	Oreochromis_niloticus
ENSACIP00000004671	ENSACIG00000003589	Amphilophus_citrinellus
ENSSDUP00000009785	ENSSDUG00000006934	Seriola_dumerili
ENSSLDP00000000699	ENSSLDG00000000411	Seriola_lalandi_dorsalis
ENSLCAP00010009567	ENSLCAG00010004532	Lates_calcarifer
ENSGMOP00000000590	ENSGMOG00000000554	Gadus_morhua
ENSHHUP00000026718	ENSHHUG00000016850	Hucho_hucho
ENSELUP00000013114	ENSELUG00000013382	Esox_lucius
ENSEEEP00000048249	ENSEEEG00000022718	Electrophorus_electricus
ENSEEEP00000048250	ENSEEEG00000022722	Electrophorus_electricus
ENSAMXP00000013567	ENSAMXG00000013184	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000013567
ENSAMXP00005020363	ENSAMXG00005010320	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000016155	ENSPNAG00000022391	Pygocentrus_nattereri
ENSIPUP00000007069	ENSIPUG00000004571	Ictalurus_punctatus
ENSDARP00000050914	ENSDARG00000037020	Danio_rerio
ENSDCDP00000034173	ENSDCDG00000022587	Denticeps_clupeoides
ENSSFOP00015021455	ENSSFOG00015013753	Scleropages_formosus
ENSPKIP00000034248	ENSPKIG00000013528	Paramormyrops_kingsleyae
ENSAPOP00000010222	ENSAPOG00000012801	Acanthochromis_polyacanthus
ENSPVIP00000029196	ENSPVIG00000021551	Pogona_vitticeps
ENSLOCP00000008115	ENSLOCG00000006679	Lepisosteus_oculatus
ENSECRP00000016464	ENSECRG00000010906	Erpetoichthys_calabaricus
ENSVURP00010031506	ENSVURG00010024085	Vombatus_ursinus
ENSPCIP00000010051	ENSPCIG00000008194	Phascolarctos_cinereus
ENSMEUP00000005654	ENSMEUG00000006149	Notamacropus_eugenii
ENSSHAP00000007396	ENSSHAG00000006427	Sarcophilus_harrisii
ENSMODP00000003407	ENSMODG00000002802	Monodelphis_domestica
ENSPEMP00000005361	ENSPEMG00000007705	Peromyscus_maniculatus_bairdii
ENSMOCP00000004860	ENSMOCG00000004178	Microtus_ochrogaster
ENSCGRP00001024487	ENSCGRG00001022316	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000006857	ENSCGRG00000004999	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015004745	ENSCGRG00015003335	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000021059	ENSMAUG00000018860	Mesocricetus_auratus
ENSMSIP00000014753	ENSMSIG00000012365	Mus_spicilegus
ENSMUSP00000056754	ENSMUSG00000063077	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0068424	MGP_SPRETEiJ_G0027806	Mus_spretus_strain_SPRET/EiJ
ENSRNOP00000074322	ENSRNOG00000057626	Rattus_norvegicus
ENSMUGP00000018852	ENSMUGG00000015745	Meriones_unguiculatus
ENSNGAP00000026465	ENSNGAG00000024095	Nannospalax_galili
ENSJJAP00000013729	ENSJJAG00000016329	Jaculus_jaculus
ENSCCNP00000029024	ENSCCNG00000027837	Castor_canadensis
ENSUPAP00010003672	ENSUPAG00010002657	Urocitellus_parryii
ENSSTOP00000000283	ENSSTOG00000000312	Ictidomys_tridecemlineatus
ENSMMMP00000019322	ENSMMMG00000017016	Marmota_marmota_marmota
ENSPTRP00000072100	ENSPTRG00000000127	Pan_troglodytes
ENSPPAP00000040107	ENSPPAG00000042406	Pan_paniscus
ENSP00000263934	ENSG00000054523	Homo_sapiens
ENSGGOP00000019484	ENSGGOG00000026057	Gorilla_gorilla
ENSPPYP00000002204	ENSPPYG00000001902	Pongo_abelii
ENSNLEP00000011453	ENSNLEG00000009397	Nomascus_leucogenys
ENSMFAP00000001530	ENSMFAG00000033591	Macaca_fascicularis
ENSMNEP00000040630	ENSMNEG00000042197	Macaca_nemestrina
ENSTGEP00000024046	ENSTGEG00000019336	Theropithecus_gelada
ENSPANP00000042428	ENSPANG00000006371	Papio_anubis
ENSCATP00000003495	ENSCATG00000013190	Cercocebus_atys
ENSMLEP00000036826	ENSMLEG00000041753	Mandrillus_leucophaeus
ENSMMUP00000044452	ENSMMUG00000002171	Macaca_mulatta
ENSCSAP00000017229	ENSCSAG00000000777	Chlorocebus_sabaeus
ENSRROP00000035020	ENSRROG00000040981	Rhinopithecus_roxellana
ENSRBIP00000004558	ENSRBIG00000012565	Rhinopithecus_bieti
ENSCANP00000030659	ENSCANG00000036500	Colobus_angolensis_palliatus
ENSPTEP00000029712	ENSPTEG00000028944	Piliocolobus_tephrosceles
ENSCJAP00000009726	ENSCJAG00000005184	Callithrix_jacchus
ENSSBOP00000010685	ENSSBOG00000022087	Saimiri_boliviensis_boliviensis
ENSCCAP00000008922	ENSCCAG00000021043	Cebus_capucinus_imitator
ENSANAP00000020456	ENSANAG00000027958	Aotus_nancymaae
ENSTSYP00000017015	ENSTSYG00000013616	Carlito_syrichta
ENSMICP00000004147	ENSMICG00000004526	Microcebus_murinus
ENSPCOP00000007513	ENSPCOG00000014922	Propithecus_coquereli
ENSPSMP00000035254	ENSPSMG00000024163	Prolemur_simus
