ENSMUSP00000113685	ENSMUSG00000055436	Mus_musculus_strain_reference_(CL57BL6)
ENSMAUP00000007067	ENSMAUG00000008832	Mesocricetus_auratus
ENSPNYP00000009459	ENSPNYG00000007160	Pundamilia_nyererei
ENSPNYP00000029043	ENSPNYG00000021887	Pundamilia_nyererei
ENSCGRP00015006754	ENSCGRG00015005195	Cricetulus_griseus_CriGri-PICR
ENSLCAP00010014663	ENSLCAG00010006955	Lates_calcarifer
ENSSARP00000000724	ENSSARG00000000795	Sorex_araneus
ENSMPUP00000000888	ENSMPUG00000000892	Mustela_putorius_furo
ENSBTAP00000020564	ENSBTAG00000015474	Bos_taurus
ENSCPGP00000027947	ENSCPGG00000019266	Calidris_pygmaea	ENSCPGT00000030514
ENSGAGP00000031183	ENSGAGG00000022409	Gopherus_agassizii
ENSGAGP00000031185	ENSGAGG00000022411	Gopherus_agassizii
ENSCPBP00000031950	ENSCPBG00000022430	Chrysemys_picta_bellii
ENSGAGP00000031188	ENSGAGG00000022412	Gopherus_agassizii
ENSUMAP00000008692	ENSUMAG00000006618	Ursus_maritimus
ENSLSDP00000024711	ENSLSDG00000017333	Lonchura_striata_domestica
ENSOANP00000024461	ENSOANG00000015528	Ornithorhynchus_anatinus
ENSRROP00000004223	ENSRROG00000017210	Rhinopithecus_roxellana
ENSNVIP00000014067	ENSNVIG00000011028	Neovison_vison
ENSCHIP00000030600	ENSCHIG00000025295	Capra_hircus
ENSODEP00000022420	ENSODEG00000016450	Octodon_degus
ENSFDAP00000009862	ENSFDAG00000017777	Fukomys_damarensis
ENSPMEP00000016209	ENSPMEG00000018837	Poecilia_mexicana
ENSLBEP00000030434	ENSLBEG00000022980	Labrus_bergylta
ENSCGOP00000040203	ENSCGOG00000018328	Cottoperca_gobio
ENSPTRP00000052195	ENSPTRG00000000852	Pan_troglodytes
ENSTGUP00000003038	ENSTGUG00000002935	Taeniopygia_guttata
ENSJJAP00000014896	ENSJJAG00000017238	Jaculus_jaculus
ENSAHAP00000015969	ENSAHAG00000011410	Apteryx_haastii
ENSMZEP00005033563	ENSMZEG00005025071	Maylandia_zebra
ENSACIP00000019314	ENSACIG00000015041	Amphilophus_citrinellus
ENSAPEP00000004325	ENSAPEG00000003142	Amphiprion_percula
ENSGWIP00000005726	ENSGWIG00000003243	Gouania_willdenowi
ENSORLP00015011151	ENSORLG00015011944	Oryzias_latipes_ASM223469v1
ENSMZEP00005007462	ENSMZEG00005005707	Maylandia_zebra
ENSCHOP00000009824	ENSCHOG00000011104	Choloepus_hoffmanni
ENSXMAP00000005531	ENSXMAG00000005502	Xiphophorus_maculatus
ENSPPRP00000000758	ENSPPRG00000024617	Panthera_pardus
ENSVVUP00000007794	ENSVVUG00000005890	Vulpes_vulpes
ENSVURP00010017292	ENSVURG00010013206	Vombatus_ursinus
ENSCINP00000024217	ENSCING00000022892	Ciona_intestinalis
ENSXCOP00000004103	ENSXCOG00000003220	Xiphophorus_couchianus
ENSTNIP00000013403	ENSTNIG00000010494	Tetraodon_nigroviridis
ENSORLP00015019366	ENSORLG00015020455	Oryzias_latipes_ASM223469v1
ENSPNAP00000006948	ENSPNAG00000012892	Pygocentrus_nattereri
ENSPMEP00000024371	ENSPMEG00000006607	Poecilia_mexicana
ENSPREP00000013321	ENSPREG00000009065	Poecilia_reticulata
ENSPNYP00000019497	ENSPNYG00000014732	Pundamilia_nyererei
ENSZALP00000011112	ENSZALG00000009430	Zonotrichia_albicollis
ENSZALP00000011110	ENSZALG00000009428	Zonotrichia_albicollis
ENSPRNP00000044393	ENSPRNG00000021584	Parambassis_ranga
ENSJJAP00000004265	ENSJJAG00000008846	Jaculus_jaculus
ENSPPRP00000007618	ENSPPRG00000002720	Panthera_pardus
ENSSLDP00000019738	ENSSLDG00000015477	Seriola_lalandi_dorsalis
ENSETEP00000015679	ENSETEG00000019299	Echinops_telfairi
ENSPANP00000018023	ENSPANG00000008953	Papio_anubis
ENSRNOP00000043202	ENSRNOG00000029592	Rattus_norvegicus
ENSPTRP00000077359	ENSPTRG00000016936	Pan_troglodytes
ENSPTIP00000004037	ENSPTIG00000006608	Panthera_tigris_altaica
ENSPEMP00000014506	ENSPEMG00000014288	Peromyscus_maniculatus_bairdii
ENSPPAP00000017074	ENSPPAG00000031605	Pan_paniscus
ENSOMEP00000005183	ENSOMEG00000006172	Oryzias_melastigma
ENSGGOP00000038167	ENSGGOG00000004737	Gorilla_gorilla
ENSCABP00000015313	ENSCABG00000011417	Chelonoidis_abingdonii
ENSGAFP00000002521	ENSGAFG00000001732	Gambusia_affinis
ENSCCAP00000005672	ENSCCAG00000020591	Cebus_capucinus_imitator
ENSPVIP00000004738	ENSPVIG00000003854	Pogona_vitticeps
ENSPPAP00000026056	ENSPPAG00000036149	Pan_paniscus
ENSPLAP00000023441	ENSPLAG00000008818	Poecilia_latipinna
ENSELUP00000007465	ENSELUG00000008230	Esox_lucius
ENSCCEP00000006273	ENSCCEG00000006770	Cyanistes_caeruleus
ENSMODP00000024532	ENSMODG00000019665	Monodelphis_domestica
ENSABRP00000014297	ENSABRG00000012672	Anser_brachyrhynchus
ENSDARP00000138275	ENSDARG00000098574	Danio_rerio
ENSOGAP00000003027	ENSOGAG00000003392	Otolemur_garnettii
ENSNLEP00000011456	ENSNLEG00000009400	Nomascus_leucogenys
ENSSFOP00015023143	ENSSFOG00015014887	Scleropages_formosus
ENSNGAP00000007365	ENSNGAG00000010637	Nannospalax_galili
ENSDNVP00000000939	ENSDNVG00000000708	Dromaius_novaehollandiae
