ENSCHOP00000006298	ENSCHOG00000007111	Choloepus_hoffmanni	ENSCHOT00000007123
ENSDNOP00000021835	ENSDNOG00000038326	Dasypus_novemcinctus	ENSDNOT00000051508
ENSSDAP00000010307	ENSSDAG00000009379	Spermophilus_dauricus	ENSSDAT00000011706
ENSSDAP00000010318	ENSSDAG00000009386	Spermophilus_dauricus	ENSSDAT00000011718
ENSMMMP00000000139	ENSMMMG00000000142	Marmota_marmota_marmota
ENSUPAP00010001939	ENSUPAG00010001659	Urocitellus_parryii
ENSSTOP00000023270	ENSSTOG00000015465	Ictidomys_tridecemlineatus
ENSCCNP00000000477	ENSCCNG00000000546	Castor_canadensis
ENSHGLP00000026122	ENSHGLG00000018593	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100012805	ENSHGLG00100009482	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000007641	ENSFDAG00000016083	Fukomys_damarensis
ENSCAPP00000002341	ENSCAPG00000005273	Cavia_aperea
ENSCPOP00000026919	ENSCPOG00000040521	Cavia_porcellus
ENSCLAP00000015947	ENSCLAG00000010974	Chinchilla_lanigera
ENSMUSP00000122345	ENSMUSG00000098754	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0054765	MGP_CAROLIEiJ_G0024333	Mus_caroli_strain_CAROLI_EIJ
ENSMUSP00000105801	ENSMUSG00000027338	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0054769	MGP_CAROLIEiJ_G0024334	Mus_caroli_strain_CAROLI_EIJ
MGP_SPRETEiJ_P0056877	MGP_SPRETEiJ_G0025253	Mus_spretus_strain_SPRET/EiJ
MGP_SPRETEiJ_P0056880	MGP_SPRETEiJ_G0025254	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000023943	ENSMSIG00000020269	Mus_spicilegus
MGP_PahariEiJ_P0065746	MGP_PahariEiJ_G0025779	Mus_pahari_strain_PAHARI_EIJ
MGP_PahariEiJ_P0065743	MGP_PahariEiJ_G0025778	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000039441	ENSRNOG00000021260	Rattus_norvegicus
ENSMUGP00000019706	ENSMUGG00000016672	Meriones_unguiculatus
ENSCGRP00001006887	ENSCGRG00001009363	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015014603	ENSCGRG00015011244	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000020570	ENSCGRG00000014966	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000023533	ENSMAUG00000020658	Mesocricetus_auratus
ENSMOCP00000026922	ENSMOCG00000022573	Microtus_ochrogaster
ENSPEMP00000033332	ENSPEMG00000025579	Peromyscus_maniculatus_bairdii
ENSNGAP00000010536	ENSNGAG00000012939	Nannospalax_galili
ENSOCUP00000023937	ENSOCUG00000002089	Oryctolagus_cuniculus
ENSOPRP00000001527	ENSOPRG00000001670	Ochotona_princeps
ENSPTRP00000076306	ENSPTRG00000042964	Pan_troglodytes
ENSPPAP00000001972	ENSPPAG00000008942	Pan_paniscus
ENSGGOP00000036517	ENSGGOG00000041952	Gorilla_gorilla
ENSP00000306900	ENSG00000171864	Homo_sapiens
ENSRBIP00000019307	ENSRBIG00000033646	Rhinopithecus_bieti
ENSPTEP00000005393	ENSPTEG00000006244	Piliocolobus_tephrosceles
ENSTGEP00000016906	ENSTGEG00000013666	Theropithecus_gelada
ENSMMUP00000062244	ENSMMUG00000061435	Macaca_mulatta
ENSCSAP00000018279	ENSCSAG00000018757	Chlorocebus_sabaeus
ENSCJAP00000061355	ENSCJAG00000046612	Callithrix_jacchus
ENSPSMP00000016808	ENSPSMG00000012006	Prolemur_simus
ENSUMAP00000005395	ENSUMAG00000004273	Ursus_maritimus
