ENSRNOP00000006850	ENSRNOG00000005103	Rattus_norvegicus
ENSSTOP00000003705	ENSSTOG00000004129	Ictidomys_tridecemlineatus
ENSPVAP00000012223	ENSPVAG00000012961	Pteropus_vampyrus
ENSSDAP00000018232	ENSSDAG00000016670	Spermophilus_dauricus
ENSRBIP00000019414	ENSRBIG00000033700	Rhinopithecus_bieti
ENSPCIP00000018051	ENSPCIG00000013810	Phascolarctos_cinereus
ENSCAPP00000009673	ENSCAPG00000011101	Cavia_aperea
ENSUMAP00000005251	ENSUMAG00000004162	Ursus_maritimus
ENSPEMP00000003644	ENSPEMG00000005338	Peromyscus_maniculatus_bairdii
ENSCPOP00000019390	ENSCPOG00000021926	Cavia_porcellus
ENSEASP00005003336	ENSEASG00005002589	Equus_asinus_asinus
ENSBTAP00000021208	ENSBTAG00000015949	Bos_taurus
ENSMSIP00000003510	ENSMSIG00000003223	Mus_spicilegus
ENSNGAP00000022162	ENSNGAG00000021135	Nannospalax_galili
ENSLAFP00000005662	ENSLAFG00000006741	Loxodonta_africana	ENSLAFT00000006740
ENSHGLP00100021031	ENSHGLG00100015496	Heterocephalus_glaber_HetGla_1.0
ENSBIXP00005030702	ENSBIXG00005000954	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSCLAP00000024863	ENSCLAG00000017066	Chinchilla_lanigera
ENSFCAP00000016639	ENSFCAG00000027887	Felis_catus
ENSFDAP00000019962	ENSFDAG00000008785	Fukomys_damarensis
ENSGGOP00000043052	ENSGGOG00000038343	Gorilla_gorilla
ENSMUSP00000036005	ENSMUSG00000036924	Mus_musculus_strain_reference_(CL57BL6)
ENSMMUP00000063047	ENSMMUG00000059402	Macaca_mulatta
ENSPPAP00000033085	ENSPPAG00000039408	Pan_paniscus
ENSMUGP00000024387	ENSMUGG00000020378	Meriones_unguiculatus
ENSCGRP00015006930	ENSCGRG00015005389	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000005819	ENSCGRG00000004268	Cricetulus_griseus_CriGri_1.0
ENSJJAP00000009516	ENSJJAG00000013369	Jaculus_jaculus
ENSBMUP00000003610	ENSBMUG00000002852	Bos_mutus
ENSPTRP00000081000	ENSPTRG00000050976	Pan_troglodytes
ENSOCUP00000022319	ENSOCUG00000026263	Oryctolagus_cuniculus
ENSSSCP00000069316	ENSSSCG00000007125	Sus_scrofa_strain_reference
ENSDORP00000023136	ENSDORG00000027228	Dipodomys_ordii
ENSBIXP00000035514	ENSBIXG00000018805	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSHGLP00000015992	ENSHGLG00000011435	Heterocephalus_glaber_HetGla_female_1.0
MGP_PahariEiJ_P0066077	MGP_PahariEiJ_G0025859	Mus_pahari_strain_PAHARI_EIJ
ENSPSMP00000012399	ENSPSMG00000008941	Prolemur_simus
ENSUPAP00010012205	ENSUPAG00010009895	Urocitellus_parryii
ENSVURP00010021197	ENSVURG00010016209	Vombatus_ursinus
ENSUAMP00000016386	ENSUAMG00000013054	Ursus_americanus
ENSPPYP00000012035	ENSPPYG00000010771	Pongo_abelii
ENSOARP00000006512	ENSOARG00000006082	Ovis_aries
ENSPTEP00000002277	ENSPTEG00000002681	Piliocolobus_tephrosceles
MGP_CAROLIEiJ_P0055095	MGP_CAROLIEiJ_G0024416	Mus_caroli_strain_CAROLI_EIJ
ENSMAUP00000025255	ENSMAUG00000021851	Mesocricetus_auratus
ENSMOCP00000013080	ENSMOCG00000012990	Microtus_ochrogaster
ENSMMMP00000004941	ENSMMMG00000004513	Marmota_marmota_marmota
ENSCHIP00000024775	ENSCHIG00000021829	Capra_hircus
ENSCJAP00000070252	ENSCJAG00000051369	Callithrix_jacchus
ENSCHOP00000006962	ENSCHOG00000007862	Choloepus_hoffmanni
ENSBBBP00000026605	ENSBBBG00000022506	Bison_bison_bison
ENSCAFP00000034138	ENSCAFG00000024853	Canis_lupus_familiaris
ENSTGEP00000025099	ENSTGEG00000020249	Theropithecus_gelada
ENSPPRP00000025645	ENSPPRG00000015946	Panthera_pardus
ENSAMEP00000010411	ENSAMEG00000009914	Ailuropoda_melanoleuca
ENSCAFP00020035468	ENSCAFG00020027456	Canis_lupus_dingo
ENSPTIP00000004707	ENSPTIG00000007155	Panthera_tigris_altaica
ENSODEP00000014337	ENSODEG00000010611	Octodon_degus
ENSCGRP00001026895	ENSCGRG00001024079	Cricetulus_griseus_CHOK1GS_HDv1
ENSDNOP00000030644	ENSDNOG00000034195	Dasypus_novemcinctus
ENSMLUP00000018570	ENSMLUG00000024267	Myotis_lucifugus
MGP_SPRETEiJ_P0057229	MGP_SPRETEiJ_G0025334	Mus_spretus_strain_SPRET/EiJ
ENSNVIP00000001812	ENSNVIG00000001478	Neovison_vison
ENSVVUP00000016416	ENSVVUG00000012058	Vulpes_vulpes
