FBpp0071553	FBgn0261067	Drosophila_melanogaster	FBtr0071628
F40F8.9.2	WBGene00003076	Caenorhabditis_elegans_strain_N2	F40F8.9.2
ENSVPAP00000010791	ENSVPAG00000011593	Vicugna_pacos
ENSSARP00000011304	ENSSARG00000012520	Sorex_araneus
ENSHGLP00000007884	ENSHGLG00000005711	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100024040	ENSHGLG00100017660	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000024649	ENSHGLG00000017574	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100016460	ENSHGLG00100012152	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000021505	ENSFDAG00000007658	Fukomys_damarensis
ENSCPOP00000030321	ENSCPOG00000032671	Cavia_porcellus
ENSCAPP00000000258	ENSCAPG00000000217	Cavia_aperea
ENSODEP00000006458	ENSODEG00000004834	Octodon_degus
ENSCLAP00000001516	ENSCLAG00000001137	Chinchilla_lanigera
ENSMOCP00000027279	ENSMOCG00000022817	Microtus_ochrogaster
ENSPEMP00000030041	ENSPEMG00000025391	Peromyscus_maniculatus_bairdii
ENSCGRP00000008965	ENSCGRG00000006554	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001027601	ENSCGRG00001024560	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000018680	ENSCGRG00000013603	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001002160	ENSCGRG00001002259	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015032526	ENSCGRG00015024539	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000018947	ENSMAUG00000017377	Mesocricetus_auratus
MGP_SPRETEiJ_P0087539	MGP_SPRETEiJ_G0032049	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000035794	ENSMSIG00000029791	Mus_spicilegus
ENSMUSP00000041022	ENSMUSG00000037296	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0084067	MGP_CAROLIEiJ_G0030930	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0046969	MGP_PahariEiJ_G0021400	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000020721	ENSRNOG00000015375	Rattus_norvegicus
ENSTBEP00000013780	ENSTBEG00000015884	Tupaia_belangeri
ENSOPRP00000000297	ENSOPRG00000000333	Ochotona_princeps
ENSPCOP00000018076	ENSPCOG00000020901	Propithecus_coquereli
ENSPCOP00000022400	ENSPCOG00000023289	Propithecus_coquereli
ENSPSMP00000018378	ENSPSMG00000013032	Prolemur_simus
ENSMICP00000046820	ENSMICG00000030726	Microcebus_murinus
ENSOGAP00000013575	ENSOGAG00000015161	Otolemur_garnettii
ENSCCAP00000038683	ENSCCAG00000037171	Cebus_capucinus_imitator
ENSCJAP00000058034	ENSCJAG00000048015	Callithrix_jacchus
ENSANAP00000020014	ENSANAG00000027785	Aotus_nancymaae
ENSPTRP00000053200	ENSPTRG00000020169	Pan_troglodytes
ENSPPAP00000018300	ENSPPAG00000032279	Pan_paniscus
ENSP00000310596	ENSG00000175324	Homo_sapiens
ENSGGOP00000024804	ENSGGOG00000022658	Gorilla_gorilla
ENSPPYP00000020761	ENSPPYG00000018521	Pongo_abelii
ENSNLEP00000049037	ENSNLEG00000029390	Nomascus_leucogenys
ENSPTEP00000036463	ENSPTEG00000034257	Piliocolobus_tephrosceles
ENSCANP00000005651	ENSCANG00000019173	Colobus_angolensis_palliatus
ENSRBIP00000007163	ENSRBIG00000027449	Rhinopithecus_bieti
ENSRROP00000024537	ENSRROG00000036074	Rhinopithecus_roxellana
ENSCSAP00000011571	ENSCSAG00000015485	Chlorocebus_sabaeus
ENSMFAP00000019291	ENSMFAG00000032661	Macaca_fascicularis
ENSPANP00000011796	ENSPANG00000008814	Papio_anubis
ENSCATP00000006556	ENSCATG00000020377	Cercocebus_atys
ENSTGEP00000009371	ENSTGEG00000007720	Theropithecus_gelada
ENSMLEP00000020672	ENSMLEG00000034535	Mandrillus_leucophaeus
ENSETEP00000008755	ENSETEG00000010779	Echinops_telfairi
ENSJJAP00000011217	ENSJJAG00000014605	Jaculus_jaculus
ENSJJAP00000021793	ENSJJAG00000022057	Jaculus_jaculus
ENSCCNP00000004479	ENSCCNG00000004765	Castor_canadensis
ENSDORP00000025692	ENSDORG00000028172	Dipodomys_ordii
ENSNGAP00000003323	ENSNGAG00000003753	Nannospalax_galili
ENSSDAP00000006840	ENSSDAG00000006314	Spermophilus_dauricus
ENSMMMP00000017512	ENSMMMG00000015551	Marmota_marmota_marmota
ENSUPAP00010030486	ENSUPAG00010023933	Urocitellus_parryii
ENSSTOP00000015145	ENSSTOG00000026870	Ictidomys_tridecemlineatus
ENSPEMP00000037004	ENSPEMG00000031091	Peromyscus_maniculatus_bairdii
ENSEEUP00000013851	ENSEEUG00000015181	Erinaceus_europaeus
ENSVVUP00000020147	ENSVVUG00000014880	Vulpes_vulpes
ENSPPRP00000023929	ENSPPRG00000014172	Panthera_pardus
ENSPTIP00000009108	ENSPTIG00000010289	Panthera_tigris_altaica
ENSFCAP00000039469	ENSFCAG00000039335	Felis_catus
ENSPPRP00000029394	ENSPPRG00000021990	Panthera_pardus
ENSMPUP00000009809	ENSMPUG00000009883	Mustela_putorius_furo
ENSNVIP00000014239	ENSNVIG00000011204	Neovison_vison
ENSUMAP00000012259	ENSUMAG00000009132	Ursus_maritimus
ENSUAMP00000004477	ENSUAMG00000004103	Ursus_americanus
ENSAMEP00000011719	ENSAMEG00000011141	Ailuropoda_melanoleuca
ENSCAFP00000009190	ENSCAFG00000006113	Canis_lupus_familiaris
ENSCAFP00020002107	ENSCAFG00020001822	Canis_lupus_dingo
ENSVVUP00000027482	ENSVVUG00000020191	Vulpes_vulpes
ENSPVAP00000005686	ENSPVAG00000006016	Pteropus_vampyrus
ENSMLUP00000003402	ENSMLUG00000003734	Myotis_lucifugus
