ENSGALP00000013996	ENSGALG00000008604	Gallus_gallus
ENSCJPP00005023787	ENSCJPG00005018799	Coturnix_japonica
ENSMGAP00000007824	ENSMGAG00000007669	Meleagris_gallopavo
ENSNMEP00000000528	ENSNMEG00000000795	Numida_meleagris
ENSABRP00000006986	ENSABRG00000006430	Anser_brachyrhynchus
ENSCPGP00000015307	ENSCPGG00000010789	Calidris_pygmaea
ENSCPUP00000002468	ENSCPUG00000001902	Calidris_pugnax
ENSMUNP00000018077	ENSMUNG00000013834	Melopsittacus_undulatus
ENSTGUP00000003556	ENSTGUG00000003447	Taeniopygia_guttata
ENSLSDP00000006681	ENSLSDG00000005054	Lonchura_striata_domestica
ENSSCAP00000023693	ENSSCAG00000016951	Serinus_canaria
ENSPMJP00000014998	ENSPMJG00000011381	Parus_major
ENSCCEP00000023182	ENSCCEG00000020815	Cyanistes_caeruleus
ENSFALP00000001612	ENSFALG00000001551	Ficedula_albicollis
ENSJHYP00000019272	ENSJHYG00000014638	Junco_hyemalis
ENSZALP00000023592	ENSZALG00000018238	Zonotrichia_albicollis
ENSLCOP00000000130	ENSLCOG00000000126	Lepidothrix_coronata
ENSMVIP00005007919	ENSMVIG00005005925	Manacus_vitellinus
ENSAHAP00000017178	ENSAHAG00000012246	Apteryx_haastii
ENSAOWP00000012460	ENSAOWG00000008524	Apteryx_owenii
ENSARWP00000002116	ENSARWG00000001624	Apteryx_rowi
ENSDNVP00000014280	ENSDNVG00000010026	Dromaius_novaehollandiae
ENSNPEP00000005065	ENSNPEG00000003841	Nothoprocta_perdicaria
ENSCPRP00005008222	ENSCPRG00005005852	Crocodylus_porosus
ENSGAGP00000001543	ENSGAGG00000001248	Gopherus_agassizii
ENSCABP00000023768	ENSCABG00000017494	Chelonoidis_abingdonii
ENSCPBP00000029327	ENSCPBG00000020669	Chrysemys_picta_bellii
ENSPSIP00000020233	ENSPSIG00000017928	Pelodiscus_sinensis
ENSACAP00000003639	ENSACAG00000003743	Anolis_carolinensis
ENSPVIP00000008821	ENSPVIG00000007068	Pogona_vitticeps
ENSNSUP00000013414	ENSNSUG00000009997	Notechis_scutatus
ENSSMRP00000022885	ENSSMRG00000017761	Salvator_merianae
ENSSPUP00000016849	ENSSPUG00000012995	Sphenodon_punctatus
ENSUAMP00000032530	ENSUAMG00000024842	Ursus_americanus
ENSUMAP00000030060	ENSUMAG00000021743	Ursus_maritimus
ENSAMEP00000000198	ENSAMEG00000000183	Ailuropoda_melanoleuca
ENSMPUP00000001455	ENSMPUG00000001469	Mustela_putorius_furo
ENSNVIP00000029131	ENSNVIG00000022455	Neovison_vison
ENSCAFP00020004842	ENSCAFG00020003969	Canis_lupus_dingo
ENSCAFP00000031479	ENSCAFG00000018461	Canis_lupus_familiaris
ENSVVUP00000039423	ENSVVUG00000028079	Vulpes_vulpes
ENSPPRP00000002360	ENSPPRG00000023467	Panthera_pardus
ENSPTIP00000010490	ENSPTIG00000011236	Panthera_tigris_altaica
ENSFCAP00000050645	ENSFCAG00000014940	Felis_catus
ENSPVAP00000011369	ENSPVAG00000012065	Pteropus_vampyrus
ENSECAP00000029859	ENSECAG00000009038	Equus_caballus
ENSEASP00005010881	ENSEASG00005007676	Equus_asinus_asinus
ENSMLUP00000014953	ENSMLUG00000016410	Myotis_lucifugus
ENSTTRP00000004743	ENSTTRG00000005036	Tursiops_truncatus
ENSSSCP00000060559	ENSSSCG00000012607	Sus_scrofa_strain_reference
ENSBIXP00005014583	ENSBIXG00005005989	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000069103	ENSBTAG00000017187	Bos_taurus
ENSBMUP00000030315	ENSBMUG00000022674	Bos_mutus
ENSOARP00000013957	ENSOARG00000013031	Ovis_aries
ENSLAFP00000013026	ENSLAFG00000015538	Loxodonta_africana
ENSDNOP00000009761	ENSDNOG00000012577	Dasypus_novemcinctus
ENSCGRP00000008097	ENSCGRG00000005906	Cricetulus_griseus_CriGri_1.0
