ENSCCNP00000001104	ENSCCNG00000001177	Castor_canadensis	ENSCCNT00000001424
ENSDORP00000013403	ENSDORG00000014252	Dipodomys_ordii	ENSDORT00000014252
ENSSDAP00000024930	ENSSDAG00000022671	Spermophilus_dauricus	ENSSDAT00000028509
ENSMMMP00000023476	ENSMMMG00000020540	Marmota_marmota_marmota
ENSUPAP00010014272	ENSUPAG00010011462	Urocitellus_parryii
ENSFDAP00000016564	ENSFDAG00000005159	Fukomys_damarensis
ENSOCUP00000014444	ENSOCUG00000016809	Oryctolagus_cuniculus
ENSOPRP00000003370	ENSOPRG00000003673	Ochotona_princeps
ENSGGOP00000009264	ENSGGOG00000000689	Gorilla_gorilla
ENSP00000366465	ENSG00000189298	Homo_sapiens
ENSPPAP00000031082	ENSPPAG00000038485	Pan_paniscus
ENSPTRP00000086687	ENSPTRG00000017875	Pan_troglodytes
ENSPPYP00000018301	ENSPPYG00000016371	Pongo_abelii
ENSNLEP00000005536	ENSNLEG00000004558	Nomascus_leucogenys
ENSPANP00000013869	ENSPANG00000008440	Papio_anubis
ENSMLEP00000027048	ENSMLEG00000037727	Mandrillus_leucophaeus
ENSTGEP00000004280	ENSTGEG00000003590	Theropithecus_gelada
ENSCATP00000009001	ENSCATG00000027380	Cercocebus_atys
ENSMFAP00000028646	ENSMFAG00000040669	Macaca_fascicularis
ENSMMUP00000009487	ENSMMUG00000018054	Macaca_mulatta
ENSMNEP00000015455	ENSMNEG00000031825	Macaca_nemestrina
ENSCSAP00000004279	ENSCSAG00000008016	Chlorocebus_sabaeus
ENSRBIP00000038932	ENSRBIG00000042938	Rhinopithecus_bieti
ENSRROP00000036762	ENSRROG00000041849	Rhinopithecus_roxellana
ENSPTEP00000039413	ENSPTEG00000036467	Piliocolobus_tephrosceles
ENSCANP00000006952	ENSCANG00000023127	Colobus_angolensis_palliatus
ENSCCAP00000034353	ENSCCAG00000035145	Cebus_capucinus_imitator
ENSSBOP00000004451	ENSSBOG00000018831	Saimiri_boliviensis_boliviensis
ENSCJAP00000074447	ENSCJAG00000018623	Callithrix_jacchus
ENSANAP00000017535	ENSANAG00000026638	Aotus_nancymaae
ENSTSYP00000004330	ENSTSYG00000004748	Carlito_syrichta
ENSMICP00000009555	ENSMICG00000010491	Microcebus_murinus
ENSPCOP00000006811	ENSPCOG00000014599	Propithecus_coquereli
ENSPSMP00000022387	ENSPSMG00000015823	Prolemur_simus
ENSOGAP00000005898	ENSOGAG00000006596	Otolemur_garnettii
ENSECAP00000010825	ENSECAG00000013024	Equus_caballus
ENSEASP00005017528	ENSEASG00005012106	Equus_asinus_asinus
ENSPCAP00000010826	ENSPCAG00000011654	Procavia_capensis
ENSLAFP00000011798	ENSLAFG00000014091	Loxodonta_africana
ENSMLUP00000013211	ENSMLUG00000014514	Myotis_lucifugus
ENSCHOP00000010785	ENSCHOG00000012193	Choloepus_hoffmanni
ENSDNOP00000019454	ENSDNOG00000033262	Dasypus_novemcinctus
