ENSPCAP00000002857	ENSPCAG00000003088	Procavia_capensis	ENSPCAT00000003038
ENSPCAP00000007380	ENSPCAG00000007823	Procavia_capensis	ENSPCAT00000007884
ENSPCAP00000004835	ENSPCAG00000005228	Procavia_capensis	ENSPCAT00000005161
ENSPCAP00000004199	ENSPCAG00000004530	Procavia_capensis	ENSPCAT00000004477
ENSETEP00000014428	ENSETEG00000017759	Echinops_telfairi	ENSETET00000017758
ENSETEP00000013173	ENSETEG00000016253	Echinops_telfairi	ENSETET00000016251
ENSETEP00000005604	ENSETEG00000006912	Echinops_telfairi	ENSETET00000006910
ENSPCAP00000001785	ENSPCAG00000001948	Procavia_capensis	ENSPCAT00000001897
ENSETEP00000000254	ENSETEG00000000328	Echinops_telfairi	ENSETET00000000326
ENSETEP00000013304	ENSETEG00000016405	Echinops_telfairi	ENSETET00000016405
ENSETEP00000003805	ENSETEG00000004659	Echinops_telfairi	ENSETET00000004656
ENSETEP00000007544	ENSETEG00000009282	Echinops_telfairi	ENSETET00000009282
ENSETEP00000011922	ENSETEG00000014713	Echinops_telfairi	ENSETET00000014711
ENSETEP00000000333	ENSETEG00000000424	Echinops_telfairi	ENSETET00000000421
ENSETEP00000005551	ENSETEG00000006837	Echinops_telfairi	ENSETET00000006842
ENSTTRP00000014602	ENSTTRG00000015409	Tursiops_truncatus
ENSVPAP00000001606	ENSVPAG00000001740	Vicugna_pacos
ENSPVAP00000016050	ENSPVAG00000017016	Pteropus_vampyrus	ENSPVAT00000017016
ENSPSMP00000024603	ENSPSMG00000017340	Prolemur_simus
ENSPCOP00000030568	ENSPCOG00000028005	Propithecus_coquereli
ENSMICP00000043039	ENSMICG00000016529	Microcebus_murinus
ENSOGAP00000015791	ENSOGAG00000033365	Otolemur_garnettii
ENSPTRP00000068690	ENSPTRG00000013177	Pan_troglodytes
ENSPPAP00000004133	ENSPPAG00000017593	Pan_paniscus
ENSP00000482819	ENSG00000088876	Homo_sapiens
ENSGGOP00000005213	ENSGGOG00000005326	Gorilla_gorilla
ENSPPYP00000012106	ENSPPYG00000010840	Pongo_abelii
ENSNLEP00000024551	ENSNLEG00000009203	Nomascus_leucogenys
ENSTGEP00000013480	ENSTGEG00000010959	Theropithecus_gelada
ENSPANP00000029186	ENSPANG00000013446	Papio_anubis
ENSMLEP00000026789	ENSMLEG00000037595	Mandrillus_leucophaeus
ENSCATP00000024752	ENSCATG00000035883	Cercocebus_atys
ENSMMUP00000037631	ENSMMUG00000010054	Macaca_mulatta
ENSMNEP00000044617	ENSMNEG00000044885	Macaca_nemestrina
ENSMFAP00000020906	ENSMFAG00000033379	Macaca_fascicularis
ENSRROP00000010072	ENSRROG00000029443	Rhinopithecus_roxellana
ENSRBIP00000038545	ENSRBIG00000042785	Rhinopithecus_bieti
ENSPTEP00000034830	ENSPTEG00000032992	Piliocolobus_tephrosceles
ENSCANP00000008559	ENSCANG00000027689	Colobus_angolensis_palliatus
ENSP00000456213	ENSG00000256566	Homo_sapiens
ENSCSAP00000007064	ENSCSAG00000010844	Chlorocebus_sabaeus
ENSSBOP00000026520	ENSSBOG00000029706	Saimiri_boliviensis_boliviensis
ENSCCAP00000021406	ENSCCAG00000028537	Cebus_capucinus_imitator
ENSANAP00000001043	ENSANAG00000009075	Aotus_nancymaae
ENSCHOP00000001469	ENSCHOG00000001661	Choloepus_hoffmanni
