ENSMGAP00000008791	ENSMGAG00000008562	Meleagris_gallopavo
ENSNMEP00000000033	ENSNMEG00000000061	Numida_meleagris
ENSMUNP00000019065	ENSMUNG00000014595	Melopsittacus_undulatus
ENSCPUP00000012212	ENSCPUG00000008646	Calidris_pugnax	ENSCPUT00000014543
ENSGALP00000046064	ENSGALG00000043476	Gallus_gallus
ENSAOWP00000016313	ENSAOWG00000011118	Apteryx_owenii
ENSECAP00000017731	ENSECAG00000020291	Equus_caballus
ENSEASP00005012171	ENSEASG00005008504	Equus_asinus_asinus
ENSEEUP00000008668	ENSEEUG00000009511	Erinaceus_europaeus
ENSTBEP00000001611	ENSTBEG00000001869	Tupaia_belangeri
ENSLACP00000013822	ENSLACG00000012168	Latimeria_chalumnae
ENSORLP00020022848	ENSORLG00020003354	Oryzias_latipes_ASM223471v1
ENSORLP00015022846	ENSORLG00015002471	Oryzias_latipes_ASM223469v1
ENSKMAP00000011795	ENSKMAG00000008864	Kryptolebias_marmoratus
ENSLCRP00005011323	ENSLCRG00005005116	Larimichthys_crocea
ENSSDUP00000020175	ENSSDUG00000014675	Seriola_dumerili
ENSSLDP00000006900	ENSSLDG00000005491	Seriola_lalandi_dorsalis
ENSGWIP00000039846	ENSGWIG00000020204	Gouania_willdenowi
ENSELUP00000039432	ENSELUG00000019582	Esox_lucius
ENSDCDP00000011831	ENSDCDG00000006553	Denticeps_clupeoides
ENSAMXP00005023247	ENSAMXG00005011949	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSODEP00000009153	ENSODEG00000006837	Octodon_degus
ENSSDAP00000011073	ENSSDAG00000010009	Spermophilus_dauricus
ENSOCUP00000049355	ENSOCUG00000000824	Oryctolagus_cuniculus
ENSTBEP00000006393	ENSTBEG00000007415	Tupaia_belangeri
ENSANAP00000025063	ENSANAG00000030251	Aotus_nancymaae
ENSTTRP00000014576	ENSTTRG00000015381	Tursiops_truncatus
ENSUPAP00010017648	ENSUPAG00010014058	Urocitellus_parryii
ENSCCNP00000025238	ENSCCNG00000024631	Castor_canadensis
ENSBIXP00000013367	ENSBIXG00000018305	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005015036	ENSBIXG00005018912	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBBBP00000012447	ENSBBBG00000008392	Bison_bison_bison
ENSCHIP00000029075	ENSCHIG00000024344	Capra_hircus
ENSBBBP00000026584	ENSBBBG00000007527	Bison_bison_bison
ENSPCOP00000023380	ENSPCOG00000023829	Propithecus_coquereli
ENSVURP00010018948	ENSVURG00010014428	Vombatus_ursinus
ENSVURP00010018955	ENSVURG00010014436	Vombatus_ursinus
ENSAPLP00000032729	ENSAPLG00000026528	Anas_platyrhynchos_platyrhynchos
ENSSLDP00000009807	ENSSLDG00000007815	Seriola_lalandi_dorsalis
ENSSLDP00000012772	ENSSLDG00000010165	Seriola_lalandi_dorsalis
ENSSLDP00000005339	ENSSLDG00000004263	Seriola_lalandi_dorsalis
ENSAPOP00000000115	ENSAPOG00000001269	Acanthochromis_polyacanthus
ENSZALP00000021714	ENSZALG00000016963	Zonotrichia_albicollis
ENSSPUP00000005782	ENSSPUG00000004465	Sphenodon_punctatus
ENSPMAP00000006138	ENSPMAG00000005571	Petromyzon_marinus
