FBpp0290882	FBgn0034728	Drosophila_melanogaster	FBtr0301668
T04H1.4b.2	WBGene00004296	Caenorhabditis_elegans_strain_N2	T04H1.4b.2
ENSPTEP00000000851	ENSPTEG00000000968	Piliocolobus_tephrosceles	ENSPTET00000001270
ENSPTEP00000000830	ENSPTEG00000000940	Piliocolobus_tephrosceles	ENSPTET00000001235
ENSPTEP00000003220	ENSPTEG00000003822	Piliocolobus_tephrosceles	ENSPTET00000005048
ENSPTEP00000004706	ENSPTEG00000005495	Piliocolobus_tephrosceles	ENSPTET00000007289
ENSPTEP00000015344	ENSPTEG00000017045	Piliocolobus_tephrosceles	ENSPTET00000022915
ENSEBUP00000025041	ENSEBUG00000015454	Eptatretus_burgeri
ENSPMAP00000004604	ENSPMAG00000004172	Petromyzon_marinus
ENSEEEP00000013894	ENSEEEG00000006900	Electrophorus_electricus
ENSIPUP00000018671	ENSIPUG00000012572	Ictalurus_punctatus
ENSEEEP00000005699	ENSEEEG00000003009	Electrophorus_electricus
ENSAMXP00000020504	ENSAMXG00000019920	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005024602	ENSAMXG00005012412	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000020444	ENSPNAG00000027413	Pygocentrus_nattereri
ENSDARP00000124284	ENSDARG00000038917	Danio_rerio
ENSDCDP00000061323	ENSDCDG00000034984	Denticeps_clupeoides
ENSCHAP00000007365	ENSCHAG00000003034	Clupea_harengus
ENSHHUP00000070131	ENSHHUG00000041223	Hucho_hucho
ENSELUP00000041966	ENSELUG00000023093	Esox_lucius
ENSMALP00000026864	ENSMALG00000018601	Monopterus_albus
ENSCSEP00000023298	ENSCSEG00000014793	Cynoglossus_semilaevis
ENSGWIP00000046019	ENSGWIG00000022425	Gouania_willdenowi
ENSTRUP00000054319	ENSTRUG00000003700	Takifugu_rubripes
ENSTNIP00000021383	ENSTNIG00000018217	Tetraodon_nigroviridis
ENSMMOP00000018235	ENSMMOG00000013815	Mola_mola
ENSGACP00000027392	ENSGACG00000020717	Gasterosteus_aculeatus
ENSLCRP00005029486	ENSLCRG00005011645	Larimichthys_crocea
ENSLBEP00000033266	ENSLBEG00000025013	Labrus_bergylta
ENSCGOP00000018261	ENSCGOG00000007389	Cottoperca_gobio
ENSAPEP00000024741	ENSAPEG00000017535	Amphiprion_percula
ENSAOCP00000012175	ENSAOCG00000016671	Amphiprion_ocellaris
