FBpp0082599	FBgn0038342	Drosophila_melanogaster	FBtr0083145
K03E6.4.1	WBGene00019364	Caenorhabditis_elegans_strain_N2	K03E6.4.1
ENSPVIP00000007549	ENSPVIG00000006047	Pogona_vitticeps
ENSACAP00000008287	ENSACAG00000008466	Anolis_carolinensis
ENSNSUP00000024808	ENSNSUG00000017915	Notechis_scutatus
ENSSMRP00000011295	ENSSMRG00000008880	Salvator_merianae
ENSSPUP00000006245	ENSSPUG00000004821	Sphenodon_punctatus
ENSGAGP00000006235	ENSGAGG00000005017	Gopherus_agassizii
ENSCABP00000028662	ENSCABG00000021065	Chelonoidis_abingdonii
ENSCPBP00000029880	ENSCPBG00000021040	Chrysemys_picta_bellii
ENSPSIP00000011936	ENSPSIG00000010749	Pelodiscus_sinensis
ENSGALP00000008160	ENSGALG00000005096	Gallus_gallus
ENSCJPP00005004223	ENSCJPG00005004244	Coturnix_japonica
ENSNMEP00000011982	ENSNMEG00000011209	Numida_meleagris
ENSAPLP00000020220	ENSAPLG00000022447	Anas_platyrhynchos_platyrhynchos
ENSABRP00000017779	ENSABRG00000015368	Anser_brachyrhynchus
ENSCPGP00000001554	ENSCPGG00000001199	Calidris_pygmaea
ENSCPUP00000015389	ENSCPUG00000010718	Calidris_pugnax
ENSLCOP00000017969	ENSLCOG00000012704	Lepidothrix_coronata
ENSMVIP00005020377	ENSMVIG00005014403	Manacus_vitellinus
ENSPMJP00000023806	ENSPMJG00000017546	Parus_major
ENSCCEP00000025757	ENSCCEG00000022703	Cyanistes_caeruleus
ENSFALP00000014295	ENSFALG00000013698	Ficedula_albicollis
ENSLSDP00000010052	ENSLSDG00000007415	Lonchura_striata_domestica
ENSTGUP00000007220	ENSTGUG00000007019	Taeniopygia_guttata
ENSSCAP00000011363	ENSSCAG00000008535	Serinus_canaria
ENSZALP00000005732	ENSZALG00000005314	Zonotrichia_albicollis
ENSJHYP00000005384	ENSJHYG00000004332	Junco_hyemalis
ENSAOWP00000023965	ENSAOWG00000016189	Apteryx_owenii
ENSAHAP00000020049	ENSAHAG00000014110	Apteryx_haastii
ENSARWP00000025488	ENSARWG00000017311	Apteryx_rowi
ENSDNVP00000018920	ENSDNVG00000013219	Dromaius_novaehollandiae
ENSNPEP00000019394	ENSNPEG00000014423	Nothoprocta_perdicaria
ENSCPRP00005022165	ENSCPRG00005015456	Crocodylus_porosus
ENSVURP00010007796	ENSVURG00010006008	Vombatus_ursinus
ENSPCIP00000039952	ENSPCIG00000029251	Phascolarctos_cinereus
ENSMEUP00000000586	ENSMEUG00000000642	Notamacropus_eugenii
ENSSHAP00000015558	ENSSHAG00000013260	Sarcophilus_harrisii
ENSMODP00000041094	ENSMODG00000000984	Monodelphis_domestica
ENSMFAP00000000563	ENSMFAG00000035354	Macaca_fascicularis
ENSCSAP00000004166	ENSCSAG00000007904	Chlorocebus_sabaeus
ENSTGEP00000002655	ENSTGEG00000002301	Theropithecus_gelada
ENSCANP00000005478	ENSCANG00000018462	Colobus_angolensis_palliatus
ENSPPAP00000009119	ENSPPAG00000027767	Pan_paniscus
ENSPTRP00000015130	ENSPTRG00000008866	Pan_troglodytes
ENSP00000261499	ENSG00000108641	Homo_sapiens
ENSGGOP00000001080	ENSGGOG00000001097	Gorilla_gorilla
ENSCCAP00000039336	ENSCCAG00000037471	Cebus_capucinus_imitator
ENSCJAP00000055597	ENSCJAG00000001232	Callithrix_jacchus
ENSANAP00000014336	ENSANAG00000025067	Aotus_nancymaae
ENSTSYP00000019682	ENSTSYG00000026876	Carlito_syrichta
ENSPCOP00000030347	ENSPCOG00000027892	Propithecus_coquereli
ENSPSMP00000018469	ENSPSMG00000013041	Prolemur_simus
ENSMICP00000038600	ENSMICG00000014953	Microcebus_murinus
ENSOGAP00000010750	ENSOGAG00000012018	Otolemur_garnettii
ENSMAUP00000010182	ENSMAUG00000011169	Mesocricetus_auratus
ENSMAUP00000007588	ENSMAUG00000009227	Mesocricetus_auratus
ENSCGRP00000005868	ENSCGRG00000004303	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001026609	ENSCGRG00001023874	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015020453	ENSCGRG00015015640	Cricetulus_griseus_CriGri-PICR
ENSMOCP00000010213	ENSMOCG00000010416	Microtus_ochrogaster
ENSPEMP00000021211	ENSPEMG00000018923	Peromyscus_maniculatus_bairdii
MGP_SPRETEiJ_P0028503	MGP_SPRETEiJ_G0017314	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000099717	ENSMUSG00000001039	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000024600	ENSMSIG00000020800	Mus_spicilegus
MGP_CAROLIEiJ_P0027135	MGP_CAROLIEiJ_G0016479	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0033898	MGP_PahariEiJ_G0017609	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000003402	ENSRNOG00000002462	Rattus_norvegicus
ENSRNOP00000065889	ENSRNOG00000047790	Rattus_norvegicus
ENSMUGP00000021199	ENSMUGG00000017866	Meriones_unguiculatus
ENSNGAP00000003967	ENSNGAG00000004958	Nannospalax_galili
ENSJJAP00000023379	ENSJJAG00000023164	Jaculus_jaculus
ENSSDAP00000004631	ENSSDAG00000004357	Spermophilus_dauricus
ENSMMMP00000008591	ENSMMMG00000007673	Marmota_marmota_marmota
ENSUPAP00010001076	ENSUPAG00010000923	Urocitellus_parryii
ENSSTOP00000014802	ENSSTOG00000016538	Ictidomys_tridecemlineatus
ENSODEP00000000847	ENSODEG00000000687	Octodon_degus
ENSODEP00000003694	ENSODEG00000002830	Octodon_degus
ENSCPOP00000000531	ENSCPOG00000000603	Cavia_porcellus
ENSCAPP00000002527	ENSCAPG00000005519	Cavia_aperea
ENSCLAP00000019132	ENSCLAG00000013112	Chinchilla_lanigera
ENSHGLP00100018715	ENSHGLG00100013804	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000017839	ENSHGLG00000012775	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000004524	ENSFDAG00000013739	Fukomys_damarensis
ENSPVAP00000000419	ENSPVAG00000000449	Pteropus_vampyrus
ENSMLUP00000020743	ENSMLUG00000027528	Myotis_lucifugus
ENSNVIP00000032213	ENSNVIG00000024840	Neovison_vison
ENSMPUP00000000045	ENSMPUG00000000045	Mustela_putorius_furo
ENSAMEP00000004756	ENSAMEG00000004508	Ailuropoda_melanoleuca
ENSCAFP00020026938	ENSCAFG00020021110	Canis_lupus_dingo
ENSPPRP00000020036	ENSPPRG00000011256	Panthera_pardus
ENSPTIP00000004426	ENSPTIG00000006925	Panthera_tigris_altaica
ENSFCAP00000037127	ENSFCAG00000036593	Felis_catus
ENSEEUP00000014505	ENSEEUG00000015886	Erinaceus_europaeus
ENSOARP00000019658	ENSOARG00000018313	Ovis_aries
ENSCHIP00000031844	ENSCHIG00000026044	Capra_hircus
ENSBIXP00005009158	ENSBIXG00005014126	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000006935	ENSBIXG00000012995	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000068854	ENSBTAG00000017790	Bos_taurus
ENSBMUP00000019868	ENSBMUG00000014973	Bos_mutus
ENSBBBP00000020981	ENSBBBG00000014744	Bison_bison_bison
ENSSSCP00000056023	ENSSSCG00000039681	Sus_scrofa_strain_reference
ENSECAP00000011442	ENSECAG00000013639	Equus_caballus
ENSEASP00005025778	ENSEASG00005017601	Equus_asinus_asinus
ENSSARP00000000117	ENSSARG00000000126	Sorex_araneus
