ENSMVIP00005011859	ENSMVIG00005008678	Manacus_vitellinus
ENSLCOP00000004636	ENSLCOG00000003515	Lepidothrix_coronata
ENSZALP00000003575	ENSZALG00000003525	Zonotrichia_albicollis
ENSJHYP00000002007	ENSJHYG00000001687	Junco_hyemalis
ENSSCAP00000008572	ENSSCAG00000006532	Serinus_canaria
ENSLSDP00000025641	ENSLSDG00000017928	Lonchura_striata_domestica
ENSTGUP00000009932	ENSTGUG00000009617	Taeniopygia_guttata
ENSFALP00000012844	ENSFALG00000012302	Ficedula_albicollis
ENSPMJP00000003816	ENSPMJG00000003344	Parus_major
ENSCCEP00000008427	ENSCCEG00000008715	Cyanistes_caeruleus
ENSMUNP00000015851	ENSMUNG00000012215	Melopsittacus_undulatus
ENSCPUP00000016808	ENSCPUG00000011611	Calidris_pugnax
ENSCPGP00000020098	ENSCPGG00000014089	Calidris_pygmaea
ENSABRP00000027019	ENSABRG00000022517	Anser_brachyrhynchus
ENSAPLP00000032258	ENSAPLG00000008037	Anas_platyrhynchos_platyrhynchos
ENSCJPP00005014811	ENSCJPG00005012331	Coturnix_japonica
ENSMGAP00000012026	ENSMGAG00000011486	Meleagris_gallopavo
ENSGALP00000017617	ENSGALG00000010853	Gallus_gallus
ENSNMEP00000026807	ENSNMEG00000022524	Numida_meleagris
ENSAHAP00000004037	ENSAHAG00000003112	Apteryx_haastii
ENSARWP00000023361	ENSARWG00000015912	Apteryx_rowi
ENSAOWP00000006317	ENSAOWG00000004334	Apteryx_owenii
ENSDNVP00000015039	ENSDNVG00000010573	Dromaius_novaehollandiae
ENSNPEP00000021088	ENSNPEG00000015651	Nothoprocta_perdicaria
ENSCPRP00005008100	ENSCPRG00005005779	Crocodylus_porosus
ENSCPBP00000019762	ENSCPBG00000014239	Chrysemys_picta_bellii
ENSCABP00000014801	ENSCABG00000011054	Chelonoidis_abingdonii
ENSPSIP00000004035	ENSPSIG00000003796	Pelodiscus_sinensis
ENSACAP00000006791	ENSACAG00000006902	Anolis_carolinensis
ENSPVIP00000030668	ENSPVIG00000022544	Pogona_vitticeps
ENSNSUP00000001277	ENSNSUG00000001128	Notechis_scutatus
ENSSMRP00000023188	ENSSMRG00000018009	Salvator_merianae
ENSSPUP00000020158	ENSSPUG00000015456	Sphenodon_punctatus
ENSUMAP00000030526	ENSUMAG00000022042	Ursus_maritimus
ENSUAMP00000013537	ENSUAMG00000010880	Ursus_americanus
