T25F10.5.1	WBGene00000244	Caenorhabditis_elegans_strain_N2	T25F10.5.1
FBpp0077718	FBgn0031255	Drosophila_melanogaster	FBtr0078058
ENSDCDP00000052806	ENSDCDG00000031781	Denticeps_clupeoides
ENSCHAP00000033421	ENSCHAG00000015676	Clupea_harengus
ENSAMXP00000014998	ENSAMXG00000014575	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005029117	ENSAMXG00005014355	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000003004	ENSPNAG00000009394	Pygocentrus_nattereri
ENSIPUP00000010721	ENSIPUG00000007300	Ictalurus_punctatus
ENSEEEP00000016096	ENSEEEG00000007880	Electrophorus_electricus
ENSDARP00000140172	ENSDARG00000099481	Danio_rerio
ENSPFOP00000015294	ENSPFOG00000015227	Poecilia_formosa
ENSPLAP00000006320	ENSPLAG00000008441	Poecilia_latipinna
ENSPMEP00000009950	ENSPMEG00000011906	Poecilia_mexicana
ENSPREP00000014316	ENSPREG00000009689	Poecilia_reticulata
ENSXCOP00000012874	ENSXCOG00000009737	Xiphophorus_couchianus
ENSXMAP00000037639	ENSXMAG00000014881	Xiphophorus_maculatus
ENSGAFP00000025121	ENSGAFG00000016954	Gambusia_affinis
ENSFHEP00000015739	ENSFHEG00000017442	Fundulus_heteroclitus
ENSCVAP00000032502	ENSCVAG00000022602	Cyprinodon_variegatus
ENSKMAP00000003858	ENSKMAG00000002905	Kryptolebias_marmoratus
ENSHCOP00000001891	ENSHCOG00000002940	Hippocampus_comes
ENSMALP00000007625	ENSMALG00000005398	Monopterus_albus
ENSLBEP00000001019	ENSLBEG00000000763	Labrus_bergylta
ENSGACP00000010178	ENSGACG00000007648	Gasterosteus_aculeatus
ENSTRUP00000046796	ENSTRUG00000018291	Takifugu_rubripes
ENSCSEP00000000834	ENSCSEG00000000589	Cynoglossus_semilaevis
ENSSDUP00000004441	ENSSDUG00000003280	Seriola_dumerili
ENSSLDP00000026888	ENSSLDG00000020875	Seriola_lalandi_dorsalis
ENSCGOP00000031302	ENSCGOG00000014174	Cottoperca_gobio
ENSATEP00000001685	ENSATEG00000001185	Anabas_testudineus
ENSMAMP00000008256	ENSMAMG00000005570	Mastacembelus_armatus
ENSLCRP00005045455	ENSLCRG00005017368	Larimichthys_crocea
ENSLCAP00010043200	ENSLCAG00010020110	Lates_calcarifer
ENSSMAP00000007253	ENSSMAG00000004472	Scophthalmus_maximus
ENSBSLP00000052375	ENSBSLG00000024681	Betta_splendens
ENSMMOP00000001376	ENSMMOG00000001155	Mola_mola
ENSAOCP00000030372	ENSAOCG00000021331	Amphiprion_ocellaris
ENSAPEP00000001005	ENSAPEG00000000736	Amphiprion_percula
ENSAPOP00000001747	ENSAPOG00000003112	Acanthochromis_polyacanthus
ENSSPAP00000012769	ENSSPAG00000009650	Stegastes_partitus
ENSPRNP00000032158	ENSPRNG00000016089	Parambassis_ranga
ENSMZEP00005027874	ENSMZEG00005020788	Maylandia_zebra
ENSACLP00000035570	ENSACLG00000024073	Astatotilapia_calliptera
ENSHBUP00000032610	ENSHBUG00000019056	Haplochromis_burtoni
ENSPNYP00000030791	ENSPNYG00000023209	Pundamilia_nyererei
ENSNBRP00000005642	ENSNBRG00000004443	Neolamprologus_brichardi
ENSONIP00000025420	ENSONIG00000020176	Oreochromis_niloticus
ENSACIP00000009943	ENSACIG00000007783	Amphilophus_citrinellus
ENSORLP00020024893	ENSORLG00020006567	Oryzias_latipes_ASM223471v1
ENSORLP00015005425	ENSORLG00015006226	Oryzias_latipes_ASM223469v1
ENSORLP00000020588	ENSORLG00000016437	Oryzias_latipes_ASM223467v1
ENSOMEP00000034574	ENSOMEG00000021289	Oryzias_melastigma
ENSGWIP00000007139	ENSGWIG00000004164	Gouania_willdenowi
ENSGWIP00000007146	ENSGWIG00000004169	Gouania_willdenowi
ENSGWIP00000016911	ENSGWIG00000009379	Gouania_willdenowi
ENSPMGP00000023335	ENSPMGG00000018868	Periophthalmus_magnuspinnatus
ENSGMOP00000016672	ENSGMOG00000015545	Gadus_morhua
ENSHHUP00000042413	ENSHHUG00000026093	Hucho_hucho
ENSHHUP00000011967	ENSHHUG00000007274	Hucho_hucho
ENSELUP00000030356	ENSELUG00000007542	Esox_lucius
ENSSFOP00015025500	ENSSFOG00015016384	Scleropages_formosus
ENSSFOP00015025461	ENSSFOG00015016354	Scleropages_formosus
ENSPKIP00000016202	ENSPKIG00000002621	Paramormyrops_kingsleyae
ENSLOCP00000012788	ENSLOCG00000010427	Lepisosteus_oculatus
ENSECRP00000018716	ENSECRG00000012513	Erpetoichthys_calabaricus	ENSECRT00000019095
ENSAPLP00000008699	ENSAPLG00000008999	Anas_platyrhynchos_platyrhynchos
ENSNSUP00000002632	ENSNSUG00000002179	Notechis_scutatus
ENSLACP00000022744	ENSLACG00000011598	Latimeria_chalumnae	ENSLACT00000026659
ENSPCIP00000014615	ENSPCIG00000011398	Phascolarctos_cinereus
ENSVURP00010018083	ENSVURG00010013574	Vombatus_ursinus
ENSMEUP00000008789	ENSMEUG00000009635	Notamacropus_eugenii
ENSSHAP00000016698	ENSSHAG00000014205	Sarcophilus_harrisii
ENSMODP00000049324	ENSMODG00000003060	Monodelphis_domestica
ENSCAFP00000025761	ENSCAFG00000017478	Canis_lupus_familiaris
ENSCAFP00020020679	ENSCAFG00020016374	Canis_lupus_dingo
ENSVVUP00000039310	ENSVVUG00000028006	Vulpes_vulpes
ENSUMAP00000008716	ENSUMAG00000006637	Ursus_maritimus
ENSAMEP00000001699	ENSAMEG00000001611	Ailuropoda_melanoleuca
ENSNVIP00000015210	ENSNVIG00000011713	Neovison_vison
ENSMPUP00000008119	ENSMPUG00000008179	Mustela_putorius_furo
ENSPPRP00000027713	ENSPPRG00000019910	Panthera_pardus
ENSPTIP00000010776	ENSPTIG00000011352	Panthera_tigris_altaica
ENSFCAP00000010146	ENSFCAG00000010921	Felis_catus
ENSECAP00000035699	ENSECAG00000022892	Equus_caballus
ENSEASP00005030156	ENSEASG00005020527	Equus_asinus_asinus
ENSANAP00000003723	ENSANAG00000019872	Aotus_nancymaae
ENSSARP00000001862	ENSSARG00000002023	Sorex_araneus
ENSUAMP00000001849	ENSUAMG00000001725	Ursus_americanus
ENSMLUP00000014914	ENSMLUG00000016359	Myotis_lucifugus
ENSMLUP00000021597	ENSMLUG00000025742	Myotis_lucifugus
ENSCHOP00000012078	ENSCHOG00000013647	Choloepus_hoffmanni
ENSUPAP00010019359	ENSUPAG00010015332	Urocitellus_parryii
ENSSBOP00000009057	ENSSBOG00000021140	Saimiri_boliviensis_boliviensis
ENSCCAP00000021600	ENSCCAG00000028354	Cebus_capucinus_imitator
ENSCJAP00000032447	ENSCJAG00000017543	Callithrix_jacchus
ENSANAP00000032378	ENSANAG00000033801	Aotus_nancymaae
ENSPPAP00000005836	ENSPPAG00000023491	Pan_paniscus
ENSPTRP00000066504	ENSPTRG00000006610	Pan_troglodytes
ENSGGOP00000041284	ENSGGOG00000034849	Gorilla_gorilla
ENSP00000482306	ENSG00000165533	Homo_sapiens
ENSPPYP00000006886	ENSPPYG00000006055	Pongo_abelii
ENSNLEP00000039635	ENSNLEG00000029229	Nomascus_leucogenys
ENSMFAP00000005186	ENSMFAG00000002219	Macaca_fascicularis
ENSMMUP00000006136	ENSMMUG00000004612	Macaca_mulatta
ENSMNEP00000021823	ENSMNEG00000034592	Macaca_nemestrina
ENSTGEP00000035399	ENSTGEG00000028111	Theropithecus_gelada
ENSPANP00000027911	ENSPANG00000026007	Papio_anubis
ENSCATP00000018254	ENSCATG00000032781	Cercocebus_atys
ENSMLEP00000009346	ENSMLEG00000028860	Mandrillus_leucophaeus
ENSCSAP00000007717	ENSCSAG00000011521	Chlorocebus_sabaeus
ENSPTEP00000018073	ENSPTEG00000019526	Piliocolobus_tephrosceles
ENSCANP00000025862	ENSCANG00000036307	Colobus_angolensis_palliatus
ENSRBIP00000042734	ENSRBIG00000044602	Rhinopithecus_bieti
ENSRROP00000041633	ENSRROG00000043842	Rhinopithecus_roxellana
ENSTSYP00000015479	ENSTSYG00000010785	Carlito_syrichta
ENSMICP00000048630	ENSMICG00000016707	Microcebus_murinus
ENSPCOP00000014565	ENSPCOG00000018975	Propithecus_coquereli
ENSPSMP00000023331	ENSPSMG00000016430	Prolemur_simus
ENSMSIP00000011325	ENSMSIG00000009819	Mus_spicilegus
ENSMUSP00000078148	ENSMUSG00000021013	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0034592	MGP_SPRETEiJ_G0018859	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0033074	MGP_CAROLIEiJ_G0018014	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0083188	MGP_PahariEiJ_G0029772	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000068618	ENSRNOG00000004542	Rattus_norvegicus
ENSMUGP00000009491	ENSMUGG00000008400	Meriones_unguiculatus
ENSCGRP00001020782	ENSCGRG00001019813	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000005669	ENSCGRG00000004148	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015025514	ENSCGRG00015019215	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000021239	ENSMAUG00000019016	Mesocricetus_auratus
ENSPEMP00000024543	ENSPEMG00000021250	Peromyscus_maniculatus_bairdii
ENSMOCP00000012946	ENSMOCG00000012895	Microtus_ochrogaster
ENSNGAP00000015512	ENSNGAG00000016510	Nannospalax_galili
ENSJJAP00000021223	ENSJJAG00000021643	Jaculus_jaculus
ENSDORP00000025786	ENSDORG00000026211	Dipodomys_ordii
ENSDORP00000001292	ENSDORG00000001383	Dipodomys_ordii
ENSCCNP00000000767	ENSCCNG00000000795	Castor_canadensis
ENSHGLP00000019205	ENSHGLG00000013781	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100021808	ENSHGLG00100016052	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000014197	ENSFDAG00000001288	Fukomys_damarensis
ENSCLAP00000012318	ENSCLAG00000008510	Chinchilla_lanigera
ENSODEP00000009124	ENSODEG00000006816	Octodon_degus
ENSCPOP00000000619	ENSCPOG00000000697	Cavia_porcellus
ENSCAPP00000000952	ENSCAPG00000001435	Cavia_aperea
ENSMMMP00000023129	ENSMMMG00000020231	Marmota_marmota_marmota
ENSUPAP00010014341	ENSUPAG00010011516	Urocitellus_parryii
ENSSTOP00000017993	ENSSTOG00000013253	Ictidomys_tridecemlineatus
