ENSSPUP00000003735	ENSSPUG00000002854	Sphenodon_punctatus
ENSSMRP00000008236	ENSSMRG00000006594	Salvator_merianae
ENSHGLP00000013756	ENSHGLG00000009820	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100007606	ENSHGLG00100005689	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000004126	ENSFDAG00000013415	Fukomys_damarensis
ENSODEP00000002506	ENSODEG00000001948	Octodon_degus
ENSCPOP00000032050	ENSCPOG00000020338	Cavia_porcellus
ENSCCNP00000013637	ENSCCNG00000014129	Castor_canadensis
ENSUPAP00010010247	ENSUPAG00010008299	Urocitellus_parryii	ENSUPAT00010011790
ENSSTOP00000014968	ENSSTOG00000019699	Ictidomys_tridecemlineatus	ENSSTOT00000024127
ENSSDAP00000021256	ENSSDAG00000019346	Spermophilus_dauricus	ENSSDAT00000024284
ENSMMMP00000001552	ENSMMMG00000001435	Marmota_marmota_marmota
MGP_SPRETEiJ_P0038168	MGP_SPRETEiJ_G0020081	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000022356	ENSMSIG00000018970	Mus_spicilegus
ENSMUSP00000056851	ENSMUSG00000046210	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0036453	MGP_CAROLIEiJ_G0019191	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0084565	MGP_PahariEiJ_G0030210	Mus_pahari_strain_PAHARI_EIJ
ENSMUGP00000017866	ENSMUGG00000015175	Meriones_unguiculatus
ENSCGRP00001013124	ENSCGRG00001014346	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015001992	ENSCGRG00015001640	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000026327	ENSCGRG00000019387	Cricetulus_griseus_CriGri_1.0
ENSPEMP00000006788	ENSPEMG00000008919	Peromyscus_maniculatus_bairdii
ENSPSMP00000031157	ENSPSMG00000021622	Prolemur_simus
ENSOGAP00000016649	ENSOGAG00000034706	Otolemur_garnettii
ENSMMUP00000061104	ENSMMUG00000059418	Macaca_mulatta
ENSMFAP00000011659	ENSMFAG00000017541	Macaca_fascicularis
ENSTGEP00000017214	ENSTGEG00000013912	Theropithecus_gelada
ENSCSAP00000017645	ENSCSAG00000000354	Chlorocebus_sabaeus
ENSRBIP00000003987	ENSRBIG00000018806	Rhinopithecus_bieti
ENSRROP00000001033	ENSRROG00000003873	Rhinopithecus_roxellana
ENSPTEP00000014862	ENSPTEG00000016559	Piliocolobus_tephrosceles
ENSCANP00000029357	ENSCANG00000038274	Colobus_angolensis_palliatus
ENSGGOP00000000896	ENSGGOG00000000910	Gorilla_gorilla
ENSP00000330049	ENSG00000182652	Homo_sapiens
ENSCJAP00000041746	ENSCJAG00000023232	Callithrix_jacchus
ENSOCUP00000040936	ENSOCUG00000023684	Oryctolagus_cuniculus
ENSSARP00000003098	ENSSARG00000003439	Sorex_araneus
ENSEEUP00000009568	ENSEEUG00000010525	Erinaceus_europaeus
ENSUAMP00000019303	ENSUAMG00000015253	Ursus_americanus
ENSUMAP00000002677	ENSUMAG00000002366	Ursus_maritimus
ENSUAMP00000019390	ENSUAMG00000015324	Ursus_americanus
ENSAMEP00000006655	ENSAMEG00000006331	Ailuropoda_melanoleuca
ENSNVIP00000009669	ENSNVIG00000007650	Neovison_vison
ENSMPUP00000004389	ENSMPUG00000004422	Mustela_putorius_furo
ENSCAFP00000033748	ENSCAFG00000015460	Canis_lupus_familiaris
ENSCAFP00020022366	ENSCAFG00020017675	Canis_lupus_dingo
ENSCAFP00000032096	ENSCAFG00000023739	Canis_lupus_familiaris
ENSCAFP00020017859	ENSCAFG00020014314	Canis_lupus_dingo
ENSVVUP00000011870	ENSVVUG00000008759	Vulpes_vulpes
ENSVVUP00000011879	ENSVVUG00000008769	Vulpes_vulpes
ENSFCAP00000022696	ENSFCAG00000025221	Felis_catus
ENSMLUP00000017609	ENSMLUG00000007146	Myotis_lucifugus
ENSBIXP00000018089	ENSBIXG00000004248	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005015193	ENSBIXG00005002641	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000005130	ENSBMUG00000004023	Bos_mutus
ENSBBBP00000028604	ENSBBBG00000025341	Bison_bison_bison
ENSBTAP00000021365	ENSBTAG00000032792	Bos_taurus
ENSOARP00000014439	ENSOARG00000013471	Ovis_aries
ENSSSCP00000002811	ENSSSCG00000048781	Sus_scrofa_strain_reference
ENSSSCP00000002823	ENSSSCG00000044667	Sus_scrofa_strain_reference
ENSECAP00000004142	ENSECAG00000005586	Equus_caballus
ENSSHAP00000010812	ENSSHAG00000009320	Sarcophilus_harrisii
ENSMODP00000009513	ENSMODG00000007658	Monodelphis_domestica
ENSVURP00010004808	ENSVURG00010003802	Vombatus_ursinus
ENSPCIP00000004259	ENSPCIG00000003489	Phascolarctos_cinereus
ENSCPUP00000004818	ENSCPUG00000003552	Calidris_pugnax
ENSMUNP00000019115	ENSMUNG00000014615	Melopsittacus_undulatus
ENSAPLP00000003899	ENSAPLG00000004398	Anas_platyrhynchos_platyrhynchos
ENSNSUP00000002193	ENSNSUG00000001855	Notechis_scutatus
ENSSHAP00000008114	ENSSHAG00000007038	Sarcophilus_harrisii
ENSMODP00000024139	ENSMODG00000019343	Monodelphis_domestica
