ENSXMAP00000014092	ENSXMAG00000014062	Xiphophorus_maculatus
ENSMSIP00000018865	ENSMSIG00000016051	Mus_spicilegus
ENSMVIP00005022537	ENSMVIG00005015796	Manacus_vitellinus
ENSECAP00000029303	ENSECAG00000018918	Equus_caballus
ENSOMEP00000020175	ENSOMEG00000022037	Oryzias_melastigma
ENSPANP00000010317	ENSPANG00000020838	Papio_anubis
ENSNVIP00000029149	ENSNVIG00000022459	Neovison_vison
ENSNLEP00000013363	ENSNLEG00000010974	Nomascus_leucogenys
ENSAOCP00000018762	ENSAOCG00000023950	Amphiprion_ocellaris
ENSXETP00000025105	ENSXETG00000003610	Xenopus_tropicalis
ENSCPBP00000001988	ENSCPBG00000001609	Chrysemys_picta_bellii
ENSSPUP00000001453	ENSSPUG00000001119	Sphenodon_punctatus	ENSSPUT00000001533
ENSMUGP00000019671	ENSMUGG00000016637	Meriones_unguiculatus
ENSCSEP00000006933	ENSCSEG00000004473	Cynoglossus_semilaevis
ENSORLP00015019302	ENSORLG00015020399	Oryzias_latipes_ASM223469v1
ENSTBEP00000004711	ENSTBEG00000005475	Tupaia_belangeri
ENSHBUP00000014866	ENSHBUG00000000496	Haplochromis_burtoni
ENSPRNP00000007448	ENSPRNG00000003622	Parambassis_ranga
ENSPTEP00000009071	ENSPTEG00000010297	Piliocolobus_tephrosceles
ENSCGOP00000054037	ENSCGOG00000023656	Cottoperca_gobio
ENSLCAP00010026988	ENSLCAG00010012649	Lates_calcarifer
ENSLSDP00000005331	ENSLSDG00000004173	Lonchura_striata_domestica
ENSODEP00000025138	ENSODEG00000018401	Octodon_degus
ENSACLP00000007197	ENSACLG00000004857	Astatotilapia_calliptera
ENSNPEP00000012103	ENSNPEG00000009063	Nothoprocta_perdicaria
ENSTGEP00000032357	ENSTGEG00000025854	Theropithecus_gelada
ENSELUP00000025816	ENSELUG00000024483	Esox_lucius
ENSUPAP00010025819	ENSUPAG00010020420	Urocitellus_parryii
ENSCAFP00000015956	ENSCAFG00000010838	Canis_lupus_familiaris
ENSKMAP00000019087	ENSKMAG00000014170	Kryptolebias_marmoratus
ENSMODP00000000974	ENSMODG00000000818	Monodelphis_domestica
ENSLAFP00000027743	ENSLAFG00000027677	Loxodonta_africana
ENSXCOP00000026461	ENSXCOG00000019758	Xiphophorus_couchianus
ENSVVUP00000030404	ENSVVUG00000022187	Vulpes_vulpes
ENSMFAP00000034840	ENSMFAG00000003891	Macaca_fascicularis
ENSACIP00000019838	ENSACIG00000015405	Amphilophus_citrinellus
ENSMUSP00000022053	ENSMUSG00000021569	Mus_musculus_strain_reference_(CL57BL6)
ENSPFOP00000000148	ENSPFOG00000000149	Poecilia_formosa
ENSPCIP00000000770	ENSPCIG00000000635	Phascolarctos_cinereus
ENSMMUP00000019351	ENSMMUG00000014740	Macaca_mulatta
ENSFHEP00000014379	ENSFHEG00000015975	Fundulus_heteroclitus
ENSPVAP00000011118	ENSPVAG00000011794	Pteropus_vampyrus
ENSBBBP00000008851	ENSBBBG00000016892	Bison_bison_bison
ENSCCEP00000019432	ENSCCEG00000017639	Cyanistes_caeruleus
ENSACAP00000009162	ENSACAG00000009324	Anolis_carolinensis	ENSACAT00000009355
ENSFCAP00000008846	ENSFCAG00000009538	Felis_catus
ENSBIXP00005023998	ENSBIXG00005026642	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSSFOP00015001579	ENSSFOG00015001080	Scleropages_formosus
ENSOCUP00000021463	ENSOCUG00000021942	Oryctolagus_cuniculus
ENSTTRP00000008527	ENSTTRG00000008987	Tursiops_truncatus
ENSMICP00000038315	ENSMICG00000028604	Microcebus_murinus
ENSCGRP00001003048	ENSCGRG00001003568	Cricetulus_griseus_CHOK1GS_HDv1
ENSSDAP00000001712	ENSSDAG00000001639	Spermophilus_dauricus
ENSAOWP00000015281	ENSAOWG00000010404	Apteryx_owenii
ENSLBEP00000033361	ENSLBEG00000025112	Labrus_bergylta
ENSLACP00000000318	ENSLACG00000000286	Latimeria_chalumnae
ENSEEEP00000021479	ENSEEEG00000010432	Electrophorus_electricus
ENSSHAP00000011217	ENSSHAG00000009652	Sarcophilus_harrisii
ENSAPLP00000009804	ENSAPLG00000010065	Anas_platyrhynchos_platyrhynchos
ENSCHAP00000028645	ENSCHAG00000013596	Clupea_harengus
ENSMLEP00000023781	ENSMLEG00000036069	Mandrillus_leucophaeus
ENSUMAP00000030601	ENSUMAG00000022041	Ursus_maritimus
ENSLCOP00000016222	ENSLCOG00000011575	Lepidothrix_coronata
ENSNSUP00000007073	ENSNSUG00000005584	Notechis_scutatus	ENSNSUT00000007585
ENSABRP00000021102	ENSABRG00000017917	Anser_brachyrhynchus
ENSJHYP00000018617	ENSJHYG00000014159	Junco_hyemalis
ENSBMUP00000016603	ENSBMUG00000012594	Bos_mutus
ENSPMJP00000024726	ENSPMJG00000018139	Parus_major
ENSOARP00000017264	ENSOARG00000016070	Ovis_aries
ENSPKIP00000001047	ENSPKIG00000019468	Paramormyrops_kingsleyae
ENSOPRP00000006873	ENSOPRG00000007507	Ochotona_princeps
ENSMAMP00000018574	ENSMAMG00000012484	Mastacembelus_armatus
ENSDORP00000003259	ENSDORG00000003482	Dipodomys_ordii
ENSMPUP00000009998	ENSMPUG00000010073	Mustela_putorius_furo
ENSGAFP00000009166	ENSGAFG00000006217	Gambusia_affinis
ENSTGUP00000006960	ENSTGUG00000006756	Taeniopygia_guttata
ENSCJPP00005022691	ENSCJPG00005018033	Coturnix_japonica
ENSUAMP00000019054	ENSUAMG00000015064	Ursus_americanus
ENSBIXP00000011689	ENSBIXG00000016899	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSPSMP00000014606	ENSPSMG00000010472	Prolemur_simus
ENSCPGP00000001260	ENSCPGG00000000988	Calidris_pygmaea
ENSECRP00000020102	ENSECRG00000013508	Erpetoichthys_calabaricus
ENSHCOP00000025405	ENSHCOG00000015514	Hippocampus_comes
ENSCSAP00000013444	ENSCSAG00000017410	Chlorocebus_sabaeus
ENSSTOP00000014348	ENSSTOG00000016032	Ictidomys_tridecemlineatus
ENSGGOP00000008132	ENSGGOG00000011642	Gorilla_gorilla
ENSIPUP00000034242	ENSIPUG00000023000	Ictalurus_punctatus
ENSSBOP00000019875	ENSSBOG00000026544	Saimiri_boliviensis_boliviensis
ENSPMAP00000008378	ENSPMAG00000007603	Petromyzon_marinus
ENSGAGP00000032193	ENSGAGG00000023028	Gopherus_agassizii	ENSGAGT00000036497
ENSOGAP00000007902	ENSOGAG00000008813	Otolemur_garnettii
ENSDARP00000049098	ENSDARG00000025043	Danio_rerio
ENSPTRP00000073222	ENSPTRG00000049196	Pan_troglodytes
ENSPMEP00000019509	ENSPMEG00000022564	Poecilia_mexicana
ENSMOCP00000002077	ENSMOCG00000001629	Microtus_ochrogaster
