ENSHHUP00000014133	ENSHHUG00000008738	Hucho_hucho
ENSELUP00000025932	ENSELUG00000024603	Esox_lucius
ENSBSLP00000023794	ENSBSLG00000012122	Betta_splendens
ENSATEP00000034055	ENSATEG00000023417	Anabas_testudineus
ENSMAMP00000018343	ENSMAMG00000012386	Mastacembelus_armatus
ENSTNIP00000008381	ENSTNIG00000005674	Tetraodon_nigroviridis
ENSTRUP00000054431	ENSTRUG00000024403	Takifugu_rubripes
ENSMMOP00000014797	ENSMMOG00000011316	Mola_mola
ENSSDUP00000021540	ENSSDUG00000015676	Seriola_dumerili
ENSSLDP00000002544	ENSSLDG00000002034	Seriola_lalandi_dorsalis
ENSLCAP00010022397	ENSLCAG00010010526	Lates_calcarifer
ENSLBEP00000028864	ENSLBEG00000021861	Labrus_bergylta
ENSLBEP00000025100	ENSLBEG00000019174	Labrus_bergylta
ENSCGOP00000043203	ENSCGOG00000019519	Cottoperca_gobio
ENSORLP00015006062	ENSORLG00015006869	Oryzias_latipes_ASM223469v1
ENSOMEP00000004063	ENSOMEG00000005009	Oryzias_melastigma
ENSGWIP00000010067	ENSGWIG00000005944	Gouania_willdenowi
ENSAPEP00000032302	ENSAPEG00000022956	Amphiprion_percula
ENSAPEP00000032493	ENSAPEG00000023068	Amphiprion_percula
ENSAOCP00000010147	ENSAOCG00000014338	Amphiprion_ocellaris
ENSAPOP00000015989	ENSAPOG00000019045	Acanthochromis_polyacanthus
ENSSPAP00000011419	ENSSPAG00000008687	Stegastes_partitus
ENSHBUP00000021990	ENSHBUG00000002008	Haplochromis_burtoni
ENSMZEP00005031219	ENSMZEG00005023278	Maylandia_zebra
ENSPNYP00000014025	ENSPNYG00000010654	Pundamilia_nyererei
ENSACLP00000015460	ENSACLG00000010521	Astatotilapia_calliptera
ENSNBRP00000007928	ENSNBRG00000006182	Neolamprologus_brichardi
ENSONIP00000015769	ENSONIG00000012527	Oreochromis_niloticus
ENSACIP00000026143	ENSACIG00000020253	Amphilophus_citrinellus
ENSPRNP00000017831	ENSPRNG00000009417	Parambassis_ranga
ENSFHEP00000017039	ENSFHEG00000018752	Fundulus_heteroclitus
ENSFHEP00000014024	ENSFHEG00000015550	Fundulus_heteroclitus
ENSCVAP00000017127	ENSCVAG00000020169	Cyprinodon_variegatus
ENSXMAP00000012573	ENSXMAG00000012555	Xiphophorus_maculatus
ENSXCOP00000021677	ENSXCOG00000016208	Xiphophorus_couchianus
ENSPFOP00000002226	ENSPFOG00000002351	Poecilia_formosa
ENSPLAP00000011973	ENSPLAG00000015187	Poecilia_latipinna
ENSPMEP00000029026	ENSPMEG00000014488	Poecilia_mexicana
ENSPREP00000018585	ENSPREG00000012593	Poecilia_reticulata
ENSGAFP00000011873	ENSGAFG00000008048	Gambusia_affinis
ENSKMAP00000022167	ENSKMAG00000016467	Kryptolebias_marmoratus
ENSHCOP00000010534	ENSHCOG00000013161	Hippocampus_comes
ENSPMGP00000003480	ENSPMGG00000002991	Periophthalmus_magnuspinnatus
ENSCSEP00000001018	ENSCSEG00000000711	Cynoglossus_semilaevis
ENSCHAP00000060552	ENSCHAG00000027075	Clupea_harengus
ENSDCDP00000004882	ENSDCDG00000002433	Denticeps_clupeoides
ENSAMXP00005034887	ENSAMXG00005016803	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSAMXP00000012577	ENSAMXG00000012238	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSPNAP00000024672	ENSPNAG00000009350	Pygocentrus_nattereri
ENSEEEP00000030440	ENSEEEG00000014582	Electrophorus_electricus
ENSIPUP00000005426	ENSIPUG00000003783	Ictalurus_punctatus
ENSDARP00000092236	ENSDARG00000069624	Danio_rerio
ENSPKIP00000004768	ENSPKIG00000021736	Paramormyrops_kingsleyae
ENSSFOP00015030297	ENSSFOG00015019444	Scleropages_formosus
ENSLOCP00000014907	ENSLOCG00000012115	Lepisosteus_oculatus
ENSECRP00000012474	ENSECRG00000008321	Erpetoichthys_calabaricus
ENSNSUP00000025796	ENSNSUG00000018550	Notechis_scutatus
ENSPVIP00000009998	ENSPVIG00000007943	Pogona_vitticeps
ENSSPUP00000018109	ENSSPUG00000013990	Sphenodon_punctatus
ENSAHAP00000018806	ENSAHAG00000013318	Apteryx_haastii	ENSAHAT00000020797
ENSARWP00000010340	ENSARWG00000007200	Apteryx_rowi	ENSARWT00000011780
ENSAOWP00000007770	ENSAOWG00000005330	Apteryx_owenii	ENSAOWT00000008794
ENSDNVP00000000675	ENSDNVG00000000521	Dromaius_novaehollandiae	ENSDNVT00000000825
ENSNPEP00000006206	ENSNPEG00000004664	Nothoprocta_perdicaria	ENSNPET00000006359
ENSNMEP00000021956	ENSNMEG00000018818	Numida_meleagris
ENSGALP00000037209	ENSGALG00000023191	Gallus_gallus
ENSAPLP00000012330	ENSAPLG00000012544	Anas_platyrhynchos_platyrhynchos
ENSABRP00000017948	ENSABRG00000015499	Anser_brachyrhynchus
ENSLSDP00000015419	ENSLSDG00000011103	Lonchura_striata_domestica
ENSSCAP00000021339	ENSSCAG00000015345	Serinus_canaria
