ENSCHIP00000002504	ENSCHIG00000005568	Capra_hircus
ENSOARP00000019846	ENSOARG00000018487	Ovis_aries
ENSBIXP00000003428	ENSBIXG00000009859	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000058392	ENSBTAG00000020773	Bos_taurus
ENSBIXP00005012405	ENSBIXG00005002695	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000001096	ENSBMUG00000000910	Bos_mutus
ENSBBBP00000016625	ENSBBBG00000024692	Bison_bison_bison
ENSTTRP00000016055	ENSTTRG00000016934	Tursiops_truncatus
ENSEASP00005005975	ENSEASG00005004414	Equus_asinus_asinus
ENSECAP00000019268	ENSECAG00000021710	Equus_caballus
ENSUAMP00000026876	ENSUAMG00000020786	Ursus_americanus
ENSUMAP00000014742	ENSUMAG00000010844	Ursus_maritimus
ENSAMEP00000018273	ENSAMEG00000017301	Ailuropoda_melanoleuca
ENSNVIP00000019594	ENSNVIG00000015372	Neovison_vison
ENSMPUP00000011343	ENSMPUG00000011435	Mustela_putorius_furo
ENSCAFP00000019414	ENSCAFG00000013168	Canis_lupus_familiaris
ENSCAFP00020019249	ENSCAFG00020015299	Canis_lupus_dingo
ENSPPRP00000001583	ENSPPRG00000024015	Panthera_pardus
ENSFCAP00000026383	ENSFCAG00000005572	Felis_catus
ENSPVAP00000015999	ENSPVAG00000016961	Pteropus_vampyrus
ENSMLUP00000010003	ENSMLUG00000010983	Myotis_lucifugus
ENSPPAP00000019213	ENSPPAG00000032774	Pan_paniscus	ENSPPAT00000041966
ENSPTRP00000006721	ENSPTRG00000003898	Pan_troglodytes	ENSPTRT00000007286
ENSGGOP00000010575	ENSGGOG00000010850	Gorilla_gorilla	ENSGGOT00000010889
ENSP00000311300	ENSG00000172543	Homo_sapiens	ENST00000307886
ENSPPYP00000003522	ENSPPYG00000003044	Pongo_abelii
ENSNLEP00000007165	ENSNLEG00000005919	Nomascus_leucogenys
ENSRBIP00000042852	ENSRBIG00000044652	Rhinopithecus_bieti
ENSRROP00000016731	ENSRROG00000032493	Rhinopithecus_roxellana
ENSCANP00000032768	ENSCANG00000040052	Colobus_angolensis_palliatus
ENSMFAP00000005234	ENSMFAG00000002290	Macaca_fascicularis
ENSMNEP00000013668	ENSMNEG00000031050	Macaca_nemestrina
ENSMMUP00000011347	ENSMMUG00000008649	Macaca_mulatta
ENSTGEP00000009261	ENSTGEG00000007629	Theropithecus_gelada
ENSPANP00000007557	ENSPANG00000013728	Papio_anubis
ENSMLEP00000032320	ENSMLEG00000040387	Mandrillus_leucophaeus
ENSCATP00000029013	ENSCATG00000037772	Cercocebus_atys
ENSCSAP00000004302	ENSCSAG00000008041	Chlorocebus_sabaeus
ENSSBOP00000004241	ENSSBOG00000018563	Saimiri_boliviensis_boliviensis
ENSCJAP00000003295	ENSCJAG00000001836	Callithrix_jacchus
ENSCCAP00000035707	ENSCCAG00000035765	Cebus_capucinus_imitator
ENSANAP00000040328	ENSANAG00000037531	Aotus_nancymaae
ENSTSYP00000000080	ENSTSYG00000000087	Carlito_syrichta
ENSMICP00000029136	ENSMICG00000029293	Microcebus_murinus
ENSPCOP00000009027	ENSPCOG00000015846	Propithecus_coquereli
ENSPSMP00000032886	ENSPSMG00000022712	Prolemur_simus
ENSOGAP00000014777	ENSOGAG00000016512	Otolemur_garnettii
ENSCCNP00000025216	ENSCCNG00000024616	Castor_canadensis
ENSDORP00000009349	ENSDORG00000009948	Dipodomys_ordii
ENSODEP00000024376	ENSODEG00000017838	Octodon_degus
ENSCLAP00000023962	ENSCLAG00000016445	Chinchilla_lanigera
ENSCPOP00000002701	ENSCPOG00000002974	Cavia_porcellus
ENSCAPP00000018186	ENSCAPG00000017651	Cavia_aperea
