ENSCLAP00000020357	ENSCLAG00000013944	Chinchilla_lanigera
ENSPFOP00000018243	ENSPFOG00000018147	Poecilia_formosa	ENSPFOT00000018265
ENSGMOP00000018918	ENSGMOG00000017585	Gadus_morhua
ENSCPOP00000017871	ENSCPOG00000026565	Cavia_porcellus
ENSPMGP00000015249	ENSPMGG00000012497	Periophthalmus_magnuspinnatus
ENSSTOP00000002186	ENSSTOG00000002445	Ictidomys_tridecemlineatus
ENSHBUP00000034811	ENSHBUG00000022644	Haplochromis_burtoni
ENSTSYP00000013057	ENSTSYG00000014219	Carlito_syrichta
ENSOMEP00000011891	ENSOMEG00000013230	Oryzias_melastigma
ENSPSIP00000012497	ENSPSIG00000011272	Pelodiscus_sinensis
ENSATEP00000018303	ENSATEG00000012743	Anabas_testudineus
ENSMLEP00000038937	ENSMLEG00000043518	Mandrillus_leucophaeus
ENSTGEP00000028110	ENSTGEG00000022639	Theropithecus_gelada
ENSPRNP00000036992	ENSPRNG00000018461	Parambassis_ranga
ENSVVUP00000041026	ENSVVUG00000029207	Vulpes_vulpes
ENSPMAP00000004257	ENSPMAG00000003910	Petromyzon_marinus
ENSMZEP00005026351	ENSMZEG00005019662	Maylandia_zebra
ENSACLP00000034167	ENSACLG00000023128	Astatotilapia_calliptera
ENSUPAP00010011323	ENSUPAG00010009162	Urocitellus_parryii
ENSSDAP00000024305	ENSSDAG00000022133	Spermophilus_dauricus
ENSPMGP00000015688	ENSPMGG00000012857	Periophthalmus_magnuspinnatus
ENSFCAP00000005200	ENSFCAG00000005601	Felis_catus
ENSLACP00000001261	ENSLACG00000001131	Latimeria_chalumnae
ENSDARP00000110955	ENSDARG00000090965	Danio_rerio
ENSMMOP00000011174	ENSMMOG00000008621	Mola_mola
ENSPMEP00000003287	ENSPMEG00000004397	Poecilia_mexicana	ENSPMET00000011109
ENSORLP00020018444	ENSORLG00020019404	Oryzias_latipes_ASM223471v1
ENSNBRP00000031863	ENSNBRG00000024207	Neolamprologus_brichardi
ENSUAMP00000032010	ENSUAMG00000024493	Ursus_americanus
ENSPKIP00000025908	ENSPKIG00000008591	Paramormyrops_kingsleyae
ENSP00000216274	ENSG00000129465	Homo_sapiens
ENSSPAP00000014743	ENSSPAG00000011109	Stegastes_partitus
ENSRBIP00000002451	ENSRBIG00000012099	Rhinopithecus_bieti
ENSMAUP00000007073	ENSMAUG00000008816	Mesocricetus_auratus
ENSOGAP00000005437	ENSOGAG00000006086	Otolemur_garnettii
ENSHHUP00000003218	ENSHHUG00000002044	Hucho_hucho
ENSPTEP00000020482	ENSPTEG00000021712	Piliocolobus_tephrosceles
ENSCATP00000039582	ENSCATG00000042397	Cercocebus_atys
ENSPVIP00000011251	ENSPVIG00000008839	Pogona_vitticeps
ENSLCAP00010024823	ENSLCAG00010011612	Lates_calcarifer
ENSORLP00000001007	ENSORLG00000000822	Oryzias_latipes_ASM223467v1
ENSMMMP00000013214	ENSMMMG00000011787	Marmota_marmota_marmota
ENSHHUP00000012314	ENSHHUG00000007518	Hucho_hucho
ENSAMXP00005053674	ENSAMXG00005024040	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSRROP00000042191	ENSRROG00000044257	Rhinopithecus_roxellana
ENSORLP00000001009	ENSORLG00000000825	Oryzias_latipes_ASM223467v1
ENSAMXP00000041728	ENSAMXG00000030563	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSUMAP00000031815	ENSUMAG00000022946	Ursus_maritimus
ENSORLP00020022007	ENSORLG00020002047	Oryzias_latipes_ASM223471v1
ENSORLP00000029474	ENSORLG00000009707	Oryzias_latipes_ASM223467v1
ENSGMOP00000013137	ENSGMOG00000012266	Gadus_morhua
ENSPVAP00000006643	ENSPVAG00000007041	Pteropus_vampyrus
ENSELUP00000008394	ENSELUG00000009041	Esox_lucius
