ENSCPGP00000026516	ENSCPGG00000018280	Calidris_pygmaea	ENSCPGT00000028966
ENSCPUP00000014205	ENSCPUG00000010001	Calidris_pugnax	ENSCPUT00000016919
ENSMUNP00000017481	ENSMUNG00000013434	Melopsittacus_undulatus
ENSLSDP00000000824	ENSLSDG00000000663	Lonchura_striata_domestica
ENSTGUP00000010143	ENSTGUG00000009830	Taeniopygia_guttata
ENSSCAP00000004662	ENSSCAG00000003782	Serinus_canaria
ENSJHYP00000011826	ENSJHYG00000009243	Junco_hyemalis
ENSZALP00000015165	ENSZALG00000012501	Zonotrichia_albicollis
ENSFALP00000007739	ENSFALG00000007416	Ficedula_albicollis
ENSPMJP00000024958	ENSPMJG00000018323	Parus_major
ENSCCEP00000024502	ENSCCEG00000021752	Cyanistes_caeruleus
ENSMVIP00005007218	ENSMVIG00005005430	Manacus_vitellinus
ENSLCOP00000021217	ENSLCOG00000014998	Lepidothrix_coronata
ENSAPLP00000020806	ENSAPLG00000028076	Anas_platyrhynchos_platyrhynchos
ENSABRP00000016913	ENSABRG00000014806	Anser_brachyrhynchus
ENSGALP00000011051	ENSGALG00000006838	Gallus_gallus
ENSMGAP00000008477	ENSMGAG00000008212	Meleagris_gallopavo
ENSCJPP00005015938	ENSCJPG00005013148	Coturnix_japonica
ENSNMEP00000026759	ENSNMEG00000022500	Numida_meleagris
ENSARWP00000005308	ENSARWG00000003799	Apteryx_rowi
ENSAHAP00000003917	ENSAHAG00000003074	Apteryx_haastii
ENSAOWP00000017009	ENSAOWG00000011626	Apteryx_owenii
ENSDNVP00000013421	ENSDNVG00000009473	Dromaius_novaehollandiae
ENSNPEP00000008965	ENSNPEG00000006731	Nothoprocta_perdicaria
ENSCJPP00005015939	ENSCJPG00005013149	Coturnix_japonica
ENSCPRP00005006456	ENSCPRG00005004616	Crocodylus_porosus
ENSCABP00000022973	ENSCABG00000016897	Chelonoidis_abingdonii
ENSGAGP00000003838	ENSGAGG00000003127	Gopherus_agassizii
ENSCPBP00000015176	ENSCPBG00000011251	Chrysemys_picta_bellii
ENSPSIP00000019526	ENSPSIG00000017265	Pelodiscus_sinensis
ENSACAP00000019684	ENSACAG00000025421	Anolis_carolinensis
ENSPVIP00000013850	ENSPVIG00000010706	Pogona_vitticeps
ENSSMRP00000010613	ENSSMRG00000008396	Salvator_merianae
ENSXETP00000040297	ENSXETG00000002528	Xenopus_tropicalis
ENSLACP00000019523	ENSLACG00000017168	Latimeria_chalumnae
ENSPPYP00000015790	ENSPPYG00000014113	Pongo_abelii
ENSNLEP00000004396	ENSNLEG00000003589	Nomascus_leucogenys
ENSPTRP00000026561	ENSPTRG00000015412	Pan_troglodytes
ENSPPAP00000016306	ENSPPAG00000031261	Pan_paniscus
ENSGGOP00000010337	ENSGGOG00000010591	Gorilla_gorilla
ENSP00000385834	ENSG00000091513	Homo_sapiens
ENSCANP00000009403	ENSCANG00000028065	Colobus_angolensis_palliatus
ENSPTEP00000041646	ENSPTEG00000038097	Piliocolobus_tephrosceles
ENSRROP00000041329	ENSRROG00000043840	Rhinopithecus_roxellana
ENSRBIP00000024769	ENSRBIG00000036257	Rhinopithecus_bieti
ENSMLEP00000022458	ENSMLEG00000035355	Mandrillus_leucophaeus
ENSCATP00000033081	ENSCATG00000039557	Cercocebus_atys
ENSMMUP00000011690	ENSMMUG00000008916	Macaca_mulatta
ENSMNEP00000040141	ENSMNEG00000042965	Macaca_nemestrina
ENSMFAP00000017336	ENSMFAG00000031779	Macaca_fascicularis
ENSPANP00000001767	ENSPANG00000009436	Papio_anubis
ENSTGEP00000017072	ENSTGEG00000013797	Theropithecus_gelada
ENSCSAP00000006911	ENSCSAG00000010691	Chlorocebus_sabaeus
ENSCCAP00000000849	ENSCCAG00000005245	Cebus_capucinus_imitator
ENSSBOP00000030429	ENSSBOG00000031489	Saimiri_boliviensis_boliviensis
ENSCJAP00000026400	ENSCJAG00000002848	Callithrix_jacchus
ENSANAP00000001319	ENSANAG00000011189	Aotus_nancymaae
ENSTSYP00000028312	ENSTSYG00000036567	Carlito_syrichta
ENSPCOP00000026804	ENSPCOG00000025823	Propithecus_coquereli
ENSPSMP00000037825	ENSPSMG00000025953	Prolemur_simus
ENSMICP00000050791	ENSMICG00000049243	Microcebus_murinus
ENSOGAP00000019146	ENSOGAG00000005240	Otolemur_garnettii
ENSTBEP00000004973	ENSTBEG00000005764	Tupaia_belangeri
MGP_SPRETEiJ_P0093059	MGP_SPRETEiJ_G0033733	Mus_spretus_strain_SPRET/EiJ
MGP_SPRETEiJ_P0093056	MGP_SPRETEiJ_G0033732	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000015086	ENSMSIG00000012964	Mus_spicilegus
ENSMUSP00000035158	ENSMUSG00000032554	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0089342	MGP_CAROLIEiJ_G0032587	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0025016	MGP_PahariEiJ_G0015455	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000012725	ENSRNOG00000030625	Rattus_norvegicus
ENSMUGP00000026062	ENSMUGG00000021719	Meriones_unguiculatus
ENSCGRP00015009109	ENSCGRG00015007000	Cricetulus_griseus_CriGri-PICR
ENSCGRP00000020921	ENSCGRG00000015208	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001009832	ENSCGRG00001011853	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000024533	ENSMAUG00000021354	Mesocricetus_auratus
ENSMOCP00000006905	ENSMOCG00000006609	Microtus_ochrogaster
ENSPEMP00000002968	ENSPEMG00000003714	Peromyscus_maniculatus_bairdii
ENSNGAP00000026768	ENSNGAG00000024311	Nannospalax_galili
ENSJJAP00000016903	ENSJJAG00000018609	Jaculus_jaculus
ENSSDAP00000012437	ENSSDAG00000011150	Spermophilus_dauricus
ENSUPAP00010027304	ENSUPAG00010021573	Urocitellus_parryii
ENSSTOP00000012640	ENSSTOG00000014098	Ictidomys_tridecemlineatus
ENSCCNP00000031093	ENSCCNG00000029377	Castor_canadensis
ENSFDAP00000009339	ENSFDAG00000017371	Fukomys_damarensis
ENSCLAP00000003993	ENSCLAG00000002851	Chinchilla_lanigera
ENSHGLP00000023563	ENSHGLG00000016805	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100025884	ENSHGLG00100018982	Heterocephalus_glaber_HetGla_1.0
ENSDORP00000007902	ENSDORG00000008419	Dipodomys_ordii
ENSOPRP00000001038	ENSOPRG00000001120	Ochotona_princeps
ENSPVAP00000010670	ENSPVAG00000011317	Pteropus_vampyrus
ENSMLUP00000004868	ENSMLUG00000005332	Myotis_lucifugus
ENSECAP00000050263	ENSECAG00000017555	Equus_caballus
ENSEASP00005005649	ENSEASG00005003981	Equus_asinus_asinus
ENSUMAP00000021633	ENSUMAG00000015824	Ursus_maritimus
ENSUAMP00000023114	ENSUAMG00000018130	Ursus_americanus
ENSAMEP00000000349	ENSAMEG00000000261	Ailuropoda_melanoleuca
ENSNVIP00000030357	ENSNVIG00000023376	Neovison_vison
ENSMPUP00000009621	ENSMPUG00000009697	Mustela_putorius_furo
ENSCAFP00020035633	ENSCAFG00020027567	Canis_lupus_dingo
ENSCAFP00000065617	ENSCAFG00000006540	Canis_lupus_familiaris
ENSVVUP00000007516	ENSVVUG00000005696	Vulpes_vulpes
ENSPTIP00000003410	ENSPTIG00000006149	Panthera_tigris_altaica
ENSPPRP00000003301	ENSPPRG00000022859	Panthera_pardus
ENSFCAP00000061238	ENSFCAG00000009592	Felis_catus
ENSBIXP00000024573	ENSBIXG00000026697	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005023041	ENSBIXG00005004415	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000009564	ENSBTAG00000007273	Bos_taurus
ENSBMUP00000006734	ENSBMUG00000005334	Bos_mutus
ENSBBBP00000006295	ENSBBBG00000001191	Bison_bison_bison
ENSOARP00000009080	ENSOARG00000008456	Ovis_aries
ENSCHIP00000024228	ENSCHIG00000021497	Capra_hircus
ENSTTRP00000007358	ENSTTRG00000007776	Tursiops_truncatus
ENSSSCP00000074302	ENSSSCG00000011640	Sus_scrofa_strain_reference
ENSVPAP00000002750	ENSVPAG00000002975	Vicugna_pacos
ENSSARP00000011706	ENSSARG00000012957	Sorex_araneus
ENSEEUP00000010966	ENSEEUG00000012003	Erinaceus_europaeus
ENSLAFP00000010419	ENSLAFG00000012465	Loxodonta_africana
ENSPCAP00000001060	ENSPCAG00000001085	Procavia_capensis
ENSETEP00000000011	ENSETEG00000000015	Echinops_telfairi
ENSOPRP00000001051	ENSOPRG00000001146	Ochotona_princeps
ENSMICP00000037153	ENSMICG00000037711	Microcebus_murinus
ENSCLAP00000003946	ENSCLAG00000002810	Chinchilla_lanigera
ENSODEP00000024718	ENSODEG00000018092	Octodon_degus
ENSCPOP00000025597	ENSCPOG00000030107	Cavia_porcellus
ENSHGLP00100025757	ENSHGLG00100018893	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000023578	ENSHGLG00000016818	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000009543	ENSFDAG00000017529	Fukomys_damarensis
ENSCCNP00000031166	ENSCCNG00000029693	Castor_canadensis
ENSMMMP00000021274	ENSMMMG00000018745	Marmota_marmota_marmota
ENSUPAP00010027276	ENSUPAG00010021565	Urocitellus_parryii
ENSSDAP00000012458	ENSSDAG00000011215	Spermophilus_dauricus
ENSSTOP00000023230	ENSSTOG00000022718	Ictidomys_tridecemlineatus
ENSCGRP00015009059	ENSCGRG00015006995	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001018327	ENSCGRG00001018121	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000019724	ENSCGRG00000014367	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000025019	ENSMAUG00000021695	Mesocricetus_auratus
ENSPEMP00000019766	ENSPEMG00000017954	Peromyscus_maniculatus_bairdii
ENSMSIP00000015193	ENSMSIG00000013033	Mus_spicilegus
MGP_SPRETEiJ_P0093054	MGP_SPRETEiJ_G0033731	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000035157	ENSMUSG00000032553	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0089338	MGP_CAROLIEiJ_G0032586	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0025013	MGP_PahariEiJ_G0015454	Mus_pahari_strain_PAHARI_EIJ
ENSMUGP00000026073	ENSMUGG00000021758	Meriones_unguiculatus
ENSOCUP00000006592	ENSOCUG00000007623	Oryctolagus_cuniculus
ENSRBIP00000007806	ENSRBIG00000027819	Rhinopithecus_bieti
ENSRROP00000012467	ENSRROG00000030536	Rhinopithecus_roxellana
ENSPTEP00000041659	ENSPTEG00000038113	Piliocolobus_tephrosceles
ENSCANP00000039321	ENSCANG00000043327	Colobus_angolensis_palliatus
ENSMFAP00000041898	ENSMFAG00000039758	Macaca_fascicularis
ENSMMUP00000067392	ENSMMUG00000008918	Macaca_mulatta
ENSMNEP00000017725	ENSMNEG00000032832	Macaca_nemestrina
ENSTGEP00000017023	ENSTGEG00000013755	Theropithecus_gelada
ENSMLEP00000022795	ENSMLEG00000035589	Mandrillus_leucophaeus
ENSCSAP00000006924	ENSCSAG00000010699	Chlorocebus_sabaeus
ENSCATP00000019305	ENSCATG00000033438	Cercocebus_atys
ENSPANP00000011669	ENSPANG00000023015	Papio_anubis
ENSPPAP00000005917	ENSPPAG00000023940	Pan_paniscus
ENSPTRP00000026563	ENSPTRG00000015413	Pan_troglodytes
ENSP00000418401	ENSG00000144867	Homo_sapiens
ENSGGOP00000048820	ENSGGOG00000027849	Gorilla_gorilla
ENSPPYP00000015793	ENSPPYG00000014115	Pongo_abelii
ENSNLEP00000004418	ENSNLEG00000003655	Nomascus_leucogenys
ENSCJAP00000061394	ENSCJAG00000002845	Callithrix_jacchus
ENSCCAP00000029964	ENSCCAG00000033027	Cebus_capucinus_imitator
ENSSBOP00000002988	ENSSBOG00000015129	Saimiri_boliviensis_boliviensis
ENSANAP00000020904	ENSANAG00000028236	Aotus_nancymaae
ENSTSYP00000023470	ENSTSYG00000031948	Carlito_syrichta
ENSPSMP00000037823	ENSPSMG00000025952	Prolemur_simus
ENSPCOP00000007200	ENSPCOG00000014826	Propithecus_coquereli
ENSMICP00000051377	ENSMICG00000048959	Microcebus_murinus
ENSOGAP00000004688	ENSOGAG00000005243	Otolemur_garnettii
ENSTBEP00000005254	ENSTBEG00000006116	Tupaia_belangeri
ENSEASP00005005311	ENSEASG00005003967	Equus_asinus_asinus
ENSECAP00000045590	ENSECAG00000036666	Equus_caballus
ENSPVAP00000010671	ENSPVAG00000011319	Pteropus_vampyrus
ENSUAMP00000023115	ENSUAMG00000018135	Ursus_americanus
ENSUMAP00000021625	ENSUMAG00000015817	Ursus_maritimus
ENSMPUP00000009611	ENSMPUG00000009687	Mustela_putorius_furo
ENSCAFP00000058489	ENSCAFG00000049641	Canis_lupus_familiaris
ENSCAFP00020035634	ENSCAFG00020027568	Canis_lupus_dingo
ENSVVUP00000007526	ENSVVUG00000005707	Vulpes_vulpes
ENSPPRP00000002640	ENSPPRG00000023305	Panthera_pardus
ENSPTIP00000004997	ENSPTIG00000007351	Panthera_tigris_altaica
ENSFCAP00000028963	ENSFCAG00000037571	Felis_catus
ENSBTAP00000053290	ENSBTAG00000044075	Bos_taurus
ENSBMUP00000006742	ENSBMUG00000005348	Bos_mutus
ENSBBBP00000021167	ENSBBBG00000001175	Bison_bison_bison
ENSCHIP00000021391	ENSCHIG00000019717	Capra_hircus
ENSOARP00000009017	ENSOARG00000008412	Ovis_aries
ENSTTRP00000007366	ENSTTRG00000007802	Tursiops_truncatus
ENSVPAP00000002751	ENSVPAG00000002976	Vicugna_pacos
