ENSCJPP00005018965	ENSCJPG00005014458	Coturnix_japonica
ENSHGLP00100004694	ENSHGLG00100003546	Heterocephalus_glaber_HetGla_1.0
ENSLAFP00000008532	ENSLAFG00000010177	Loxodonta_africana
ENSNSUP00000008983	ENSNSUG00000005707	Notechis_scutatus
ENSSDAP00000022627	ENSSDAG00000020465	Spermophilus_dauricus
ENSEBUP00000011844	ENSEBUG00000007578	Eptatretus_burgeri
ENSPKIP00000003902	ENSPKIG00000021175	Paramormyrops_kingsleyae
ENSUAMP00000004942	ENSUAMG00000003689	Ursus_americanus	ENSUAMT00000005627
ENSPCOP00000026854	ENSPCOG00000025766	Propithecus_coquereli
ENSOPRP00000004681	ENSOPRG00000005057	Ochotona_princeps
ENSTBEP00000015180	ENSTBEG00000017405	Tupaia_belangeri
ENSGAFP00000006357	ENSGAFG00000004204	Gambusia_affinis
ENSPEMP00000018277	ENSPEMG00000016912	Peromyscus_maniculatus_bairdii
ENSPMGP00000012779	ENSPMGG00000010527	Periophthalmus_magnuspinnatus
ENSPMAP00000004472	ENSPMAG00000004049	Petromyzon_marinus
ENSHCOP00000018709	ENSHCOG00000003500	Hippocampus_comes
ENSSCAP00000000544	ENSSCAG00000000450	Serinus_canaria
ENSVPAP00000006887	ENSVPAG00000007404	Vicugna_pacos
ENSCHAP00000044613	ENSCHAG00000017827	Clupea_harengus
ENSXETP00000040238	ENSXETG00000018654	Xenopus_tropicalis
ENSORLP00000035394	ENSORLG00000002173	Oryzias_latipes_ASM223467v1
ENSDARP00000133919	ENSDARG00000099798	Danio_rerio
ENSECRP00000016486	ENSECRG00000010951	Erpetoichthys_calabaricus
ENSOGAP00000009709	ENSOGAG00000010839	Otolemur_garnettii
ENSNMEP00000013424	ENSNMEG00000012245	Numida_meleagris
ENSXCOP00000027987	ENSXCOG00000020883	Xiphophorus_couchianus
ENSMFAP00000044806	ENSMFAG00000037361	Macaca_fascicularis
ENSETEP00000015908	ENSETEG00000019584	Echinops_telfairi
ENSMOCP00000015626	ENSMOCG00000014757	Microtus_ochrogaster
ENSJHYP00000000797	ENSJHYG00000000681	Junco_hyemalis
ENSCGRP00000001340	ENSCGRG00000001033	Cricetulus_griseus_CriGri_1.0
ENSP00000377250	ENSG00000061987	Homo_sapiens
ENSDCDP00000054914	ENSDCDG00000032592	Denticeps_clupeoides
ENSAMXP00000000696	ENSAMXG00000000684	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSLBEP00000029023	ENSLBEG00000021899	Labrus_bergylta
ENSTTRP00000010870	ENSTTRG00000011446	Tursiops_truncatus
ENSDNOP00000000359	ENSDNOG00000000467	Dasypus_novemcinctus
ENSPRNP00000031635	ENSPRNG00000015716	Parambassis_ranga
ENSPTRP00000070680	ENSPTRG00000005164	Pan_troglodytes
ENSPCAP00000006935	ENSPCAG00000007301	Procavia_capensis
ENSOANP00000017129	ENSOANG00000010807	Ornithorhynchus_anatinus
ENSSDUP00000032558	ENSSDUG00000023390	Seriola_dumerili
ENSUMAP00000027897	ENSUMAG00000020264	Ursus_maritimus	ENSUMAT00000033001
ENSHHUP00000088710	ENSHHUG00000051134	Hucho_hucho
ENSMAUP00000000732	ENSMAUG00000000577	Mesocricetus_auratus
ENSPSIP00000006837	ENSPSIG00000006320	Pelodiscus_sinensis
ENSPFOP00000013263	ENSPFOG00000012989	Poecilia_formosa
ENSMGAP00000010504	ENSMGAG00000010123	Meleagris_gallopavo
ENSFCAP00000046323	ENSFCAG00000023896	Felis_catus
ENSAPEP00000008839	ENSAPEG00000006284	Amphiprion_percula
ENSPPYP00000005374	ENSPPYG00000004718	Pongo_abelii
ENSMLEP00000013179	ENSMLEG00000030519	Mandrillus_leucophaeus
ENSORLP00015012345	ENSORLG00015013280	Oryzias_latipes_ASM223469v1
ENSDORP00000019716	ENSDORG00000000894	Dipodomys_ordii
ENSLOCP00000020999	ENSLOCG00000016986	Lepisosteus_oculatus
ENSHHUP00000081846	ENSHHUG00000047471	Hucho_hucho
ENSBIXP00005004430	ENSBIXG00005010482	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSSFOP00015011214	ENSSFOG00015007168	Scleropages_formosus
ENSCSAP00000000860	ENSCSAG00000004527	Chlorocebus_sabaeus
ENSMODP00000044458	ENSMODG00000014318	Monodelphis_domestica	ENSMODT00000068127
ENSBIXP00000015674	ENSBIXG00000003656	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSRBIP00000027593	ENSRBIG00000037597	Rhinopithecus_bieti
ENSCLAP00000017959	ENSCLAG00000012321	Chinchilla_lanigera
ENSCATP00000008946	ENSCATG00000022165	Cercocebus_atys
ENSMLUP00000003072	ENSMLUG00000003367	Myotis_lucifugus	ENSMLUT00000003379
ENSCHIP00000004306	ENSCHIG00000008433	Capra_hircus
ENSCSEP00000013749	ENSCSEG00000008770	Cynoglossus_semilaevis
ENSGMOP00000000935	ENSGMOG00000000877	Gadus_morhua
ENSPMJP00000016572	ENSPMJG00000011160	Parus_major
ENSMICP00000021701	ENSMICG00000000252	Microcebus_murinus
ENSPPRP00000004232	ENSPPRG00000000598	Panthera_pardus
ENSANAP00000004510	ENSANAG00000019939	Aotus_nancymaae
ENSPTIP00000020325	ENSPTIG00000017684	Panthera_tigris_altaica
ENSNLEP00000030594	ENSNLEG00000017095	Nomascus_leucogenys
ENSBSLP00000021513	ENSBSLG00000010126	Betta_splendens
ENSSPUP00000019309	ENSSPUG00000014834	Sphenodon_punctatus
ENSNBRP00000024102	ENSNBRG00000018395	Neolamprologus_brichardi
ENSAOCP00000002238	ENSAOCG00000005387	Amphiprion_ocellaris
ENSCPOP00000025283	ENSCPOG00000032417	Cavia_porcellus
ENSCCEP00000009605	ENSCCEG00000009734	Cyanistes_caeruleus
ENSCMIP00000016320	ENSCMIG00000007867	Callorhinchus_milii
MGP_CAROLIEiJ_P0024935	MGP_CAROLIEiJ_G0015865	Mus_caroli_strain_CAROLI_EIJ
ENSLCAP00010015340	ENSLCAG00010007062	Lates_calcarifer
ENSPSMP00000029501	ENSPSMG00000020461	Prolemur_simus
ENSSMAP00000010679	ENSSMAG00000006517	Scophthalmus_maximus
ENSZALP00000011558	ENSZALG00000009746	Zonotrichia_albicollis
ENSLCOP00000021636	ENSLCOG00000015301	Lepidothrix_coronata
ENSKMAP00000022946	ENSKMAG00000016973	Kryptolebias_marmoratus
ENSPCIP00000024297	ENSPCIG00000017908	Phascolarctos_cinereus	ENSPCIT00000029948
ENSPLAP00000002345	ENSPLAG00000003608	Poecilia_latipinna
ENSPMEP00000020654	ENSPMEG00000023916	Poecilia_mexicana
ENSGAGP00000013386	ENSGAGG00000010238	Gopherus_agassizii
ENSMAMP00000034424	ENSMAMG00000023136	Mastacembelus_armatus
ENSCANP00000001113	ENSCANG00000000753	Colobus_angolensis_palliatus
ENSCGRP00015003244	ENSCGRG00015002011	Cricetulus_griseus_CriGri-PICR
ENSNPEP00000014192	ENSNPEG00000010612	Nothoprocta_perdicaria
ENSLSDP00000022793	ENSLSDG00000016087	Lonchura_striata_domestica
ENSCPUP00000006670	ENSCPUG00000004833	Calidris_pugnax
ENSAPOP00000015690	ENSAPOG00000018871	Acanthochromis_polyacanthus
ENSGGOP00000037163	ENSGGOG00000012086	Gorilla_gorilla
