ENSRROP00000007403	ENSRROG00000027471	Rhinopithecus_roxellana	ENSRROT00000030809
ENSRBIP00000004177	ENSRBIG00000019505	Rhinopithecus_bieti	ENSRBIT00000021357
ENSPTEP00000039275	ENSPTEG00000036370	Piliocolobus_tephrosceles	ENSPTET00000052818
ENSCANP00000007008	ENSCANG00000023231	Colobus_angolensis_palliatus
ENSMFAP00000035112	ENSMFAG00000004017	Macaca_fascicularis
ENSMNEP00000026458	ENSMNEG00000036668	Macaca_nemestrina
ENSMMUP00000006145	ENSMMUG00000004618	Macaca_mulatta
ENSCSAP00000004311	ENSCSAG00000008050	Chlorocebus_sabaeus
ENSTGEP00000004427	ENSTGEG00000003724	Theropithecus_gelada
ENSPANP00000013873	ENSPANG00000009596	Papio_anubis
ENSMLEP00000016024	ENSMLEG00000032212	Mandrillus_leucophaeus
ENSCATP00000016424	ENSCATG00000032149	Cercocebus_atys
ENSPPAP00000033624	ENSPPAG00000039679	Pan_paniscus
ENSPTRP00000073143	ENSPTRG00000017879	Pan_troglodytes
ENSP00000392398	ENSG00000224586	Homo_sapiens
ENSGGOP00000006752	ENSGGOG00000006903	Gorilla_gorilla
ENSPPYP00000018305	ENSPPYG00000016375	Pongo_abelii
ENSNLEP00000005555	ENSNLEG00000004583	Nomascus_leucogenys
ENSSBOP00000008904	ENSSBOG00000021357	Saimiri_boliviensis_boliviensis
ENSCCAP00000010430	ENSCCAG00000022962	Cebus_capucinus_imitator
ENSCJAP00000034567	ENSCJAG00000018607	Callithrix_jacchus
ENSANAP00000009240	ENSANAG00000022619	Aotus_nancymaae
ENSOCUP00000014469	ENSOCUG00000016836	Oryctolagus_cuniculus
ENSBBBP00000005705	ENSBBBG00000003293	Bison_bison_bison
