ENSDCDP00000038393	ENSDCDG00000025771	Denticeps_clupeoides	ENSDCDT00000049205
ENSCHAP00000042150	ENSCHAG00000019674	Clupea_harengus	ENSCHAT00000045593
ENSUMAP00000005046	ENSUMAG00000004025	Ursus_maritimus
ENSUAMP00000025235	ENSUAMG00000019669	Ursus_americanus
ENSAMEP00000015954	ENSAMEG00000015144	Ailuropoda_melanoleuca
ENSMPUP00000001663	ENSMPUG00000001679	Mustela_putorius_furo
ENSNVIP00000027288	ENSNVIG00000021115	Neovison_vison
ENSCAFP00000011155	ENSCAFG00000007512	Canis_lupus_familiaris
ENSCAFP00020020403	ENSCAFG00020016169	Canis_lupus_dingo
ENSVVUP00000038990	ENSVVUG00000027811	Vulpes_vulpes
ENSPPRP00000000520	ENSPPRG00000024772	Panthera_pardus
ENSPTIP00000011272	ENSPTIG00000011744	Panthera_tigris_altaica
ENSFCAP00000014214	ENSFCAG00000015328	Felis_catus
ENSEEUP00000006567	ENSEEUG00000007231	Erinaceus_europaeus
ENSEASP00005018250	ENSEASG00005012587	Equus_asinus_asinus
ENSECAP00000000719	ENSECAG00000001057	Equus_caballus
ENSPVAP00000014422	ENSPVAG00000015301	Pteropus_vampyrus
ENSMLUP00000006394	ENSMLUG00000007001	Myotis_lucifugus
ENSTTRP00000015047	ENSTTRG00000015880	Tursiops_truncatus
ENSSSCP00000010437	ENSSSCG00000009774	Sus_scrofa_strain_reference
ENSBIXP00005014737	ENSBIXG00005018667	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000032789	ENSBIXG00000015435	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000027321	ENSBTAG00000020503	Bos_taurus
ENSBMUP00000018182	ENSBMUG00000013762	Bos_mutus
ENSBBBP00000010389	ENSBBBG00000018517	Bison_bison_bison
ENSOARP00000005597	ENSOARG00000005214	Ovis_aries
ENSCHIP00000025461	ENSCHIG00000022229	Capra_hircus
ENSTBEP00000010820	ENSTBEG00000012500	Tupaia_belangeri
ENSCCNP00000016102	ENSCCNG00000016429	Castor_canadensis
ENSDORP00000025687	ENSDORG00000026069	Dipodomys_ordii
ENSCGRP00000004128	ENSCGRG00000003037	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001011880	ENSCGRG00001013424	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015030970	ENSCGRG00015023371	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000009016	ENSMAUG00000010304	Mesocricetus_auratus
ENSMOCP00000019507	ENSMOCG00000017477	Microtus_ochrogaster
ENSPEMP00000031719	ENSPEMG00000030785	Peromyscus_maniculatus_bairdii
ENSMUSP00000076594	ENSMUSG00000047635	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000010604	ENSMSIG00000009298	Mus_spicilegus
MGP_SPRETEiJ_P0073550	MGP_SPRETEiJ_G0028745	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0070839	MGP_CAROLIEiJ_G0027747	Mus_caroli_strain_CAROLI_EIJ
ENSRNOP00000071132	ENSRNOG00000001073	Rattus_norvegicus
ENSMUGP00000008099	ENSMUGG00000007342	Meriones_unguiculatus
ENSNGAP00000007329	ENSNGAG00000010625	Nannospalax_galili
ENSJJAP00000023647	ENSJJAG00000023360	Jaculus_jaculus
ENSCLAP00000020911	ENSCLAG00000014329	Chinchilla_lanigera
ENSODEP00000015428	ENSODEG00000011382	Octodon_degus
ENSCPOP00000006840	ENSCPOG00000007583	Cavia_porcellus
ENSCAPP00000014288	ENSCAPG00000014691	Cavia_aperea
ENSHGLP00000015348	ENSHGLG00000010966	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100025395	ENSHGLG00100018631	Heterocephalus_glaber_HetGla_1.0
ENSSDAP00000020715	ENSSDAG00000018873	Spermophilus_dauricus
ENSSTOP00000025371	ENSSTOG00000016463	Ictidomys_tridecemlineatus
ENSUPAP00010023263	ENSUPAG00010018429	Urocitellus_parryii
ENSMMMP00000028114	ENSMMMG00000024511	Marmota_marmota_marmota
ENSOCUP00000010213	ENSOCUG00000011888	Oryctolagus_cuniculus
ENSOPRP00000010060	ENSOPRG00000011029	Ochotona_princeps
ENSPCOP00000019251	ENSPCOG00000021574	Propithecus_coquereli
ENSMICP00000032810	ENSMICG00000037138	Microcebus_murinus
ENSPSMP00000028339	ENSPSMG00000019727	Prolemur_simus
ENSOGAP00000009647	ENSOGAG00000010778	Otolemur_garnettii
ENSPPAP00000012973	ENSPPAG00000029654	Pan_paniscus
ENSPTRP00000009516	ENSPTRG00000005595	Pan_troglodytes
ENSP00000390647	ENSG00000130921	Homo_sapiens
ENSGGOP00000012533	ENSGGOG00000012850	Gorilla_gorilla
ENSPPYP00000005789	ENSPPYG00000005082	Pongo_abelii
ENSNLEP00000001719	ENSNLEG00000001470	Nomascus_leucogenys
ENSRBIP00000034140	ENSRBIG00000040789	Rhinopithecus_bieti
ENSRROP00000014334	ENSRROG00000031384	Rhinopithecus_roxellana
ENSPTEP00000005398	ENSPTEG00000006252	Piliocolobus_tephrosceles
ENSMMUP00000061223	ENSMMUG00000031495	Macaca_mulatta
ENSMNEP00000044116	ENSMNEG00000044673	Macaca_nemestrina
ENSCSAP00000015967	ENSCSAG00000002068	Chlorocebus_sabaeus
ENSCATP00000035667	ENSCATG00000040685	Cercocebus_atys
ENSPANP00000000508	ENSPANG00000015388	Papio_anubis
ENSTGEP00000033638	ENSTGEG00000026851	Theropithecus_gelada
ENSMLEP00000040577	ENSMLEG00000044309	Mandrillus_leucophaeus
ENSSBOP00000020048	ENSSBOG00000026629	Saimiri_boliviensis_boliviensis
ENSCJAP00000030511	ENSCJAG00000016579	Callithrix_jacchus
ENSANAP00000009789	ENSANAG00000022881	Aotus_nancymaae
ENSDNOP00000029467	ENSDNOG00000034728	Dasypus_novemcinctus
ENSLAFP00000001784	ENSLAFG00000002134	Loxodonta_africana
ENSPCAP00000015115	ENSPCAG00000016193	Procavia_capensis
ENSETEP00000004576	ENSETEG00000005627	Echinops_telfairi
ENSPCIP00000014064	ENSPCIG00000010996	Phascolarctos_cinereus
ENSVURP00010002955	ENSVURG00010002405	Vombatus_ursinus
ENSMEUP00000008599	ENSMEUG00000009430	Notamacropus_eugenii
ENSSHAP00000017654	ENSSHAG00000014988	Sarcophilus_harrisii
ENSMODP00000058018	ENSMODG00000051165	Monodelphis_domestica
ENSOANP00000020350	ENSOANG00000012866	Ornithorhynchus_anatinus
ENSABRP00000013476	ENSABRG00000011966	Anser_brachyrhynchus
ENSAPLP00000015954	ENSAPLG00000016073	Anas_platyrhynchos_platyrhynchos
ENSCJPP00005025449	ENSCJPG00005019965	Coturnix_japonica
ENSMGAP00000003040	ENSMGAG00000003354	Meleagris_gallopavo
ENSGALP00000060730	ENSGALG00000029390	Gallus_gallus
ENSNMEP00000018157	ENSNMEG00000015802	Numida_meleagris
ENSZALP00000018425	ENSZALG00000014753	Zonotrichia_albicollis
ENSJHYP00000014823	ENSJHYG00000011466	Junco_hyemalis
ENSSCAP00000013041	ENSSCAG00000009714	Serinus_canaria
ENSPMJP00000003671	ENSPMJG00000003214	Parus_major
ENSCCEP00000008870	ENSCCEG00000009056	Cyanistes_caeruleus
ENSLSDP00000007118	ENSLSDG00000005360	Lonchura_striata_domestica
ENSTGUP00000005590	ENSTGUG00000005440	Taeniopygia_guttata
ENSFALP00000009655	ENSFALG00000009261	Ficedula_albicollis
ENSLCOP00000014057	ENSLCOG00000010123	Lepidothrix_coronata
ENSMVIP00005003277	ENSMVIG00005002574	Manacus_vitellinus
ENSMUNP00000020598	ENSMUNG00000015662	Melopsittacus_undulatus
ENSCPUP00000010721	ENSCPUG00000007616	Calidris_pugnax
ENSCPGP00000003207	ENSCPGG00000002361	Calidris_pygmaea
ENSARWP00000003064	ENSARWG00000002308	Apteryx_rowi
ENSAHAP00000012325	ENSAHAG00000008890	Apteryx_haastii
ENSAOWP00000023044	ENSAOWG00000015565	Apteryx_owenii
ENSDNVP00000022727	ENSDNVG00000015803	Dromaius_novaehollandiae
ENSNPEP00000016198	ENSNPEG00000012066	Nothoprocta_perdicaria
ENSCPRP00005024839	ENSCPRG00005017244	Crocodylus_porosus
ENSCABP00000010294	ENSCABG00000007723	Chelonoidis_abingdonii
ENSGAGP00000001014	ENSGAGG00000000823	Gopherus_agassizii
ENSCPBP00000037501	ENSCPBG00000025970	Chrysemys_picta_bellii
ENSPSIP00000014503	ENSPSIG00000013010	Pelodiscus_sinensis
ENSACAP00000015283	ENSACAG00000015561	Anolis_carolinensis
ENSPVIP00000020284	ENSPVIG00000015472	Pogona_vitticeps
ENSSMRP00000023867	ENSSMRG00000018523	Salvator_merianae
ENSSPUP00000016280	ENSSPUG00000012613	Sphenodon_punctatus
ENSXETP00000003379	ENSXETG00000004874	Xenopus_tropicalis
ENSLACP00000019739	ENSLACG00000017355	Latimeria_chalumnae
ENSPMEP00000031434	ENSPMEG00000018566	Poecilia_mexicana
ENSPMEP00000025907	ENSPMEG00000009201	Poecilia_mexicana
ENSPFOP00000011372	ENSPFOG00000011397	Poecilia_formosa
ENSPFOP00000011527	ENSPFOG00000011553	Poecilia_formosa
ENSPLAP00000019487	ENSPLAG00000001661	Poecilia_latipinna
ENSPREP00000031392	ENSPREG00000021268	Poecilia_reticulata
ENSXCOP00000001195	ENSXCOG00000000975	Xiphophorus_couchianus
ENSFHEP00000015924	ENSFHEG00000017567	Fundulus_heteroclitus
ENSCVAP00000019633	ENSCVAG00000023000	Cyprinodon_variegatus
ENSKMAP00000025263	ENSKMAG00000018733	Kryptolebias_marmoratus
ENSGWIP00000016195	ENSGWIG00000009102	Gouania_willdenowi
ENSORLP00015005006	ENSORLG00015005780	Oryzias_latipes_ASM223469v1
ENSORLP00000007736	ENSORLG00000006153	Oryzias_latipes_ASM223467v1
ENSORLP00020031905	ENSORLG00020017188	Oryzias_latipes_ASM223471v1
ENSOMEP00000000766	ENSOMEG00000001663	Oryzias_melastigma
ENSTNIP00000018916	ENSTNIG00000015832	Tetraodon_nigroviridis
ENSCSEP00000022817	ENSCSEG00000014536	Cynoglossus_semilaevis
ENSMALP00000017637	ENSMALG00000012291	Monopterus_albus	ENSMALT00000017984
ENSMAMP00000025866	ENSMAMG00000017366	Mastacembelus_armatus	ENSMAMT00000026528
ENSATEP00000016756	ENSATEG00000011661	Anabas_testudineus	ENSATET00000017040
ENSBSLP00000028959	ENSBSLG00000014494	Betta_splendens	ENSBSLT00000032150
ENSLCRP00005002736	ENSLCRG00005001300	Larimichthys_crocea
ENSMMOP00000022545	ENSMMOG00000017134	Mola_mola
ENSCGOP00000038762	ENSCGOG00000017744	Cottoperca_gobio
ENSSLDP00000022603	ENSSLDG00000017638	Seriola_lalandi_dorsalis
ENSMZEP00005001125	ENSMZEG00005000938	Maylandia_zebra
ENSACLP00000035298	ENSACLG00000023906	Astatotilapia_calliptera
ENSHBUP00000005899	ENSHBUG00000007273	Haplochromis_burtoni
ENSPNYP00000019123	ENSPNYG00000014456	Pundamilia_nyererei
ENSNBRP00000010369	ENSNBRG00000008082	Neolamprologus_brichardi
ENSONIP00000016726	ENSONIG00000013298	Oreochromis_niloticus
ENSACIP00000002047	ENSACIG00000001644	Amphilophus_citrinellus
ENSPRNP00000039741	ENSPRNG00000019562	Parambassis_ranga
ENSSMAP00000027425	ENSSMAG00000016770	Scophthalmus_maximus
ENSSDUP00000028227	ENSSDUG00000020401	Seriola_dumerili
ENSLCAP00010060822	ENSLCAG00010028278	Lates_calcarifer
ENSGACP00000010906	ENSGACG00000008255	Gasterosteus_aculeatus
ENSAPEP00000034665	ENSAPEG00000024618	Amphiprion_percula
ENSAOCP00000021081	ENSAOCG00000005589	Amphiprion_ocellaris
ENSAPOP00000028442	ENSAPOG00000000995	Acanthochromis_polyacanthus
ENSSPAP00000031324	ENSSPAG00000023476	Stegastes_partitus
ENSPMGP00000022675	ENSPMGG00000018342	Periophthalmus_magnuspinnatus
ENSGMOP00000012999	ENSGMOG00000012139	Gadus_morhua
ENSELUP00000036005	ENSELUG00000015178	Esox_lucius
ENSAMXP00000043934	ENSAMXG00000031765	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005040002	ENSAMXG00005018835	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000013867	ENSPNAG00000019769	Pygocentrus_nattereri
ENSEEEP00000020659	ENSEEEG00000010077	Electrophorus_electricus
ENSIPUP00000030809	ENSIPUG00000020793	Ictalurus_punctatus
ENSDARP00000129767	ENSDARG00000097803	Danio_rerio
ENSHCOP00000016127	ENSHCOG00000019848	Hippocampus_comes
ENSSFOP00015029752	ENSSFOG00015019122	Scleropages_formosus
