ENSPMJP00000013786	ENSPMJG00000010468	Parus_major
ENSCCEP00000012346	ENSCCEG00000011930	Cyanistes_caeruleus
ENSSCAP00000016888	ENSSCAG00000012291	Serinus_canaria
ENSJHYP00000011910	ENSJHYG00000009290	Junco_hyemalis
ENSMVIP00005021331	ENSMVIG00005015004	Manacus_vitellinus
ENSPSIP00000003324	ENSPSIG00000003184	Pelodiscus_sinensis
ENSSMRP00000007448	ENSSMRG00000005980	Salvator_merianae
ENSACAP00000002480	ENSACAG00000002594	Anolis_carolinensis
ENSUAMP00000003129	ENSUAMG00000002857	Ursus_americanus
ENSUMAP00000010867	ENSUMAG00000008173	Ursus_maritimus
ENSAMEP00000008971	ENSAMEG00000008530	Ailuropoda_melanoleuca
ENSMPUP00000004775	ENSMPUG00000004814	Mustela_putorius_furo
ENSNVIP00000019257	ENSNVIG00000015081	Neovison_vison
ENSVVUP00000007958	ENSVVUG00000006009	Vulpes_vulpes
ENSCAFP00000036408	ENSCAFG00000032239	Canis_lupus_familiaris
ENSCAFP00020035288	ENSCAFG00020027324	Canis_lupus_dingo
ENSFCAP00000019373	ENSFCAG00000023281	Felis_catus
ENSPPRP00000027075	ENSPPRG00000018282	Panthera_pardus
ENSEASP00005026017	ENSEASG00005017742	Equus_asinus_asinus
ENSECAP00000048536	ENSECAG00000004708	Equus_caballus
ENSCHIP00000029603	ENSCHIG00000024675	Capra_hircus
ENSOARP00000005092	ENSOARG00000004754	Ovis_aries
ENSBIXP00000041002	ENSBIXG00000025196	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005002218	ENSBIXG00005008619	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000072948	ENSBTAG00000051380	Bos_taurus
ENSBMUP00000008973	ENSBMUG00000006996	Bos_mutus
ENSBBBP00000012216	ENSBBBG00000020057	Bison_bison_bison
ENSSSCP00000046561	ENSSSCG00000032353	Sus_scrofa_strain_reference
ENSSARP00000006087	ENSSARG00000006714	Sorex_araneus
ENSEEUP00000005998	ENSEEUG00000006565	Erinaceus_europaeus
ENSPTRP00000067218	ENSPTRG00000049168	Pan_troglodytes
ENSPPAP00000036431	ENSPPAG00000040982	Pan_paniscus
ENSP00000456850	ENSG00000249693	Homo_sapiens
ENSGGOP00000033948	ENSGGOG00000040755	Gorilla_gorilla
ENSNLEP00000040488	ENSNLEG00000035230	Nomascus_leucogenys
ENSPTEP00000027153	ENSPTEG00000027064	Piliocolobus_tephrosceles
ENSCANP00000023767	ENSCANG00000035295	Colobus_angolensis_palliatus
ENSRBIP00000021951	ENSRBIG00000034929	Rhinopithecus_bieti
ENSRROP00000030727	ENSRROG00000039089	Rhinopithecus_roxellana
ENSMNEP00000009070	ENSMNEG00000029009	Macaca_nemestrina
ENSMFAP00000028963	ENSMFAG00000041767	Macaca_fascicularis
ENSMMUP00000058265	ENSMMUG00000041612	Macaca_mulatta
ENSCATP00000037006	ENSCATG00000041268	Cercocebus_atys
ENSCSAP00000001425	ENSCSAG00000005107	Chlorocebus_sabaeus
ENSPANP00000005988	ENSPANG00000013419	Papio_anubis
ENSTGEP00000026599	ENSTGEG00000021433	Theropithecus_gelada
ENSMLEP00000027849	ENSMLEG00000038148	Mandrillus_leucophaeus
ENSCJAP00000063490	ENSCJAG00000039615	Callithrix_jacchus
ENSSBOP00000013627	ENSSBOG00000023585	Saimiri_boliviensis_boliviensis
ENSCCAP00000014263	ENSCCAG00000024941	Cebus_capucinus_imitator
ENSANAP00000041737	ENSANAG00000038152	Aotus_nancymaae
ENSTSYP00000032183	ENSTSYG00000026902	Carlito_syrichta
ENSPSMP00000027890	ENSPSMG00000019443	Prolemur_simus
ENSPCOP00000009317	ENSPCOG00000016025	Propithecus_coquereli
ENSMICP00000041505	ENSMICG00000042879	Microcebus_murinus
ENSTBEP00000007766	ENSTBEG00000008956	Tupaia_belangeri
ENSUPAP00010000053	ENSUPAG00010000026	Urocitellus_parryii
ENSMMMP00000024299	ENSMMMG00000021263	Marmota_marmota_marmota
ENSSDAP00000013598	ENSSDAG00000012280	Spermophilus_dauricus
ENSSTOP00000031172	ENSSTOG00000029529	Ictidomys_tridecemlineatus
ENSCCNP00000006745	ENSCCNG00000007168	Castor_canadensis
ENSMUSP00000031161	ENSMUSG00000029248	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0071432	MGP_SPRETEiJ_G0028319	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000024051	ENSMSIG00000020348	Mus_spicilegus
MGP_CAROLIEiJ_P0068781	MGP_CAROLIEiJ_G0027325	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0031960	MGP_PahariEiJ_G0017105	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000002860	ENSRNOG00000002085	Rattus_norvegicus
ENSMUGP00000032631	ENSMUGG00000027107	Meriones_unguiculatus
ENSCGRP00001000738	ENSCGRG00001000567	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000006488	ENSCGRG00000004744	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015010684	ENSCGRG00015008214	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000008594	ENSMAUG00000009973	Mesocricetus_auratus
ENSMOCP00000015910	ENSMOCG00000014946	Microtus_ochrogaster
ENSPEMP00000032930	ENSPEMG00000001037	Peromyscus_maniculatus_bairdii
ENSNGAP00000019631	ENSNGAG00000019380	Nannospalax_galili
ENSJJAP00000018223	ENSJJAG00000019551	Jaculus_jaculus
ENSODEP00000014168	ENSODEG00000010470	Octodon_degus
ENSCLAP00000008184	ENSCLAG00000005736	Chinchilla_lanigera
ENSCPOP00000030587	ENSCPOG00000030344	Cavia_porcellus
ENSOCUP00000046785	ENSOCUG00000033811	Oryctolagus_cuniculus
ENSDNOP00000023165	ENSDNOG00000030951	Dasypus_novemcinctus
ENSETEP00000014139	ENSETEG00000017413	Echinops_telfairi
ENSVURP00010014526	ENSVURG00010011142	Vombatus_ursinus
ENSMODP00000047789	ENSMODG00000037967	Monodelphis_domestica
ENSOANP00000030565	ENSOANG00000031517	Ornithorhynchus_anatinus
ENSLACP00000023249	ENSLACG00000022270	Latimeria_chalumnae
ENSCINP00000003080	ENSCING00000001557	Ciona_intestinalis
ENSCSAVP00000018120	ENSCSAVG00000010658	Ciona_savignyi
ENSCLAP00000016701	ENSCLAG00000011467	Chinchilla_lanigera
ENSODEP00000016205	ENSODEG00000011927	Octodon_degus
ENSHGLP00100011925	ENSHGLG00100008856	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000017391	ENSHGLG00000012454	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000005605	ENSFDAG00000014574	Fukomys_damarensis
ENSCPOP00000007506	ENSCPOG00000008349	Cavia_porcellus
ENSCAPP00000008410	ENSCAPG00000010119	Cavia_aperea
ENSSTOP00000019747	ENSSTOG00000025627	Ictidomys_tridecemlineatus
ENSUPAP00010004820	ENSUPAG00010003907	Urocitellus_parryii
ENSCCNP00000020608	ENSCCNG00000020530	Castor_canadensis
MGP_SPRETEiJ_P0024857	MGP_SPRETEiJ_G0016346	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000000929	ENSMSIG00000000944	Mus_spicilegus
ENSMUSP00000020566	ENSMUSG00000020317	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0023709	MGP_CAROLIEiJ_G0015528	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0086860	MGP_PahariEiJ_G0030941	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000010549	ENSRNOG00000007960	Rattus_norvegicus
ENSMUGP00000026005	ENSMUGG00000021678	Meriones_unguiculatus
ENSCGRP00000015182	ENSCGRG00000011016	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015010135	ENSCGRG00015007790	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001020372	ENSCGRG00001019545	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000004219	ENSMAUG00000005159	Mesocricetus_auratus
ENSPEMP00000009136	ENSPEMG00000010528	Peromyscus_maniculatus_bairdii
ENSMOCP00000018744	ENSMOCG00000016939	Microtus_ochrogaster
ENSNGAP00000024490	ENSNGAG00000022740	Nannospalax_galili
ENSJJAP00000000836	ENSJJAG00000000665	Jaculus_jaculus
ENSMICP00000007924	ENSMICG00000008700	Microcebus_murinus
ENSUAMP00000020179	ENSUAMG00000015927	Ursus_americanus
ENSUMAP00000006629	ENSUMAG00000005190	Ursus_maritimus
ENSAMEP00000002739	ENSAMEG00000002616	Ailuropoda_melanoleuca
ENSNVIP00000002485	ENSNVIG00000001983	Neovison_vison
ENSMPUP00000010029	ENSMPUG00000010105	Mustela_putorius_furo
ENSCAFP00000029198	ENSCAFG00000019728	Canis_lupus_familiaris
ENSCAFP00020021244	ENSCAFG00020016779	Canis_lupus_dingo
ENSVVUP00000030775	ENSVVUG00000022459	Vulpes_vulpes
ENSPPRP00000019439	ENSPPRG00000010824	Panthera_pardus
ENSPTIP00000012363	ENSPTIG00000012450	Panthera_tigris_altaica
ENSFCAP00000014314	ENSFCAG00000015436	Felis_catus
ENSEASP00005031499	ENSEASG00005021446	Equus_asinus_asinus
ENSBIXP00000021854	ENSBIXG00000024861	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005025415	ENSBIXG00005028024	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000062618	ENSBTAG00000048393	Bos_taurus
ENSBMUP00000004520	ENSBMUG00000003541	Bos_mutus
ENSBBBP00000022667	ENSBBBG00000016707	Bison_bison_bison
ENSCHIP00000025660	ENSCHIG00000022326	Capra_hircus
ENSOARP00000009007	ENSOARG00000008397	Ovis_aries
ENSSSCP00000014887	ENSSSCG00000014002	Sus_scrofa_strain_reference
ENSPPAP00000036889	ENSPPAG00000041193	Pan_paniscus
ENSPTRP00000017236	ENSPTRG00000010144	Pan_troglodytes
ENSP00000340088	ENSG00000105549	Homo_sapiens
ENSGGOP00000010329	ENSGGOG00000010593	Gorilla_gorilla
ENSPPYP00000010404	ENSPPYG00000009270	Pongo_abelii
ENSNLEP00000000775	ENSNLEG00000000641	Nomascus_leucogenys
ENSPTEP00000038324	ENSPTEG00000035649	Piliocolobus_tephrosceles
ENSCANP00000039405	ENSCANG00000043370	Colobus_angolensis_palliatus
ENSRROP00000020536	ENSRROG00000034215	Rhinopithecus_roxellana
ENSMNEP00000026713	ENSMNEG00000036791	Macaca_nemestrina
ENSMFAP00000041383	ENSMFAG00000041429	Macaca_fascicularis
ENSPANP00000015131	ENSPANG00000009831	Papio_anubis
ENSCATP00000040389	ENSCATG00000042791	Cercocebus_atys
ENSMLEP00000034097	ENSMLEG00000041229	Mandrillus_leucophaeus
ENSMMUP00000073463	ENSMMUG00000062425	Macaca_mulatta
ENSCSAP00000009281	ENSCSAG00000013120	Chlorocebus_sabaeus
ENSRBIP00000012578	ENSRBIG00000030254	Rhinopithecus_bieti
ENSSBOP00000001944	ENSSBOG00000010090	Saimiri_boliviensis_boliviensis
ENSCJAP00000053631	ENSCJAG00000040326	Callithrix_jacchus
ENSANAP00000019012	ENSANAG00000027327	Aotus_nancymaae
ENSTSYP00000018000	ENSTSYG00000030590	Carlito_syrichta
ENSPCOP00000009732	ENSPCOG00000016271	Propithecus_coquereli
ENSPSMP00000000069	ENSPSMG00000000077	Prolemur_simus
ENSOGAP00000004105	ENSOGAG00000004601	Otolemur_garnettii
ENSOPRP00000012684	ENSOPRG00000013906	Ochotona_princeps
ENSTTRP00000010155	ENSTTRG00000010710	Tursiops_truncatus
ENSMLUP00000014615	ENSMLUG00000016032	Myotis_lucifugus
ENSETEP00000004096	ENSETEG00000005032	Echinops_telfairi
ENSLAFP00000029359	ENSLAFG00000027044	Loxodonta_africana
ENSDNOP00000034245	ENSDNOG00000043241	Dasypus_novemcinctus
ENSDORP00000019422	ENSDORG00000028256	Dipodomys_ordii
ENSPCIP00000012078	ENSPCIG00000009623	Phascolarctos_cinereus
ENSSHAP00000013923	ENSSHAG00000011908	Sarcophilus_harrisii
ENSMODP00000027559	ENSMODG00000022854	Monodelphis_domestica
ENSOANP00000028653	ENSOANG00000022448	Ornithorhynchus_anatinus
ENSXETP00000011915	ENSXETG00000015150	Xenopus_tropicalis	ENSXETT00000024598
ENSLACP00000012550	ENSLACG00000011058	Latimeria_chalumnae	ENSLACT00000012644
ENSAMXP00000032481	ENSAMXG00000029722	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000046534
ENSPNAP00000034500	ENSPNAG00000023824	Pygocentrus_nattereri	ENSPNAT00000026371
ENSIPUP00000026839	ENSIPUG00000018180	Ictalurus_punctatus	ENSIPUT00000027943
ENSDARP00000102371	ENSDARG00000078644	Danio_rerio
ENSCHAP00000004143	ENSCHAG00000002760	Clupea_harengus
ENSCGOP00000055243	ENSCGOG00000024115	Cottoperca_gobio
ENSLCRP00005044613	ENSLCRG00005017093	Larimichthys_crocea
ENSAPOP00000000336	ENSAPOG00000001520	Acanthochromis_polyacanthus
ENSPFOP00000028270	ENSPFOG00000022143	Poecilia_formosa
