ENSPNAP00000035347	ENSPNAG00000025253	Pygocentrus_nattereri	ENSPNAT00000028212
ENSAMXP00000051516	ENSAMXG00000034469	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000045576
ENSEEEP00000025012	ENSEEEG00000012132	Electrophorus_electricus	ENSEEET00000025300
ENSIPUP00000035850	ENSIPUG00000024029	Ictalurus_punctatus	ENSIPUT00000037261
ENSDARP00000157072	ENSDARG00000104660	Danio_rerio
ENSDCDP00000014761	ENSDCDG00000011201	Denticeps_clupeoides
ENSFHEP00000030959	ENSFHEG00000016605	Fundulus_heteroclitus
ENSCVAP00000017789	ENSCVAG00000020973	Cyprinodon_variegatus
ENSXMAP00000008247	ENSXMAG00000008232	Xiphophorus_maculatus
ENSXCOP00000010232	ENSXCOG00000007764	Xiphophorus_couchianus
ENSGAFP00000030031	ENSGAFG00000020239	Gambusia_affinis
ENSPLAP00000021040	ENSPLAG00000004507	Poecilia_latipinna
ENSPFOP00000001264	ENSPFOG00000001269	Poecilia_formosa
ENSPMEP00000026103	ENSPMEG00000009619	Poecilia_mexicana
ENSPREP00000021498	ENSPREG00000014505	Poecilia_reticulata
ENSORLP00000037871	ENSORLG00000027555	Oryzias_latipes_ASM223467v1
ENSORLP00015034370	ENSORLG00015020307	Oryzias_latipes_ASM223469v1
ENSORLP00020035373	ENSORLG00020022200	Oryzias_latipes_ASM223471v1
ENSOMEP00000035327	ENSOMEG00000022538	Oryzias_melastigma
ENSKMAP00000020154	ENSKMAG00000014981	Kryptolebias_marmoratus
ENSGWIP00000046205	ENSGWIG00000022841	Gouania_willdenowi
ENSAPEP00000024900	ENSAPEG00000017715	Amphiprion_percula
ENSAOCP00000019339	ENSAOCG00000024601	Amphiprion_ocellaris
ENSAPOP00000025817	ENSAPOG00000009153	Acanthochromis_polyacanthus
ENSSPAP00000018370	ENSSPAG00000013759	Stegastes_partitus
ENSHCOP00000025764	ENSHCOG00000016139	Hippocampus_comes
ENSTNIP00000006224	ENSTNIG00000003629	Tetraodon_nigroviridis
ENSCGOP00000051838	ENSCGOG00000022907	Cottoperca_gobio
ENSGACP00000000487	ENSGACG00000000380	Gasterosteus_aculeatus
ENSLCRP00005045059	ENSLCRG00005017232	Larimichthys_crocea
ENSACLP00000024038	ENSACLG00000016335	Astatotilapia_calliptera
ENSMZEP00005037371	ENSMZEG00005027857	Maylandia_zebra
ENSACLP00000024193	ENSACLG00000016433	Astatotilapia_calliptera
ENSHBUP00000026808	ENSHBUG00000009704	Haplochromis_burtoni
ENSNBRP00000028987	ENSNBRG00000022101	Neolamprologus_brichardi
ENSACIP00000018683	ENSACIG00000014530	Amphilophus_citrinellus
ENSSMAP00000027946	ENSSMAG00000017075	Scophthalmus_maximus
ENSSDUP00000028696	ENSSDUG00000020685	Seriola_dumerili
ENSSLDP00000019575	ENSSLDG00000015338	Seriola_lalandi_dorsalis
ENSLCAP00010014031	ENSLCAG00010006658	Lates_calcarifer
ENSMMOP00000014659	ENSMMOG00000011208	Mola_mola
ENSMAMP00000013554	ENSMAMG00000009162	Mastacembelus_armatus
ENSMALP00000008593	ENSMALG00000006064	Monopterus_albus
ENSATEP00000015409	ENSATEG00000010659	Anabas_testudineus
ENSBSLP00000046088	ENSBSLG00000022022	Betta_splendens
ENSCSEP00000008612	ENSCSEG00000005487	Cynoglossus_semilaevis
