ENSEBUP00000026451	ENSEBUG00000016289	Eptatretus_burgeri
ENSCMIP00000014323	ENSCMIG00000007107	Callorhinchus_milii
ENSLSDP00000009029	ENSLSDG00000006743	Lonchura_striata_domestica
ENSLCOP00000000484	ENSLCOG00000000428	Lepidothrix_coronata
ENSTGUP00000010927	ENSTGUG00000010588	Taeniopygia_guttata
ENSJHYP00000007897	ENSJHYG00000006283	Junco_hyemalis
ENSJHYP00000007891	ENSJHYG00000006280	Junco_hyemalis
ENSZALP00000007345	ENSZALG00000006536	Zonotrichia_albicollis
ENSSCAP00000005230	ENSSCAG00000004206	Serinus_canaria
ENSFALP00000013438	ENSFALG00000012877	Ficedula_albicollis
ENSCCEP00000005633	ENSCCEG00000006169	Cyanistes_caeruleus
ENSPMJP00000010031	ENSPMJG00000007959	Parus_major
ENSMVIP00005025741	ENSMVIG00005017978	Manacus_vitellinus
ENSMUNP00000000973	ENSMUNG00000000863	Melopsittacus_undulatus
ENSCPUP00000022612	ENSCPUG00000015349	Calidris_pugnax
ENSCPGP00000027431	ENSCPGG00000018909	Calidris_pygmaea
ENSAOWP00000015154	ENSAOWG00000010320	Apteryx_owenii
ENSARWP00000026660	ENSARWG00000018032	Apteryx_rowi
ENSDNVP00000016261	ENSDNVG00000011406	Dromaius_novaehollandiae
ENSNPEP00000016714	ENSNPEG00000012422	Nothoprocta_perdicaria
ENSAHAP00000001944	ENSAHAG00000001632	Apteryx_haastii
ENSARWP00000026659	ENSARWG00000018031	Apteryx_rowi
ENSCJPP00005016628	ENSCJPG00005013647	Coturnix_japonica
ENSCPGP00000027427	ENSCPGG00000018906	Calidris_pygmaea
ENSMGAP00000013242	ENSMGAG00000012568	Meleagris_gallopavo
ENSCJPP00005016629	ENSCJPG00005013648	Coturnix_japonica
ENSGALP00000053717	ENSGALG00000042365	Gallus_gallus
ENSNMEP00000012850	ENSNMEG00000011810	Numida_meleagris
ENSABRP00000002637	ENSABRG00000002567	Anser_brachyrhynchus
ENSAPLP00000015926	ENSAPLG00000016022	Anas_platyrhynchos_platyrhynchos
ENSCPRP00005027374	ENSCPRG00005018959	Crocodylus_porosus
ENSCPBP00000032919	ENSCPBG00000023070	Chrysemys_picta_bellii
ENSCPBP00000032920	ENSCPBG00000023071	Chrysemys_picta_bellii
ENSGAGP00000014416	ENSGAGG00000010955	Gopherus_agassizii
ENSCABP00000001478	ENSCABG00000001200	Chelonoidis_abingdonii
ENSPSIP00000009841	ENSPSIG00000008949	Pelodiscus_sinensis
ENSACAP00000015580	ENSACAG00000015824	Anolis_carolinensis
ENSPVIP00000033658	ENSPVIG00000024598	Pogona_vitticeps
ENSNSUP00000006817	ENSNSUG00000005402	Notechis_scutatus
ENSSMRP00000020167	ENSSMRG00000015709	Salvator_merianae
ENSSPUP00000015152	ENSSPUG00000011685	Sphenodon_punctatus
ENSOANP00000013909	ENSOANG00000008730	Ornithorhynchus_anatinus
ENSOANP00000032799	ENSOANG00000030689	Ornithorhynchus_anatinus
ENSPCAP00000001833	ENSPCAG00000001911	Procavia_capensis
ENSLAFP00000018380	ENSLAFG00000011378	Loxodonta_africana
ENSETEP00000003608	ENSETEG00000004401	Echinops_telfairi
ENSCLAP00000024777	ENSCLAG00000017011	Chinchilla_lanigera
ENSODEP00000015258	ENSODEG00000011269	Octodon_degus
ENSCPOP00000014665	ENSCPOG00000020172	Cavia_porcellus
ENSCAPP00000008069	ENSCAPG00000009824	Cavia_aperea
ENSHGLP00000022567	ENSHGLG00000016096	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100008246	ENSHGLG00100006130	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000016194	ENSFDAG00000004586	Fukomys_damarensis
ENSMMMP00000016903	ENSMMMG00000015017	Marmota_marmota_marmota
ENSSDAP00000026906	ENSSDAG00000024404	Spermophilus_dauricus
ENSUPAP00010005616	ENSUPAG00010004523	Urocitellus_parryii
ENSSTOP00000006378	ENSSTOG00000007127	Ictidomys_tridecemlineatus
ENSCCNP00000020495	ENSCCNG00000020411	Castor_canadensis
ENSDORP00000012604	ENSDORG00000013405	Dipodomys_ordii
ENSMUSP00000129513	ENSMUSG00000033170	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000025473	ENSMSIG00000021533	Mus_spicilegus
MGP_SPRETEiJ_P0040665	MGP_SPRETEiJ_G0020890	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0038863	MGP_CAROLIEiJ_G0019992	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0042222	MGP_PahariEiJ_G0019994	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000011215	ENSRNOG00000008401	Rattus_norvegicus
ENSMUGP00000023561	ENSMUGG00000019708	Meriones_unguiculatus
ENSCGRP00015002120	ENSCGRG00015001735	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001026931	ENSCGRG00001024095	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000002338	ENSCGRG00000001723	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000024757	ENSMAUG00000021500	Mesocricetus_auratus
ENSPEMP00000018785	ENSPEMG00000017274	Peromyscus_maniculatus_bairdii
ENSMOCP00000009859	ENSMOCG00000010063	Microtus_ochrogaster
ENSNGAP00000007573	ENSNGAG00000010783	Nannospalax_galili
ENSJJAP00000006552	ENSJJAG00000011155	Jaculus_jaculus
ENSOCUP00000046048	ENSOCUG00000003517	Oryctolagus_cuniculus
ENSOPRP00000012068	ENSOPRG00000013215	Ochotona_princeps
ENSP00000384570	ENSG00000100065	Homo_sapiens
ENSGGOP00000022200	ENSGGOG00000013292	Gorilla_gorilla
ENSPTRP00000085736	ENSPTRG00000014336	Pan_troglodytes
ENSPPAP00000024183	ENSPPAG00000035227	Pan_paniscus
ENSNLEP00000017996	ENSNLEG00000014795	Nomascus_leucogenys
