ENSARWP00000001218	ENSARWG00000000982	Apteryx_rowi
ENSAHAP00000004515	ENSAHAG00000003502	Apteryx_haastii
ENSDNVP00000004000	ENSDNVG00000002843	Dromaius_novaehollandiae
ENSNPEP00000018465	ENSNPEG00000013763	Nothoprocta_perdicaria
ENSOANP00000030937	ENSOANG00000031623	Ornithorhynchus_anatinus
ENSPSIP00000018391	ENSPSIG00000016349	Pelodiscus_sinensis
ENSLAFP00000008298	ENSLAFG00000009905	Loxodonta_africana
ENSPCAP00000012958	ENSPCAG00000013887	Procavia_capensis
ENSMMMP00000021269	ENSMMMG00000018741	Marmota_marmota_marmota
ENSOCUP00000029952	ENSOCUG00000009428	Oryctolagus_cuniculus
ENSEEUP00000002481	ENSEEUG00000002717	Erinaceus_europaeus
ENSVVUP00000007532	ENSVVUG00000005711	Vulpes_vulpes
ENSCAFP00020035635	ENSCAFG00020027569	Canis_lupus_dingo
ENSAMEP00000000272	ENSAMEG00000000252	Ailuropoda_melanoleuca
ENSPPRP00000002434	ENSPPRG00000023437	Panthera_pardus
ENSPTIP00000005460	ENSPTIG00000007670	Panthera_tigris_altaica
ENSFCAP00000051053	ENSFCAG00000040897	Felis_catus
ENSECAP00000044833	ENSECAG00000035439	Equus_caballus
ENSEASP00005005308	ENSEASG00005003965	Equus_asinus_asinus
ENSBMUP00000006751	ENSBMUG00000005356	Bos_mutus
ENSBTAP00000001199	ENSBTAG00000000905	Bos_taurus
ENSBBBP00000021176	ENSBBBG00000001139	Bison_bison_bison
ENSCHIP00000016031	ENSCHIG00000016452	Capra_hircus
ENSTTRP00000007379	ENSTTRG00000007810	Tursiops_truncatus
MGP_SPRETEiJ_P0093053	MGP_SPRETEiJ_G0033730	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000015222	ENSMSIG00000013061	Mus_spicilegus
ENSMUSP00000035155	ENSMUSG00000032549	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0089337	MGP_CAROLIEiJ_G0032585	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0025012	MGP_PahariEiJ_G0015453	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000068600	ENSRNOG00000009198	Rattus_norvegicus
ENSMUGP00000026087	ENSMUGG00000021766	Meriones_unguiculatus
ENSPEMP00000037159	ENSPEMG00000027950	Peromyscus_maniculatus_bairdii
ENSMOCP00000001854	ENSMOCG00000001455	Microtus_ochrogaster
ENSCGRP00001011392	ENSCGRG00001013041	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015009043	ENSCGRG00015006972	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000021687	ENSMAUG00000019333	Mesocricetus_auratus
ENSNGAP00000021177	ENSNGAG00000020441	Nannospalax_galili
ENSCCNP00000031168	ENSCCNG00000029695	Castor_canadensis
ENSCLAP00000003677	ENSCLAG00000002621	Chinchilla_lanigera
ENSODEP00000024927	ENSODEG00000018232	Octodon_degus
ENSODEP00000016512	ENSODEG00000012159	Octodon_degus
ENSCPOP00000024552	ENSCPOG00000038813	Cavia_porcellus
ENSCAPP00000012539	ENSCAPG00000013370	Cavia_aperea
ENSHGLP00000023684	ENSHGLG00000016898	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100022685	ENSHGLG00100016679	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000016848	ENSFDAG00000005525	Fukomys_damarensis
ENSUPAP00010027270	ENSUPAG00010021557	Urocitellus_parryii
ENSSDAP00000012478	ENSSDAG00000011235	Spermophilus_dauricus
ENSSTOP00000012654	ENSSTOG00000014123	Ictidomys_tridecemlineatus
ENSOPRP00000001068	ENSOPRG00000001164	Ochotona_princeps
ENSDORP00000027327	ENSDORG00000026441	Dipodomys_ordii
ENSMICP00000051649	ENSMICG00000049590	Microcebus_murinus
ENSPSMP00000037819	ENSPSMG00000025951	Prolemur_simus
ENSPCOP00000013069	ENSPCOG00000018146	Propithecus_coquereli
ENSOGAP00000004691	ENSOGAG00000005245	Otolemur_garnettii
ENSP00000285208	ENSG00000154917	Homo_sapiens
ENSGGOP00000025650	ENSGGOG00000028342	Gorilla_gorilla
ENSPPAP00000039491	ENSPPAG00000042439	Pan_paniscus
ENSPTRP00000093002	ENSPTRG00000048374	Pan_troglodytes
ENSPPYP00000015795	ENSPPYG00000014116	Pongo_abelii
ENSNLEP00000004426	ENSNLEG00000003675	Nomascus_leucogenys
ENSCANP00000012876	ENSCANG00000029838	Colobus_angolensis_palliatus
ENSPTEP00000041714	ENSPTEG00000038152	Piliocolobus_tephrosceles
ENSRROP00000012292	ENSRROG00000030454	Rhinopithecus_roxellana
ENSRBIP00000014151	ENSRBIG00000031164	Rhinopithecus_bieti
ENSTGEP00000016980	ENSTGEG00000013719	Theropithecus_gelada
ENSCATP00000036992	ENSCATG00000041263	Cercocebus_atys
ENSMMUP00000011693	ENSMMUG00000008919	Macaca_mulatta
ENSMNEP00000028227	ENSMNEG00000037540	Macaca_nemestrina
ENSMFAP00000018118	ENSMFAG00000032149	Macaca_fascicularis
ENSCSAP00000006931	ENSCSAG00000010704	Chlorocebus_sabaeus
ENSMLEP00000030585	ENSMLEG00000039493	Mandrillus_leucophaeus
ENSPANP00000006848	ENSPANG00000009221	Papio_anubis
ENSCCAP00000034615	ENSCCAG00000035269	Cebus_capucinus_imitator
ENSCJAP00000053576	ENSCJAG00000002826	Callithrix_jacchus
ENSSBOP00000031974	ENSSBOG00000032178	Saimiri_boliviensis_boliviensis
ENSANAP00000002317	ENSANAG00000017472	Aotus_nancymaae
ENSNVIP00000023282	ENSNVIG00000018136	Neovison_vison
ENSCAFP00000040398	ENSCAFG00000029052	Canis_lupus_familiaris
ENSUMAP00000021620	ENSUMAG00000015778	Ursus_maritimus
ENSPVAP00000010672	ENSPVAG00000011320	Pteropus_vampyrus
ENSMLUP00000004876	ENSMLUG00000005346	Myotis_lucifugus
ENSBIXP00000024558	ENSBIXG00000026684	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005022832	ENSBIXG00005025704	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSTSYP00000022011	ENSTSYG00000037026	Carlito_syrichta
ENSJJAP00000022534	ENSJJAG00000022556	Jaculus_jaculus
ENSCHOP00000006617	ENSCHOG00000007474	Choloepus_hoffmanni
ENSOARP00000008991	ENSOARG00000008380	Ovis_aries
ENSSSCP00000057141	ENSSSCG00000036503	Sus_scrofa_strain_reference
ENSMPUP00000009556	ENSMPUG00000009632	Mustela_putorius_furo
ENSUAMP00000023118	ENSUAMG00000018138	Ursus_americanus
ENSDNOP00000003560	ENSDNOG00000004610	Dasypus_novemcinctus
ENSCGRP00000019025	ENSCGRG00000013854	Cricetulus_griseus_CriGri_1.0
ENSETEP00000015899	ENSETEG00000019571	Echinops_telfairi
