ENSPMAP00000003756	ENSPMAG00000003446	Petromyzon_marinus	ENSPMAT00000003772
ENSPMAP00000004129	ENSPMAG00000003772	Petromyzon_marinus	ENSPMAT00000004146
ENSEBUP00000007577	ENSEBUG00000004941	Eptatretus_burgeri	ENSEBUT00000008063
ENSORLP00000029883	ENSORLG00000005967	Oryzias_latipes_ASM223467v1	ENSORLT00000037374
ENSORLP00020035097	ENSORLG00020021922	Oryzias_latipes_ASM223471v1
ENSORLP00015001492	ENSORLG00015002122	Oryzias_latipes_ASM223469v1
ENSOMEP00000008082	ENSOMEG00000009234	Oryzias_melastigma
ENSGWIP00000056631	ENSGWIG00000026814	Gouania_willdenowi
ENSTRUP00000013514	ENSTRUG00000005602	Takifugu_rubripes
ENSTNIP00000022880	ENSTNIG00000019637	Tetraodon_nigroviridis
ENSHCOP00000026563	ENSHCOG00000017639	Hippocampus_comes
ENSGMOP00000003654	ENSGMOG00000003443	Gadus_morhua
ENSDARP00000007186	ENSDARG00000015946	Danio_rerio
ENSPKIP00000018394	ENSPKIG00000003956	Paramormyrops_kingsleyae
ENSCINP00000014082	ENSCING00000006870	Ciona_intestinalis
ENSCSAVP00000012368	ENSCSAVG00000007275	Ciona_savignyi
FBpp0073088	FBgn0035523	Drosophila_melanogaster
