MGP_PahariEiJ_P0085586	MGP_PahariEiJ_G0030569	Mus_pahari_strain_PAHARI_EIJ
ENSCABP00000028397	ENSCABG00000020833	Chelonoidis_abingdonii
ENSPKIP00000026378	ENSPKIG00000008894	Paramormyrops_kingsleyae
ENSPCOP00000016345	ENSPCOG00000019937	Propithecus_coquereli
ENSUAMP00000022058	ENSUAMG00000017369	Ursus_americanus
ENSSDAP00000022274	ENSSDAG00000020253	Spermophilus_dauricus
ENSAPOP00000013294	ENSAPOG00000016078	Acanthochromis_polyacanthus
ENSTSYP00000002079	ENSTSYG00000002254	Carlito_syrichta
ENSLAFP00000002264	ENSLAFG00000002705	Loxodonta_africana
ENSTGEP00000009832	ENSTGEG00000008088	Theropithecus_gelada
ENSAOWP00000003992	ENSAOWG00000002797	Apteryx_owenii	ENSAOWT00000004558
ENSMSIP00000015839	ENSMSIG00000013545	Mus_spicilegus
ENSCJPP00005024914	ENSCJPG00005019613	Coturnix_japonica
ENSNVIP00000007685	ENSNVIG00000006075	Neovison_vison
ENSACIP00000030906	ENSACIG00000023900	Amphilophus_citrinellus
ENSODEP00000019718	ENSODEG00000014559	Octodon_degus
ENSHGLP00000026286	ENSHGLG00000018707	Heterocephalus_glaber_HetGla_female_1.0
ENSACAP00000004832	ENSACAG00000004923	Anolis_carolinensis
ENSPEMP00000003152	ENSPEMG00000004287	Peromyscus_maniculatus_bairdii
ENSPMEP00000031714	ENSPMEG00000019048	Poecilia_mexicana
ENSTGUP00000015450	ENSTGUG00000015096	Taeniopygia_guttata
ENSCVAP00000012988	ENSCVAG00000015641	Cyprinodon_variegatus
ENSSDAP00000011690	ENSSDAG00000010565	Spermophilus_dauricus
ENSNLEP00000019334	ENSNLEG00000015920	Nomascus_leucogenys
ENSPTRP00000063356	ENSPTRG00000005918	Pan_troglodytes
ENSCCAP00000012197	ENSCCAG00000023831	Cebus_capucinus_imitator
ENSCPRP00005027082	ENSCPRG00005018753	Crocodylus_porosus
ENSVVUP00000040942	ENSVVUG00000029140	Vulpes_vulpes
ENSCPOP00000009373	ENSCPOG00000010437	Cavia_porcellus
ENSARWP00000020907	ENSARWG00000014282	Apteryx_rowi	ENSARWT00000023709
ENSSDAP00000011103	ENSSDAG00000010043	Spermophilus_dauricus
ENSAMEP00000000083	ENSAMEG00000000082	Ailuropoda_melanoleuca
ENSSDAP00000003277	ENSSDAG00000003128	Spermophilus_dauricus
ENSVURP00010018656	ENSVURG00010014176	Vombatus_ursinus
Y50D4C.3a.1	WBGene00021748	Caenorhabditis_elegans_strain_N2
ENSPSMP00000026827	ENSPSMG00000018798	Prolemur_simus
ENSSDAP00000008466	ENSSDAG00000007722	Spermophilus_dauricus
ENSSDAP00000005399	ENSSDAG00000005062	Spermophilus_dauricus
ENSXMAP00000021678	ENSXMAG00000005103	Xiphophorus_maculatus
ENSSDAP00000024362	ENSSDAG00000022199	Spermophilus_dauricus
ENSAPEP00000032180	ENSAPEG00000022810	Amphiprion_percula
ENSBIXP00000002653	ENSBIXG00000009129	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSMUNP00000007449	ENSMUNG00000005966	Melopsittacus_undulatus
ENSSMAP00000019047	ENSSMAG00000011677	Scophthalmus_maximus
ENSCSEP00000000963	ENSCSEG00000000670	Cynoglossus_semilaevis
ENSSDAP00000003341	ENSSDAG00000003189	Spermophilus_dauricus
ENSPSIP00000015457	ENSPSIG00000013821	Pelodiscus_sinensis
ENSCGRP00001009162	ENSCGRG00001011297	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000021400	ENSCGRG00000015535	Cricetulus_griseus_CriGri_1.0
ENSPRNP00000045578	ENSPRNG00000022060	Parambassis_ranga
ENSANAP00000020274	ENSANAG00000027927	Aotus_nancymaae
ENSSDAP00000005892	ENSSDAG00000005498	Spermophilus_dauricus
MGP_SPRETEiJ_P0039244	MGP_SPRETEiJ_G0020448	Mus_spretus_strain_SPRET/EiJ
ENSMEUP00000009232	ENSMEUG00000010114	Notamacropus_eugenii
ENSSMRP00000000566	ENSSMRG00000000527	Salvator_merianae
FBpp0075441	FBgn0036450	Drosophila_melanogaster
ENSSFOP00015007884	ENSSFOG00015005175	Scleropages_formosus
ENSPLAP00000027621	ENSPLAG00000016397	Poecilia_latipinna
ENSSPUP00000001558	ENSSPUG00000001191	Sphenodon_punctatus
ENSSSCP00000061758	ENSSSCG00000009449	Sus_scrofa_strain_reference
ENSDARP00000149904	ENSDARG00000025421	Danio_rerio
ENSEEUP00000001999	ENSEEUG00000002192	Erinaceus_europaeus
ENSMFAP00000010598	ENSMFAG00000007606	Macaca_fascicularis
ENSSDAP00000020010	ENSSDAG00000018252	Spermophilus_dauricus
ENSSDAP00000011778	ENSSDAG00000010633	Spermophilus_dauricus
ENSSBOP00000011965	ENSSBOG00000022790	Saimiri_boliviensis_boliviensis
ENSSDAP00000013175	ENSSDAG00000011905	Spermophilus_dauricus
ENSMMMP00000019505	ENSMMMG00000017167	Marmota_marmota_marmota
ENSMAUP00000012201	ENSMAUG00000012562	Mesocricetus_auratus
ENSPNAP00000019593	ENSPNAG00000026219	Pygocentrus_nattereri
ENSSDAP00000000810	ENSSDAG00000000852	Spermophilus_dauricus
ENSNSUP00000013529	ENSNSUG00000010065	Notechis_scutatus
ENSJHYP00000006909	ENSJHYG00000005557	Junco_hyemalis
ENSPCAP00000013991	ENSPCAG00000014959	Procavia_capensis
ENSSDAP00000014120	ENSSDAG00000012727	Spermophilus_dauricus
