ENSCGRP00000000044	ENSCGRG00000000068	Cricetulus_griseus_CriGri_1.0
ENSBIXP00000038909	ENSBIXG00000000153	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSGGOP00000024670	ENSGGOG00000023577	Gorilla_gorilla
ENSORLP00015010968	ENSORLG00015011772	Oryzias_latipes_ASM223469v1
ENSSARP00000000911	ENSSARG00000001003	Sorex_araneus
ENSSMRP00000023266	ENSSMRG00000018072	Salvator_merianae	ENSSMRT00000027240
ENSAHAP00000006936	ENSAHAG00000005096	Apteryx_haastii
ENSRROP00000039460	ENSRROG00000043041	Rhinopithecus_roxellana
ENSMMOP00000007429	ENSMMOG00000005789	Mola_mola
ENSGWIP00000044477	ENSGWIG00000022135	Gouania_willdenowi
MGP_PahariEiJ_P0071127	MGP_PahariEiJ_G0027025	Mus_pahari_strain_PAHARI_EIJ
ENSCATP00000023968	ENSCATG00000035518	Cercocebus_atys
ENSOANP00000016048	ENSOANG00000010123	Ornithorhynchus_anatinus
ENSCCNP00000029378	ENSCCNG00000028165	Castor_canadensis
ENSTSYP00000016928	ENSTSYG00000032074	Carlito_syrichta
ENSPMJP00000026465	ENSPMJG00000019341	Parus_major
ENSSTOP00000016563	ENSSTOG00000028634	Ictidomys_tridecemlineatus
ENSGMOP00000005001	ENSGMOG00000004704	Gadus_morhua
ENSBSLP00000004216	ENSBSLG00000002133	Betta_splendens
ENSNLEP00000046074	ENSNLEG00000030733	Nomascus_leucogenys
ENSPSMP00000029697	ENSPSMG00000020614	Prolemur_simus
ENSEASP00005023082	ENSEASG00005015730	Equus_asinus_asinus
ENSVURP00010001138	ENSVURG00010000980	Vombatus_ursinus
ENSSDUP00000022495	ENSSDUG00000016364	Seriola_dumerili
ENSMLEP00000014830	ENSMLEG00000031578	Mandrillus_leucophaeus
ENSJHYP00000022500	ENSJHYG00000016967	Junco_hyemalis
ENSLCRP00005038422	ENSLCRG00005014907	Larimichthys_crocea
ENSMFAP00000023309	ENSMFAG00000043320	Macaca_fascicularis
ENSCSAVP00000013259	ENSCSAVG00000007783	Ciona_savignyi
ENSFHEP00000011265	ENSFHEG00000012699	Fundulus_heteroclitus
ENSLOCP00000010054	ENSLOCG00000008275	Lepisosteus_oculatus
ENSPEMP00000007133	ENSPEMG00000009166	Peromyscus_maniculatus_bairdii
ENSCINP00000011285	ENSCING00000005461	Ciona_intestinalis
ENSMEUP00000010332	ENSMEUG00000011320	Notamacropus_eugenii
ENSMVIP00005023722	ENSMVIG00005016623	Manacus_vitellinus
ENSNGAP00000001852	ENSNGAG00000001377	Nannospalax_galili
ENSPFOP00000001468	ENSPFOG00000001470	Poecilia_formosa
ENSMLUP00000018434	ENSMLUG00000027684	Myotis_lucifugus
ENSOARP00000015671	ENSOARG00000014610	Ovis_aries
ENSSPUP00000011117	ENSSPUG00000008543	Sphenodon_punctatus	ENSSPUT00000011850
ENSCPGP00000002677	ENSCPGG00000001992	Calidris_pygmaea
ENSMUNP00000018840	ENSMUNG00000014424	Melopsittacus_undulatus
ENSPPRP00000028201	ENSPPRG00000020240	Panthera_pardus
ENSPLAP00000001998	ENSPLAG00000003172	Poecilia_latipinna
ENSAPEP00000014447	ENSAPEG00000010291	Amphiprion_percula
ENSSPAP00000020418	ENSSPAG00000015423	Stegastes_partitus
ENSPKIP00000024996	ENSPKIG00000008019	Paramormyrops_kingsleyae
ENSCSAP00000016530	ENSCSAG00000001496	Chlorocebus_sabaeus
ENSDORP00000025102	ENSDORG00000002604	Dipodomys_ordii
ENSCMIP00000009138	ENSCMIG00000004874	Callorhinchus_milii
ENSLCOP00000002795	ENSLCOG00000002149	Lepidothrix_coronata
ENSMALP00000022717	ENSMALG00000015867	Monopterus_albus
ENSGGOP00000035401	ENSGGOG00000043138	Gorilla_gorilla
ENSMOCP00000003445	ENSMOCG00000002748	Microtus_ochrogaster
ENSPRNP00000037377	ENSPRNG00000018636	Parambassis_ranga
ENSFALP00000002489	ENSFALG00000002392	Ficedula_albicollis
ENSMICP00000020383	ENSMICG00000034344	Microcebus_murinus
