ENSFDAP00000021703	ENSFDAG00000007515	Fukomys_damarensis
ENSCCNP00000029709	ENSCCNG00000028455	Castor_canadensis
ENSCCNP00000026428	ENSCCNG00000025644	Castor_canadensis
ENSHGLP00100027109	ENSHGLG00100020130	Heterocephalus_glaber_HetGla_1.0
ENSMSIP00000035805	ENSMSIG00000029805	Mus_spicilegus
MGP_SPRETEiJ_P0023759	MGP_SPRETEiJ_G0016043	Mus_spretus_strain_SPRET/EiJ
ENSMUSP00000036360	ENSMUSG00000039485	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0022618	MGP_CAROLIEiJ_G0015235	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0085801	MGP_PahariEiJ_G0030652	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000000658	ENSRNOG00000000547	Rattus_norvegicus
ENSMUGP00000019183	ENSMUGG00000016253	Meriones_unguiculatus
ENSCGRP00001014623	ENSCGRG00001015452	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000025997	ENSCGRG00000019026	Cricetulus_griseus_CriGri_1.0
ENSMAUP00000005310	ENSMAUG00000007306	Mesocricetus_auratus
ENSPEMP00000035732	ENSPEMG00000031222	Peromyscus_maniculatus_bairdii
ENSMOCP00000007094	ENSMOCG00000006852	Microtus_ochrogaster
ENSNGAP00000011095	ENSNGAG00000013340	Nannospalax_galili
ENSJJAP00000002231	ENSJJAG00000003740	Jaculus_jaculus
ENSUPAP00010000465	ENSUPAG00010000416	Urocitellus_parryii
ENSSTOP00000008018	ENSSTOG00000008940	Ictidomys_tridecemlineatus
ENSMMMP00000017249	ENSMMMG00000015326	Marmota_marmota_marmota
ENSSDAP00000011001	ENSSDAG00000009953	Spermophilus_dauricus
ENSOCUP00000020154	ENSOCUG00000016118	Oryctolagus_cuniculus
ENSOGAP00000015595	ENSOGAG00000031495	Otolemur_garnettii
ENSPSMP00000036588	ENSPSMG00000025171	Prolemur_simus
ENSPTRP00000057488	ENSPTRG00000023905	Pan_troglodytes
ENSPPAP00000006770	ENSPPAG00000025665	Pan_paniscus
ENSGGOP00000020136	ENSGGOG00000025875	Gorilla_gorilla
ENSP00000410943	ENSG00000187189	Homo_sapiens
ENSNLEP00000040432	ENSNLEG00000013105	Nomascus_leucogenys
ENSTGEP00000004514	ENSTGEG00000003789	Theropithecus_gelada
ENSCSAP00000018488	ENSCSAG00000018973	Chlorocebus_sabaeus
ENSMMUP00000048013	ENSMMUG00000014643	Macaca_mulatta
ENSPTEP00000027560	ENSPTEG00000027379	Piliocolobus_tephrosceles
ENSMFAP00000008176	ENSMFAG00000001386	Macaca_fascicularis
ENSMNEP00000007748	ENSMNEG00000028445	Macaca_nemestrina
ENSCATP00000036858	ENSCATG00000041203	Cercocebus_atys
ENSMLEP00000025035	ENSMLEG00000036698	Mandrillus_leucophaeus
ENSPANP00000045432	ENSPANG00000035333	Papio_anubis
ENSCANP00000019045	ENSCANG00000032960	Colobus_angolensis_palliatus
ENSRROP00000017896	ENSRROG00000033031	Rhinopithecus_roxellana
ENSCJAP00000008238	ENSCJAG00000034803	Callithrix_jacchus
ENSUAMP00000032418	ENSUAMG00000024772	Ursus_americanus
ENSUMAP00000004775	ENSUMAG00000003828	Ursus_maritimus
ENSAMEP00000020783	ENSAMEG00000019723	Ailuropoda_melanoleuca
ENSNVIP00000008133	ENSNVIG00000006466	Neovison_vison
ENSMPUP00000019008	ENSMPUG00000019131	Mustela_putorius_furo
ENSPTIP00000003656	ENSPTIG00000006365	Panthera_tigris_altaica
ENSPPRP00000020547	ENSPPRG00000011586	Panthera_pardus
ENSBIXP00000010610	ENSBIXG00000016064	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000012028	ENSBTAG00000009127	Bos_taurus
ENSBIXP00005029956	ENSBIXG00005009942	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000005734	ENSBMUG00000004509	Bos_mutus
ENSBBBP00000017378	ENSBBBG00000009756	Bison_bison_bison
ENSOARP00000021445	ENSOARG00000019974	Ovis_aries
ENSEASP00005011948	ENSEASG00005008371	Equus_asinus_asinus
ENSECAP00000032049	ENSECAG00000030611	Equus_caballus
ENSPVAP00000005030	ENSPVAG00000005318	Pteropus_vampyrus
ENSMLUP00000014328	ENSMLUG00000015727	Myotis_lucifugus
ENSVVUP00000009175	ENSVVUG00000006846	Vulpes_vulpes
ENSCAFP00020025128	ENSCAFG00020019756	Canis_lupus_dingo
ENSFCAP00000016532	ENSFCAG00000013418	Felis_catus
ENSHGLP00000027767	ENSHGLG00000019823	Heterocephalus_glaber_HetGla_female_1.0
ENSDORP00000018805	ENSDORG00000027297	Dipodomys_ordii
ENSPPYP00000018970	ENSPPYG00000016945	Pongo_abelii
ENSRBIP00000021137	ENSRBIG00000034553	Rhinopithecus_bieti
ENSLAFP00000027502	ENSLAFG00000010254	Loxodonta_africana
ENSDNOP00000025025	ENSDNOG00000042279	Dasypus_novemcinctus
