FBpp0293340	FBgn0035078	Drosophila_melanogaster	FBtr0304800
FBpp0081809	FBgn0037852	Drosophila_melanogaster	FBtr0082333
C42C1.10.1	WBGene00016588	Caenorhabditis_elegans_strain_N2	C42C1.10.1
ENSACAP00000006364	ENSACAG00000006493	Anolis_carolinensis
ENSPVIP00000001162	ENSPVIG00000001090	Pogona_vitticeps
ENSNSUP00000019342	ENSNSUG00000014134	Notechis_scutatus
ENSSMRP00000030251	ENSSMRG00000023199	Salvator_merianae
ENSSPUP00000012108	ENSSPUG00000009266	Sphenodon_punctatus
ENSTGUP00000018058	ENSTGUG00000018437	Taeniopygia_guttata
ENSLSDP00000020426	ENSLSDG00000014464	Lonchura_striata_domestica
ENSSCAP00000001079	ENSSCAG00000000899	Serinus_canaria
ENSPMJP00000000638	ENSPMJG00000000566	Parus_major
ENSCCEP00000000498	ENSCCEG00000000206	Cyanistes_caeruleus
ENSFALP00000001200	ENSFALG00000001156	Ficedula_albicollis
ENSJHYP00000007499	ENSJHYG00000005984	Junco_hyemalis
ENSZALP00000017692	ENSZALG00000014276	Zonotrichia_albicollis
ENSMVIP00005001282	ENSMVIG00005000993	Manacus_vitellinus
ENSLCOP00000002935	ENSLCOG00000002249	Lepidothrix_coronata
ENSMUNP00000013302	ENSMUNG00000010391	Melopsittacus_undulatus
ENSCPGP00000000951	ENSCPGG00000000747	Calidris_pygmaea
ENSCPUP00000003400	ENSCPUG00000002591	Calidris_pugnax
ENSAPLP00000019299	ENSAPLG00000024769	Anas_platyrhynchos_platyrhynchos
ENSABRP00000019531	ENSABRG00000016719	Anser_brachyrhynchus
ENSGALP00000012987	ENSGALG00000008011	Gallus_gallus
ENSMGAP00000009773	ENSMGAG00000009457	Meleagris_gallopavo
ENSCJPP00005027884	ENSCJPG00005021562	Coturnix_japonica
ENSNMEP00000012903	ENSNMEG00000011839	Numida_meleagris
ENSAOWP00000019142	ENSAOWG00000012993	Apteryx_owenii
ENSAHAP00000022643	ENSAHAG00000015871	Apteryx_haastii
ENSARWP00000010680	ENSARWG00000007409	Apteryx_rowi
ENSDNVP00000013577	ENSDNVG00000009563	Dromaius_novaehollandiae
ENSNPEP00000004835	ENSNPEG00000003695	Nothoprocta_perdicaria
ENSCPRP00005005633	ENSCPRG00005004003	Crocodylus_porosus
ENSGAGP00000007411	ENSGAGG00000005949	Gopherus_agassizii
ENSCABP00000014353	ENSCABG00000010720	Chelonoidis_abingdonii
ENSCPBP00000040948	ENSCPBG00000028103	Chrysemys_picta_bellii
ENSPSIP00000009511	ENSPSIG00000008607	Pelodiscus_sinensis
ENSSBOP00000016072	ENSSBOG00000024728	Saimiri_boliviensis_boliviensis
ENSCCAP00000004966	ENSCCAG00000020105	Cebus_capucinus_imitator
ENSCJAP00000026539	ENSCJAG00000014414	Callithrix_jacchus
ENSANAP00000026952	ENSANAG00000031249	Aotus_nancymaae
