ENSFHEP00000003730	ENSFHEG00000004738	Fundulus_heteroclitus
ENSARWP00000009416	ENSARWG00000006572	Apteryx_rowi
ENSSMAP00000007281	ENSSMAG00000004509	Scophthalmus_maximus
ENSTNIP00000008533	ENSTNIG00000005811	Tetraodon_nigroviridis
ENSXMAP00000013609	ENSXMAG00000013572	Xiphophorus_maculatus
MGP_SPRETEiJ_P0037883	MGP_SPRETEiJ_G0019985	Mus_spretus_strain_SPRET/EiJ
ENSEEEP00000002969	ENSEEEG00000001691	Electrophorus_electricus
ENSMGAP00000008273	ENSMGAG00000008076	Meleagris_gallopavo
ENSXCOP00000015888	ENSXCOG00000012001	Xiphophorus_couchianus
ENSCPGP00000026259	ENSCPGG00000018084	Calidris_pygmaea
ENSJHYP00000024082	ENSJHYG00000018097	Junco_hyemalis
ENSXETP00000043314	ENSXETG00000002289	Xenopus_tropicalis	ENSXETT00000044622
ENSSMRP00000029105	ENSSMRG00000022383	Salvator_merianae
ENSTNIP00000019630	ENSTNIG00000016530	Tetraodon_nigroviridis
ENSCABP00000015631	ENSCABG00000011682	Chelonoidis_abingdonii
ENSMLEP00000032404	ENSMLEG00000040409	Mandrillus_leucophaeus
ENSSMRP00000029108	ENSSMRG00000022386	Salvator_merianae
ENSAOCP00000027579	ENSAOCG00000016623	Amphiprion_ocellaris
ENSMZEP00005004882	ENSMZEG00005003783	Maylandia_zebra
ENSCSEP00000011542	ENSCSEG00000007423	Cynoglossus_semilaevis
ENSGACP00000009302	ENSGACG00000006972	Gasterosteus_aculeatus
ENSPMGP00000025156	ENSPMGG00000020323	Periophthalmus_magnuspinnatus
ENSGWIP00000038767	ENSGWIG00000019781	Gouania_willdenowi
ENSAPLP00000016299	ENSAPLG00000016398	Anas_platyrhynchos_platyrhynchos
ENSTSYP00000021751	ENSTSYG00000030117	Carlito_syrichta
ENSGALP00000074132	ENSGALG00000050564	Gallus_gallus	ENSGALT00000099588
ENSPREP00000031495	ENSPREG00000021329	Poecilia_reticulata
ENSETEP00000001866	ENSETEG00000002296	Echinops_telfairi
ENSSDAP00000005100	ENSSDAG00000004734	Spermophilus_dauricus
ENSDNOP00000012178	ENSDNOG00000015699	Dasypus_novemcinctus
ENSPCOP00000003002	ENSPCOG00000009136	Propithecus_coquereli
ENSCGRP00015026260	ENSCGRG00015019684	Cricetulus_griseus_CriGri-PICR
ENSACLP00000010328	ENSACLG00000007047	Astatotilapia_calliptera
ENSVPAP00000009744	ENSVPAG00000010470	Vicugna_pacos
ENSBIXP00000039030	ENSBIXG00000004498	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSJJAP00000006366	ENSJJAG00000010957	Jaculus_jaculus
ENSFCAP00000006852	ENSFCAG00000007384	Felis_catus
ENSAPLP00000024438	ENSAPLG00000028673	Anas_platyrhynchos_platyrhynchos
ENSEEUP00000005962	ENSEEUG00000006311	Erinaceus_europaeus
ENSPSIP00000017673	ENSPSIG00000015605	Pelodiscus_sinensis
ENSOPRP00000005263	ENSOPRG00000005692	Ochotona_princeps
ENSPTRP00000082041	ENSPTRG00000045965	Pan_troglodytes
ENSDORP00000009486	ENSDORG00000010093	Dipodomys_ordii
ENSMMOP00000014286	ENSMMOG00000010927	Mola_mola
ENSAPEP00000023570	ENSAPEG00000016692	Amphiprion_percula
ENSBBBP00000017533	ENSBBBG00000009982	Bison_bison_bison
ENSPPYP00000002625	ENSPPYG00000002249	Pongo_abelii
ENSPPYP00000002624	ENSPPYG00000002248	Pongo_abelii
ENSORLP00000011308	ENSORLG00000009016	Oryzias_latipes_ASM223467v1
ENSLACP00000006850	ENSLACG00000006079	Latimeria_chalumnae
ENSCCEP00000019130	ENSCCEG00000017334	Cyanistes_caeruleus
ENSCHIP00000004711	ENSCHIG00000008864	Capra_hircus
ENSCHAP00000022390	ENSCHAG00000011191	Clupea_harengus
ENSPPRP00000029587	ENSPPRG00000022409	Panthera_pardus
ENSBIXP00000039046	ENSBIXG00000022972	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSTRUP00000033753	ENSTRUG00000013264	Takifugu_rubripes
ENSCCNP00000030758	ENSCCNG00000029386	Castor_canadensis
ENSECAP00000033577	ENSECAG00000001649	Equus_caballus
ENSNPEP00000017702	ENSNPEG00000013160	Nothoprocta_perdicaria
ENSTRUP00000033756	ENSTRUG00000024617	Takifugu_rubripes
ENSPNYP00000013194	ENSPNYG00000009937	Pundamilia_nyererei
MGP_PahariEiJ_P0084283	MGP_PahariEiJ_G0030117	Mus_pahari_strain_PAHARI_EIJ
ENSMMMP00000021897	ENSMMMG00000019176	Marmota_marmota_marmota
ENSABRP00000014091	ENSABRG00000012272	Anser_brachyrhynchus
ENSBIXP00005046406	ENSBIXG00005031235	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSODEP00000002622	ENSODEG00000002039	Octodon_degus
ENSSDUP00000032036	ENSSDUG00000023005	Seriola_dumerili
ENSCMIP00000006936	ENSCMIG00000003879	Callorhinchus_milii
ENSSLDP00000019655	ENSSLDG00000015415	Seriola_lalandi_dorsalis
ENSMZEP00005004832	ENSMZEG00005003746	Maylandia_zebra
ENSPNAP00000023249	ENSPNAG00000007772	Pygocentrus_nattereri
ENSSFOP00015026199	ENSSFOG00015016859	Scleropages_formosus
ENSPLAP00000015827	ENSPLAG00000019892	Poecilia_latipinna
ENSXMAP00000032173	ENSXMAG00000029808	Xiphophorus_maculatus
ENSTTRP00000005983	ENSTTRG00000006309	Tursiops_truncatus
ENSOCUP00000005406	ENSOCUG00000006243	Oryctolagus_cuniculus
ENSPMEP00000023775	ENSPMEG00000005658	Poecilia_mexicana
ENSMEUP00000011134	ENSMEUG00000012177	Notamacropus_eugenii
ENSTGUP00000008414	ENSTGUG00000008163	Taeniopygia_guttata
ENSKMAP00000027398	ENSKMAG00000020301	Kryptolebias_marmoratus
ENSORLP00015025205	ENSORLG00015006214	Oryzias_latipes_ASM223469v1
ENSPKIP00000039631	ENSPKIG00000016909	Paramormyrops_kingsleyae
ENSCHIP00000030635	ENSCHIG00000025307	Capra_hircus
ENSBMUP00000026497	ENSBMUG00000019901	Bos_mutus
ENSMPUP00000009077	ENSMPUG00000009154	Mustela_putorius_furo
ENSATEP00000032615	ENSATEG00000022444	Anabas_testudineus
ENSNVIP00000006852	ENSNVIG00000005339	Neovison_vison
ENSNBRP00000013602	ENSNBRG00000010531	Neolamprologus_brichardi
ENSMAMP00000006102	ENSMAMG00000004157	Mastacembelus_armatus
ENSUPAP00010004494	ENSUPAG00010003645	Urocitellus_parryii
ENSELUP00000009525	ENSELUG00000010124	Esox_lucius
ENSFDAP00000014710	ENSFDAG00000002180	Fukomys_damarensis
ENSSFOP00015026168	ENSSFOG00015016792	Scleropages_formosus
ENSPCIP00000051240	ENSPCIG00000032500	Phascolarctos_cinereus
ENSSTOP00000009449	ENSSTOG00000010515	Ictidomys_tridecemlineatus
ENSSPUP00000021991	ENSSPUG00000016871	Sphenodon_punctatus
ENSMLUP00000003711	ENSMLUG00000004063	Myotis_lucifugus
ENSPMGP00000025149	ENSPMGG00000020316	Periophthalmus_magnuspinnatus
ENSCPRP00005025860	ENSCPRG00005017891	Crocodylus_porosus
ENSVURP00010020983	ENSVURG00010016041	Vombatus_ursinus
ENSCJAP00000024879	ENSCJAG00000067460	Callithrix_jacchus
ENSPEMP00000002127	ENSPEMG00000001884	Peromyscus_maniculatus_bairdii
ENSSPUP00000022017	ENSSPUG00000016895	Sphenodon_punctatus
ENSAPOP00000028483	ENSAPOG00000013758	Acanthochromis_polyacanthus
ENSCJAP00000024855	ENSCJAG00000013528	Callithrix_jacchus
ENSIPUP00000000331	ENSIPUG00000000260	Ictalurus_punctatus
ENSOANP00000031254	ENSOANG00000028304	Ornithorhynchus_anatinus
ENSGAFP00000013101	ENSGAFG00000008801	Gambusia_affinis
ENSGGOP00000004286	ENSGGOG00000004358	Gorilla_gorilla
ENSGALP00000067311	ENSGALG00000048372	Gallus_gallus	ENSGALT00000095387
ENSAMEP00000010900	ENSAMEG00000010371	Ailuropoda_melanoleuca
ENSACLP00000009777	ENSACLG00000006669	Astatotilapia_calliptera
MGP_CAROLIEiJ_P0036176	MGP_CAROLIEiJ_G0019099	Mus_caroli_strain_CAROLI_EIJ
ENSAPOP00000011091	ENSAPOG00000013706	Acanthochromis_polyacanthus
ENSANAP00000035562	ENSANAG00000035292	Aotus_nancymaae
ENSCAFP00020001283	ENSCAFG00020001155	Canis_lupus_dingo
ENSSBOP00000014251	ENSSBOG00000023890	Saimiri_boliviensis_boliviensis
