ENSPRNP00000049434	ENSPRNG00000023594	Parambassis_ranga
ENSACIP00000000180	ENSACIG00000000141	Amphilophus_citrinellus
ENSMAMP00000020125	ENSMAMG00000013552	Mastacembelus_armatus
ENSATEP00000010412	ENSATEG00000007330	Anabas_testudineus
ENSACLP00000009786	ENSACLG00000006679	Astatotilapia_calliptera
ENSMZEP00005019953	ENSMZEG00005014984	Maylandia_zebra
ENSPNYP00000010962	ENSPNYG00000008310	Pundamilia_nyererei
ENSHBUP00000021993	ENSHBUG00000002009	Haplochromis_burtoni
ENSNBRP00000002354	ENSNBRG00000001902	Neolamprologus_brichardi
ENSACIP00000015053	ENSACIG00000011704	Amphilophus_citrinellus
ENSNBRP00000002329	ENSNBRG00000001895	Neolamprologus_brichardi
ENSNBRP00000002319	ENSNBRG00000001890	Neolamprologus_brichardi
ENSONIP00000013795	ENSONIG00000010964	Oreochromis_niloticus
ENSACLP00000009793	ENSACLG00000006684	Astatotilapia_calliptera
ENSHBUP00000021995	ENSHBUG00000002019	Haplochromis_burtoni
ENSMZEP00005019942	ENSMZEG00005014974	Maylandia_zebra
ENSMZEP00005019946	ENSMZEG00005014977	Maylandia_zebra
ENSPNYP00000010977	ENSPNYG00000008328	Pundamilia_nyererei
ENSACIP00000015074	ENSACIG00000011713	Amphilophus_citrinellus
ENSGACP00000000554	ENSGACG00000000433	Gasterosteus_aculeatus
