C56C10.1.1	WBGene00016960	Caenorhabditis_elegans_strain_N2
FBpp0084210	FBgn0039335	Drosophila_melanogaster
ENSEBUP00000009843	ENSEBUG00000006332	Eptatretus_burgeri
ENSEBUP00000009142	ENSEBUG00000005907	Eptatretus_burgeri	ENSEBUT00000009662
ENSPMAP00000004001	ENSPMAG00000003610	Petromyzon_marinus	ENSPMAT00000004018
ENSPFOP00000011124	ENSPFOG00000010982	Poecilia_formosa
ENSPLAP00000004384	ENSPLAG00000006072	Poecilia_latipinna
ENSPMEP00000025182	ENSPMEG00000008037	Poecilia_mexicana
ENSPREP00000026784	ENSPREG00000018084	Poecilia_reticulata
ENSXMAP00000018149	ENSXMAG00000018080	Xiphophorus_maculatus
ENSXCOP00000003552	ENSXCOG00000002802	Xiphophorus_couchianus
ENSGAFP00000026021	ENSGAFG00000017551	Gambusia_affinis
ENSFHEP00000016673	ENSFHEG00000018448	Fundulus_heteroclitus
ENSCVAP00000021866	ENSCVAG00000004219	Cyprinodon_variegatus
ENSKMAP00000019715	ENSKMAG00000014645	Kryptolebias_marmoratus
ENSCSEP00000014713	ENSCSEG00000009444	Cynoglossus_semilaevis
ENSHCOP00000005390	ENSHCOG00000007050	Hippocampus_comes
ENSAPEP00000000244	ENSAPEG00000000181	Amphiprion_percula
ENSAOCP00000030479	ENSAOCG00000021504	Amphiprion_ocellaris
ENSAPOP00000006797	ENSAPOG00000008758	Acanthochromis_polyacanthus
ENSSPAP00000001787	ENSSPAG00000001306	Stegastes_partitus
ENSPRNP00000018505	ENSPRNG00000009738	Parambassis_ranga
ENSHBUP00000001817	ENSHBUG00000003023	Haplochromis_burtoni
ENSPNYP00000004852	ENSPNYG00000003708	Pundamilia_nyererei
ENSMZEP00005021054	ENSMZEG00005015795	Maylandia_zebra
ENSACLP00000011935	ENSACLG00000008153	Astatotilapia_calliptera
ENSONIP00000008792	ENSONIG00000006972	Oreochromis_niloticus
ENSACIP00000017647	ENSACIG00000013742	Amphilophus_citrinellus
ENSSLDP00000004599	ENSSLDG00000003569	Seriola_lalandi_dorsalis
