ENSPCIP00000009601	ENSPCIG00000007829	Phascolarctos_cinereus	ENSPCIT00000012052
ENSVURP00010024428	ENSVURG00010018716	Vombatus_ursinus	ENSVURT00010027804
ENSMEUP00000006780	ENSMEUG00000007416	Notamacropus_eugenii	ENSMEUT00000007442
ENSSHAP00000014538	ENSSHAG00000012411	Sarcophilus_harrisii	ENSSHAT00000014660
ENSMODP00000038647	ENSMODG00000025790	Monodelphis_domestica	ENSMODT00000040247
ENSDNOP00000035189	ENSDNOG00000047867	Dasypus_novemcinctus
ENSCHOP00000002134	ENSCHOG00000002410	Choloepus_hoffmanni
ENSLAFP00000001931	ENSLAFG00000002312	Loxodonta_africana
ENSPCAP00000001886	ENSPCAG00000002000	Procavia_capensis
ENSETEP00000006456	ENSETEG00000007950	Echinops_telfairi
ENSPVAP00000008371	ENSPVAG00000008871	Pteropus_vampyrus
ENSMLUP00000007781	ENSMLUG00000008531	Myotis_lucifugus	ENSMLUT00000008536
ENSSARP00000006662	ENSSARG00000007355	Sorex_araneus	ENSSART00000007351
ENSTTRP00000003582	ENSTTRG00000003823	Tursiops_truncatus
ENSVPAP00000004591	ENSVPAG00000004955	Vicugna_pacos
ENSBIXP00005038992	ENSBIXG00005021258	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBIXP00000036275	ENSBIXG00000019716	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBTAP00000062368	ENSBTAG00000000835	Bos_taurus
ENSBMUP00000021884	ENSBMUG00000016489	Bos_mutus
ENSBBBP00000015936	ENSBBBG00000023792	Bison_bison_bison
ENSCHIP00000012481	ENSCHIG00000014229	Capra_hircus
ENSOARP00000016148	ENSOARG00000015051	Ovis_aries
ENSSSCP00000056040	ENSSSCG00000007485	Sus_scrofa_strain_reference
ENSECAP00000031569	ENSECAG00000013155	Equus_caballus
ENSEASP00005034052	ENSEASG00005023282	Equus_asinus_asinus
ENSUAMP00000021008	ENSUAMG00000016528	Ursus_americanus
ENSUMAP00000033682	ENSUMAG00000024242	Ursus_maritimus
ENSAMEP00000013923	ENSAMEG00000013223	Ailuropoda_melanoleuca
ENSNVIP00000029324	ENSNVIG00000022589	Neovison_vison
ENSMPUP00000006103	ENSMPUG00000006155	Mustela_putorius_furo
ENSCAFP00020027891	ENSCAFG00020021900	Canis_lupus_dingo
ENSCAFP00000052061	ENSCAFG00000011825	Canis_lupus_familiaris
ENSVVUP00000031184	ENSVVUG00000022730	Vulpes_vulpes
ENSPTIP00000024098	ENSPTIG00000020298	Panthera_tigris_altaica
ENSPPRP00000024927	ENSPPRG00000015142	Panthera_pardus
ENSFCAP00000048241	ENSFCAG00000002451	Felis_catus
ENSEEUP00000005259	ENSEEUG00000005727	Erinaceus_europaeus	ENSEEUT00000005771
ENSPPAP00000025887	ENSPPAG00000036066	Pan_paniscus
ENSPTRP00000090999	ENSPTRG00000013638	Pan_troglodytes
ENSP00000379290	ENSG00000064787	Homo_sapiens
ENSGGOP00000027143	ENSGGOG00000001286	Gorilla_gorilla
ENSPPYP00000012450	ENSPPYG00000011142	Pongo_abelii
ENSNLEP00000027544	ENSNLEG00000007019	Nomascus_leucogenys
ENSRBIP00000016989	ENSRBIG00000032508	Rhinopithecus_bieti
ENSRROP00000010298	ENSRROG00000029559	Rhinopithecus_roxellana
ENSCANP00000004306	ENSCANG00000015008	Colobus_angolensis_palliatus
ENSPTEP00000009600	ENSPTEG00000010897	Piliocolobus_tephrosceles
