ENSFDAP00000021299	ENSFDAG00000007810	Fukomys_damarensis	ENSFDAT00000011116
ENSSHAP00000020129	ENSSHAG00000017077	Sarcophilus_harrisii	ENSSHAT00000020289
ENSCMIP00000027414	ENSCMIG00000011937	Callorhinchus_milii
ENSPMAP00000005680	ENSPMAG00000005161	Petromyzon_marinus
ENSPMAP00000009541	ENSPMAG00000008665	Petromyzon_marinus	ENSPMAT00000009581
ENSEBUP00000016633	ENSEBUG00000010437	Eptatretus_burgeri	ENSEBUT00000017210
ENSPMAP00000000194	ENSPMAG00000000174	Petromyzon_marinus	ENSPMAT00000000194
ENSPVIP00000012087	ENSPVIG00000009459	Pogona_vitticeps
ENSACAP00000015841	ENSACAG00000016085	Anolis_carolinensis
ENSNSUP00000027316	ENSNSUG00000019558	Notechis_scutatus
ENSSMRP00000003633	ENSSMRG00000003070	Salvator_merianae
ENSSPUP00000011159	ENSSPUG00000008510	Sphenodon_punctatus
ENSCABP00000015275	ENSCABG00000011396	Chelonoidis_abingdonii
ENSGAGP00000017428	ENSGAGG00000012677	Gopherus_agassizii
ENSCPBP00000015782	ENSCPBG00000011655	Chrysemys_picta_bellii
ENSTBEP00000008330	ENSTBEG00000009620	Tupaia_belangeri
ENSSARP00000005120	ENSSARG00000005649	Sorex_araneus
ENSOCUP00000037025	ENSOCUG00000007691	Oryctolagus_cuniculus
ENSSSCP00000042067	ENSSSCG00000003264	Sus_scrofa_strain_reference
ENSUPAP00010001948	ENSUPAG00010001661	Urocitellus_parryii
ENSSTOP00000017135	ENSSTOG00000028248	Ictidomys_tridecemlineatus
ENSMMMP00000004142	ENSMMMG00000003763	Marmota_marmota_marmota
ENSPSMP00000033982	ENSPSMG00000023392	Prolemur_simus
ENSPCOP00000012246	ENSPCOG00000017673	Propithecus_coquereli
ENSMICP00000041656	ENSMICG00000002370	Microcebus_murinus
ENSOGAP00000006216	ENSOGAG00000006945	Otolemur_garnettii
ENSTSYP00000007432	ENSTSYG00000008058	Carlito_syrichta
ENSPTRP00000040630	ENSPTRG00000011444	Pan_troglodytes
ENSPTRP00000086621	ENSPTRG00000046717	Pan_troglodytes
ENSPPAP00000000824	ENSPPAG00000002748	Pan_paniscus
ENSP00000351159	ENSG00000088038	Homo_sapiens
ENSGGOP00000036703	ENSGGOG00000012996	Gorilla_gorilla
ENSPPYP00000011617	ENSPPYG00000010372	Pongo_abelii
ENSNLEP00000007628	ENSNLEG00000006272	Nomascus_leucogenys
ENSMFAP00000042737	ENSMFAG00000040073	Macaca_fascicularis
ENSMNEP00000026626	ENSMNEG00000036750	Macaca_nemestrina
ENSPANP00000009787	ENSPANG00000009375	Papio_anubis
ENSTGEP00000009544	ENSTGEG00000007858	Theropithecus_gelada
ENSMLEP00000024992	ENSMLEG00000036579	Mandrillus_leucophaeus
ENSRBIP00000013910	ENSRBIG00000031025	Rhinopithecus_bieti
ENSRROP00000001250	ENSRROG00000003872	Rhinopithecus_roxellana
ENSCANP00000004013	ENSCANG00000013408	Colobus_angolensis_palliatus
ENSCSAP00000016130	ENSCSAG00000001900	Chlorocebus_sabaeus
ENSSBOP00000027758	ENSSBOG00000030268	Saimiri_boliviensis_boliviensis
ENSCJAP00000001895	ENSCJAG00000001094	Callithrix_jacchus
ENSCCAP00000036796	ENSCCAG00000036290	Cebus_capucinus_imitator
ENSANAP00000015829	ENSANAG00000025756	Aotus_nancymaae
ENSMMUP00000056009	ENSMMUG00000009698	Macaca_mulatta
ENSCATP00000012344	ENSCATG00000030324	Cercocebus_atys
ENSPTEP00000043335	ENSPTEG00000039481	Piliocolobus_tephrosceles
ENSECAP00000044850	ENSECAG00000023181	Equus_caballus
ENSPVAP00000014674	ENSPVAG00000015564	Pteropus_vampyrus
ENSTTRP00000006213	ENSTTRG00000006567	Tursiops_truncatus
ENSVPAP00000001218	ENSVPAG00000001320	Vicugna_pacos
ENSCHIP00000014174	ENSCHIG00000015302	Capra_hircus
ENSOARP00000003172	ENSOARG00000002981	Ovis_aries
ENSBIXP00000013103	ENSBIXG00000003121	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005020430	ENSBIXG00005023531	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000019836	ENSBTAG00000014900	Bos_taurus
ENSUAMP00000005923	ENSUAMG00000005234	Ursus_americanus
ENSAMEP00000004783	ENSAMEG00000004528	Ailuropoda_melanoleuca
ENSCAFP00020023265	ENSCAFG00020018359	Canis_lupus_dingo
ENSCAFP00000055190	ENSCAFG00000002699	Canis_lupus_familiaris
ENSVVUP00000011170	ENSVVUG00000008239	Vulpes_vulpes
ENSMPUP00000010278	ENSMPUG00000010352	Mustela_putorius_furo
ENSNVIP00000004270	ENSNVIG00000003415	Neovison_vison
ENSFCAP00000013023	ENSFCAG00000014042	Felis_catus
ENSPPRP00000020701	ENSPPRG00000011705	Panthera_pardus
ENSEASP00005031716	ENSEASG00005021591	Equus_asinus_asinus
ENSDNOP00000030953	ENSDNOG00000045972	Dasypus_novemcinctus
ENSPCAP00000011256	ENSPCAG00000011999	Procavia_capensis
ENSLAFP00000017700	ENSLAFG00000022133	Loxodonta_africana
ENSCCNP00000019988	ENSCCNG00000020012	Castor_canadensis
ENSDORP00000025218	ENSDORG00000008021	Dipodomys_ordii
ENSCGRP00015013750	ENSCGRG00015010544	Cricetulus_griseus_CriGri-PICR
ENSCGRP00001001114	ENSCGRG00001000855	Cricetulus_griseus_CHOK1GS_HDv1
ENSMAUP00000015609	ENSMAUG00000014996	Mesocricetus_auratus
ENSMOCP00000013457	ENSMOCG00000013249	Microtus_ochrogaster
ENSPEMP00000028731	ENSPEMG00000024185	Peromyscus_maniculatus_bairdii
ENSMUSP00000039098	ENSMUSG00000035632	Mus_musculus_strain_reference_(CL57BL6)
ENSMSIP00000007913	ENSMSIG00000007036	Mus_spicilegus
MGP_SPRETEiJ_P0080336	MGP_SPRETEiJ_G0030148	Mus_spretus_strain_SPRET/EiJ
MGP_CAROLIEiJ_P0077070	MGP_CAROLIEiJ_G0029095	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0045441	MGP_PahariEiJ_G0020964	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000075261	ENSRNOG00000053234	Rattus_norvegicus
