ENSCAFP00000042161	ENSCAFG00000032393	Canis_lupus_familiaris
ENSCAFP00020021991	ENSCAFG00020017374	Canis_lupus_dingo
ENSVVUP00000008779	ENSVVUG00000006571	Vulpes_vulpes
ENSMPUP00000004887	ENSMPUG00000004927	Mustela_putorius_furo
ENSNVIP00000014889	ENSNVIG00000011640	Neovison_vison
ENSUAMP00000008050	ENSUAMG00000006888	Ursus_americanus
ENSUMAP00000029121	ENSUMAG00000021121	Ursus_maritimus
ENSAMEP00000017962	ENSAMEG00000017005	Ailuropoda_melanoleuca
ENSPPRP00000021188	ENSPPRG00000012066	Panthera_pardus
ENSPTIP00000017787	ENSPTIG00000016124	Panthera_tigris_altaica
ENSFCAP00000014139	ENSFCAG00000015245	Felis_catus
ENSPVAP00000000163	ENSPVAG00000000178	Pteropus_vampyrus
ENSEEUP00000011698	ENSEEUG00000012861	Erinaceus_europaeus
ENSCHIP00000001137	ENSCHIG00000002056	Capra_hircus
ENSOARP00000001950	ENSOARG00000001860	Ovis_aries
ENSBTAP00000012871	ENSBTAG00000009762	Bos_taurus
ENSBIXP00000009714	ENSBIXG00000002196	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005015714	ENSBIXG00005003174	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBMUP00000006759	ENSBMUG00000005363	Bos_mutus
ENSBBBP00000005644	ENSBBBG00000014334	Bison_bison_bison
ENSSSCP00000055076	ENSSSCG00000033191	Sus_scrofa_strain_reference
ENSTTRP00000010444	ENSTTRG00000011030	Tursiops_truncatus
ENSEASP00005015594	ENSEASG00005010873	Equus_asinus_asinus
ENSECAP00000044448	ENSECAG00000007077	Equus_caballus
ENSETEP00000003008	ENSETEG00000003659	Echinops_telfairi
ENSCLAP00000011876	ENSCLAG00000008190	Chinchilla_lanigera
ENSODEP00000021873	ENSODEG00000016084	Octodon_degus
ENSCAPP00000017284	ENSCAPG00000016982	Cavia_aperea
ENSCPOP00000028316	ENSCPOG00000036515	Cavia_porcellus
ENSHGLP00000017460	ENSHGLG00000012506	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100017180	ENSHGLG00100012668	Heterocephalus_glaber_HetGla_1.0
ENSFDAP00000006707	ENSFDAG00000015401	Fukomys_damarensis
ENSSTOP00000019126	ENSSTOG00000027189	Ictidomys_tridecemlineatus
ENSMMMP00000009924	ENSMMMG00000008836	Marmota_marmota_marmota
ENSUPAP00010027152	ENSUPAG00010021449	Urocitellus_parryii
ENSCCNP00000017702	ENSCCNG00000017999	Castor_canadensis
ENSDORP00000014134	ENSDORG00000015016	Dipodomys_ordii
MGP_SPRETEiJ_P0089208	MGP_SPRETEiJ_G0032556	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000028337	ENSMSIG00000023751	Mus_spicilegus
ENSMUSP00000129403	ENSMUSG00000031872	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0085707	MGP_CAROLIEiJ_G0031439	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0053953	MGP_PahariEiJ_G0023036	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000062938	ENSRNOG00000013301	Rattus_norvegicus
ENSMUGP00000000218	ENSMUGG00000000256	Meriones_unguiculatus
ENSMOCP00000014354	ENSMOCG00000013884	Microtus_ochrogaster
ENSPEMP00000018439	ENSPEMG00000017019	Peromyscus_maniculatus_bairdii
ENSCGRP00001020548	ENSCGRG00001019666	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000009092	ENSCGRG00000006647	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015004857	ENSCGRG00015003810	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000020942	ENSMAUG00000018813	Mesocricetus_auratus
ENSNGAP00000008650	ENSNGAG00000011568	Nannospalax_galili
ENSJJAP00000007512	ENSJJAG00000011889	Jaculus_jaculus
ENSOPRP00000009162	ENSOPRG00000010033	Ochotona_princeps
ENSOCUP00000021050	ENSOCUG00000021527	Oryctolagus_cuniculus
ENSGGOP00000003367	ENSGGOG00000003427	Gorilla_gorilla
ENSP00000442793	ENSG00000166546	Homo_sapiens
ENSPPAP00000005656	ENSPPAG00000023254	Pan_paniscus
ENSPTRP00000013987	ENSPTRG00000008192	Pan_troglodytes
ENSPPYP00000008382	ENSPPYG00000007417	Pongo_abelii
ENSNLEP00000047924	ENSNLEG00000033811	Nomascus_leucogenys
ENSTGEP00000004182	ENSTGEG00000003501	Theropithecus_gelada
ENSPANP00000013005	ENSPANG00000017091	Papio_anubis
ENSMMUP00000070606	ENSMMUG00000064932	Macaca_mulatta
ENSMNEP00000027351	ENSMNEG00000037073	Macaca_nemestrina
ENSMFAP00000016535	ENSMFAG00000031444	Macaca_fascicularis
ENSMLEP00000020360	ENSMLEG00000034390	Mandrillus_leucophaeus
ENSCATP00000035418	ENSCATG00000040570	Cercocebus_atys
ENSCSAP00000000996	ENSCSAG00000004668	Chlorocebus_sabaeus
ENSRROP00000016612	ENSRROG00000032441	Rhinopithecus_roxellana
ENSRBIP00000003665	ENSRBIG00000017447	Rhinopithecus_bieti
ENSCANP00000023739	ENSCANG00000035280	Colobus_angolensis_palliatus
ENSPTEP00000019398	ENSPTEG00000020738	Piliocolobus_tephrosceles
ENSSBOP00000020941	ENSSBOG00000027040	Saimiri_boliviensis_boliviensis
ENSCJAP00000071441	ENSCJAG00000016872	Callithrix_jacchus
ENSCCAP00000001223	ENSCCAG00000007958	Cebus_capucinus_imitator
ENSANAP00000027876	ENSANAG00000031802	Aotus_nancymaae
ENSTSYP00000032008	ENSTSYG00000026309	Carlito_syrichta
ENSMICP00000034313	ENSMICG00000037496	Microcebus_murinus
ENSPSMP00000019654	ENSPSMG00000013880	Prolemur_simus
ENSPCOP00000019114	ENSPCOG00000021489	Propithecus_coquereli
ENSOGAP00000008481	ENSOGAG00000009472	Otolemur_garnettii
ENSLAFP00000008076	ENSLAFG00000009624	Loxodonta_africana
ENSPCAP00000014440	ENSPCAG00000015507	Procavia_capensis
ENSDNOP00000019746	ENSDNOG00000001474	Dasypus_novemcinctus
