ENSARWP00000025316	ENSARWG00000017211	Apteryx_rowi
ENSAHAP00000010437	ENSAHAG00000007565	Apteryx_haastii
ENSAOWP00000020132	ENSAOWG00000013618	Apteryx_owenii
ENSDNVP00000001302	ENSDNVG00000000947	Dromaius_novaehollandiae
ENSNPEP00000009965	ENSNPEG00000007467	Nothoprocta_perdicaria
ENSLCOP00000013310	ENSLCOG00000009603	Lepidothrix_coronata
ENSMVIP00005008447	ENSMVIG00005006271	Manacus_vitellinus
ENSPMJP00000022992	ENSPMJG00000017006	Parus_major
ENSCCEP00000019285	ENSCCEG00000017520	Cyanistes_caeruleus
ENSTGUP00000013134	ENSTGUG00000012757	Taeniopygia_guttata
ENSLSDP00000011376	ENSLSDG00000008337	Lonchura_striata_domestica
ENSZALP00000004085	ENSZALG00000003904	Zonotrichia_albicollis
ENSJHYP00000005857	ENSJHYG00000004758	Junco_hyemalis
ENSSCAP00000009583	ENSSCAG00000007293	Serinus_canaria
ENSFALP00000002804	ENSFALG00000002689	Ficedula_albicollis
ENSCPGP00000012079	ENSCPGG00000008605	Calidris_pygmaea
ENSCPUP00000003357	ENSCPUG00000002563	Calidris_pugnax
ENSMUNP00000001363	ENSMUNG00000001172	Melopsittacus_undulatus
ENSABRP00000027423	ENSABRG00000022826	Anser_brachyrhynchus
ENSAPLP00000023865	ENSAPLG00000003418	Anas_platyrhynchos_platyrhynchos
ENSGALP00000018274	ENSGALG00000011220	Gallus_gallus
ENSMGAP00000014064	ENSMGAG00000013307	Meleagris_gallopavo
ENSNMEP00000011564	ENSNMEG00000010881	Numida_meleagris
ENSAOWP00000020136	ENSAOWG00000013622	Apteryx_owenii
ENSCJPP00005002391	ENSCJPG00005002568	Coturnix_japonica
ENSCPRP00005014941	ENSCPRG00005010489	Crocodylus_porosus
ENSGAGP00000018829	ENSGAGG00000013934	Gopherus_agassizii
ENSCABP00000019274	ENSCABG00000014242	Chelonoidis_abingdonii
ENSCPBP00000008477	ENSCPBG00000006613	Chrysemys_picta_bellii
ENSPSIP00000018117	ENSPSIG00000016107	Pelodiscus_sinensis
ENSPVIP00000023303	ENSPVIG00000017604	Pogona_vitticeps	ENSPVIT00000028818
ENSACAP00000022711	ENSACAG00000028374	Anolis_carolinensis	ENSACAT00000030129
ENSNSUP00000015362	ENSNSUG00000011350	Notechis_scutatus
ENSSMRP00000012518	ENSSMRG00000009763	Salvator_merianae
ENSSPUP00000010173	ENSSPUG00000007863	Sphenodon_punctatus
ENSVURP00010003868	ENSVURG00010003106	Vombatus_ursinus
ENSPCIP00000048051	ENSPCIG00000030370	Phascolarctos_cinereus
ENSMEUP00000013233	ENSMEUG00000014507	Notamacropus_eugenii
ENSSHAP00000017199	ENSSHAG00000014619	Sarcophilus_harrisii
ENSMODP00000049466	ENSMODG00000036728	Monodelphis_domestica
ENSCLAP00000024099	ENSCLAG00000016544	Chinchilla_lanigera
ENSODEP00000012740	ENSODEG00000009428	Octodon_degus
ENSCPOP00000019724	ENSCPOG00000020251	Cavia_porcellus
ENSHGLP00000022803	ENSHGLG00000016265	Heterocephalus_glaber_HetGla_female_1.0
ENSHGLP00100009429	ENSHGLG00100006989	Heterocephalus_glaber_HetGla_1.0
ENSDORP00000009064	ENSDORG00000009645	Dipodomys_ordii
ENSOCUP00000039662	ENSOCUG00000008417	Oryctolagus_cuniculus
ENSOPRP00000004688	ENSOPRG00000005113	Ochotona_princeps
ENSTBEP00000006177	ENSTBEG00000007163	Tupaia_belangeri
ENSPCOP00000017702	ENSPCOG00000020681	Propithecus_coquereli
ENSMICP00000032636	ENSMICG00000006704	Microcebus_murinus
ENSPSMP00000034233	ENSPSMG00000023602	Prolemur_simus
ENSAMEP00000011715	ENSAMEG00000011142	Ailuropoda_melanoleuca
ENSUAMP00000020758	ENSUAMG00000016338	Ursus_americanus
ENSMPUP00000002899	ENSMPUG00000002928	Mustela_putorius_furo
ENSPPRP00000002602	ENSPPRG00000023331	Panthera_pardus
ENSFCAP00000035341	ENSFCAG00000036109	Felis_catus
ENSCAFP00020013838	ENSCAFG00020011197	Canis_lupus_dingo
ENSCAFP00000049032	ENSCAFG00000030764	Canis_lupus_familiaris
ENSMLUP00000010660	ENSMLUG00000011712	Myotis_lucifugus
ENSBIXP00000031694	ENSBIXG00000014084	Bos_indicus_x_Bos_taurus_UOA_Angus_1
ENSBIXP00005011909	ENSBIXG00005016264	Bos_indicus_x_Bos_taurus_UOA_Brahman_1
ENSBTAP00000018163	ENSBTAG00000013666	Bos_taurus
ENSBMUP00000005984	ENSBMUG00000004693	Bos_mutus
ENSCHIP00000011851	ENSCHIG00000013851	Capra_hircus
ENSOARP00000001914	ENSOARG00000001827	Ovis_aries
MGP_SPRETEiJ_P0034862	MGP_SPRETEiJ_G0018956	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000016373	ENSMSIG00000014077	Mus_spicilegus
ENSMUSP00000021693	ENSMUSG00000021265	Mus_musculus_strain_reference_(CL57BL6)
MGP_CAROLIEiJ_P0033324	MGP_CAROLIEiJ_G0018106	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0083440	MGP_PahariEiJ_G0029863	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000005753	ENSRNOG00000004351	Rattus_norvegicus
ENSMUGP00000014768	ENSMUGG00000012771	Meriones_unguiculatus
ENSMOCP00000025453	ENSMOCG00000021563	Microtus_ochrogaster
ENSPEMP00000016070	ENSPEMG00000015407	Peromyscus_maniculatus_bairdii
ENSCGRP00000000669	ENSCGRG00000000556	Cricetulus_griseus_CriGri_1.0
ENSCGRP00001017829	ENSCGRG00001017770	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00015017794	ENSCGRG00015013686	Cricetulus_griseus_CriGri-PICR
ENSNGAP00000006263	ENSNGAG00000009278	Nannospalax_galili
ENSJJAP00000011933	ENSJJAG00000015118	Jaculus_jaculus
ENSCCNP00000012180	ENSCCNG00000012658	Castor_canadensis
ENSSTOP00000012179	ENSSTOG00000013593	Ictidomys_tridecemlineatus
ENSUPAP00010012774	ENSUPAG00010010353	Urocitellus_parryii
ENSMMMP00000002949	ENSMMMG00000002697	Marmota_marmota_marmota
ENSOGAP00000016022	ENSOGAG00000027237	Otolemur_garnettii
ENSLAFP00000015167	ENSLAFG00000018100	Loxodonta_africana
ENSETEP00000011238	ENSETEG00000013850	Echinops_telfairi
