ENSPNAP00000002846	ENSPNAG00000009200	Pygocentrus_nattereri	ENSPNAT00000009739
ENSAMXP00000042731	ENSAMXG00000042768	Astyanax_mexicanus_Astyanax_mexicanus-2.0	ENSAMXT00000044288
ENSIPUP00000008018	ENSIPUG00000005512	Ictalurus_punctatus	ENSIPUT00000008369
ENSDARP00000116613	ENSDARG00000094899	Danio_rerio	ENSDART00000131992
ENSSPAP00000001291	ENSSPAG00000000987	Stegastes_partitus	ENSSPAT00000001315
ENSAPOP00000011858	ENSAPOG00000014479	Acanthochromis_polyacanthus	ENSAPOT00000019650
ENSACLP00000025325	ENSACLG00000017224	Astatotilapia_calliptera	ENSACLT00000025932
ENSMZEP00005036855	ENSMZEG00005027466	Maylandia_zebra	ENSMZET00005038144
ENSHBUP00000015287	ENSHBUG00000017191	Haplochromis_burtoni	ENSHBUT00000023498
ENSPNYP00000005296	ENSPNYG00000004120	Pundamilia_nyererei	ENSPNYT00000005436
ENSNBRP00000021250	ENSNBRG00000016302	Neolamprologus_brichardi	ENSNBRT00000021822
ENSELUP00000004865	ENSELUG00000005961	Esox_lucius	ENSELUT00000011625
ENSLACP00000005950	ENSLACG00000005281	Latimeria_chalumnae
